beta,radius,ref_count,dataset_count,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_full_dr_std,dphi_full_dr_unit_sem,dphi_full_dr_dataset_mean_std,dphi_full_dr_sem,dphi_full_dr_ci95_half_width,dphi_full_dr_ci95_low,dphi_full_dr_ci95_high,dphi_energy_dr_std,dphi_energy_dr_unit_sem,dphi_energy_dr_dataset_mean_std,dphi_energy_dr_sem,dphi_energy_dr_ci95_half_width,dphi_energy_dr_ci95_low,dphi_energy_dr_ci95_high,uncertainty_method,claim
0.05,0.01,900,30,99.95961390055677,-0.0010933685984317674,99.96070726915521,-2.782623083008848,2.234626823835104,0.0008780459032748262,2.926819677582754e-05,0.00035146122236068733,6.416774652509585e-05,0.00013122304164382101,99.95948267751513,99.95974512359842,0.0008780459032750902,2.926819677583634e-05,0.00035146122236752523,6.416774652634427e-05,0.000131223041646374,-0.0012245916400781414,-0.0009621455567853934,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.02,900,30,49.977120989580335,-0.0032326449972671155,49.980353634577604,-8.227081518044809,4.324649067180658,0.0016992727179491924,5.664242393163975e-05,0.0006817641494860083,0.00012447253452393695,0.00025454633310145107,49.97686644324723,49.97737553591344,0.0016992727179491781,5.664242393163927e-05,0.0006817641494865556,0.00012447253452403686,0.0002545463331016554,-0.0034871913303687707,-0.0029780986641654602,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.03,900,30,33.315011133285395,-0.005224623099677817,33.320235756385074,-13.296665788680043,5.5791955015524595,0.0021922182717297707,7.307394239099236e-05,0.0008580414320444831,0.00015665621586826648,0.00032036196145060497,33.314690771323946,33.315331495246845,0.002192218271729846,7.307394239099487e-05,0.0008580414320455685,0.00015665621586846465,0.0003203619614510102,-0.0055449850611288265,-0.004904261138226807,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.04,900,30,24.9833776355201,-0.006799181768703117,24.990176817288802,-17.303917601349433,6.279393410587347,0.0024673451515078086,8.224483838359362e-05,0.0009319037658290744,0.00017014157132286536,0.00034793951335525963,24.983029696006746,24.983725575033453,0.002467345151507798,8.224483838359327e-05,0.0009319037658283137,0.00017014157132272647,0.0003479395133549756,-0.007147121282058093,-0.006451242255348141,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.05,900,30,19.984154386801965,-0.00798706702907732,19.992141453831042,-20.327085589001776,6.681968743109371,0.0026255279933633234,8.751759977877745e-05,0.0009603237005700125,0.00017533031776967753,0.0003585504998389905,19.983795836302125,19.984512937301805,0.0026255279933632106,8.751759977877368e-05,0.0009603237005693632,0.00017533031776955897,0.0003585504998387481,-0.008345617528916067,-0.0076285165292385715,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.06,900,30,16.651256455079416,-0.008861423113122569,16.660117878192537,-22.552321822896936,6.9126260328369815,0.0027161595413898033,9.053865137966011e-05,0.0009629266955925763,0.0001758055574666548,0.0003595223650193091,16.650896932714396,16.651615977444436,0.002716159541389777,9.053865137965923e-05,0.0009629266955926708,0.00017580555746667207,0.00035952236501934437,-0.009220945478141913,-0.008501900748103225,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.07,900,30,14.270599505231832,-0.00950153321891163,14.280101038450743,-24.1814020421301,7.032939235221827,0.0027634338841736068,9.211446280578689e-05,0.0009593423433274776,0.0001751511472701084,0.00035818409616737164,14.270241321135664,14.270957689328,0.002763433884173606,9.211446280578686e-05,0.0009593423433282328,0.00017515114727024625,0.0003581840961676536,-0.009859717315079283,-0.009143349122743977,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.08,900,30,12.485131781355491,-0.009956627288909222,12.495088408644401,-25.33961645027397,7.09430993539662,0.0027875481082108664,9.291827027369555e-05,0.0009475190325655671,0.00017299251593387772,0.0003537696950847799,12.484778011660406,12.485485551050576,0.0027875481082108525,9.291827027369509e-05,0.000947519032565893,0.00017299251593393722,0.0003537696950849016,-0.010310396983994123,-0.00960285759382432,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.09,900,30,11.096477252530926,-0.010267999597431958,11.106745252128357,-26.132058975464332,7.105953858608479,0.00279212332361827,9.307077745394233e-05,0.0009315535057988308,0.00017007762288301305,0.00034780873879576167,11.09612944379213,11.096825061269723,0.0027921233236182625,9.307077745394209e-05,0.0009315535057985242,0.00017007762288295708,0.00034780873879564723,-0.010615808336227606,-0.00992019085863631,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.1,900,30,9.985597198913222,-0.01047352800229977,9.996070726915521,-26.655128765852915,7.09843505715059,0.0027891689811986803,9.297229937328935e-05,0.0009181873673017279,0.0001676373110291459,0.00034281830105460334,9.985254380612167,9.985940017214277,0.0027891689811986604,9.297229937328868e-05,0.0009181873673015952,0.00016763731102912167,0.0003428183010545538,-0.010816346303354325,-0.010130709701245216,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.11,900,30,9.076735983366445,-0.010601041102210065,9.087337024468656,-26.979649605124617,7.068369949924029,0.0027773555795379355,9.257851931793118e-05,0.0009058690152080567,0.00016538829792481436,0.00033821906925624533,9.07639776429719,9.077074202435702,0.002777355579537929,9.257851931793096e-05,0.0009058690152079874,0.0001653882979248017,0.0003382190692562195,-0.010939260171466285,-0.010262822032953846,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.12,900,30,8.319401654407814,-0.010657284688454578,8.330058939096268,-27.1227895321169,7.022760434505588,0.0027594343554049224,9.198114518016407e-05,0.0008895760307246107,0.000162413619547926,0.00033213585197550865,8.319069518555839,8.31973379025979,0.002759434355404946,9.198114518016487e-05,0.0008895760307246676,0.0001624136195479364,0.0003321358519755299,-0.010989420540430107,-0.010325148836479048,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.13,900,30,7.678616272416472,-0.010668902133927854,7.6892851745504,-27.152355930846387,6.979734582195506,0.0027425283230630617,9.141761076876873e-05,0.0008806175074156361,0.0001607780244485056,0.00032879105999719394,7.678287481356475,7.67894506347647,0.002742528323063067,9.14176107687689e-05,0.0008806175074152917,0.0001607780244484427,0.00032879105999706536,-0.010997693193924919,-0.01034011107393079,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.14,900,30,7.129413107705522,-0.010637411519849394,7.140050519225372,-27.072212318016707,6.898733022293084,0.002710700598150512,9.035668660501706e-05,0.0008623711705643047,0.0001574467143534016,0.00032197853085270625,7.12909112917467,7.129735086236375,0.0027107005981505243,9.035668660501747e-05,0.0008623711705643167,0.0001574467143534038,0.00032197853085271075,-0.010959390050702105,-0.010315432988996683,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.15,900,30,6.653470815544467,-0.01057633573254698,6.664047151277014,-26.916774439332066,6.834539885200008,0.0026854773615717165,8.951591205239055e-05,0.0008546245493294818,0.00015603238128848124,0.0003190862197349441,6.653151729324732,6.653789901764202,0.0026854773615717126,8.951591205239043e-05,0.0008546245493295369,0.00015603238128849133,0.00031908621973496476,-0.010895421952281945,-0.010257249512812016,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.16,900,30,6.2370535562280445,-0.010490648094156332,6.2475442043222005,-26.698699399627866,6.755391909760089,0.0026543779606129844,8.847926535376615e-05,0.0008437382648029169,0.00015404482675427492,0.0003150216707124922,6.236738534557332,6.237368577898757,0.0026543779606130018,8.847926535376673e-05,0.0008437382648028396,0.0001540448267542608,0.00031502167071246334,-0.010805669764868795,-0.010175626423443869,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.17,900,30,5.869651547952136,-0.010390056115817371,5.880041604067953,-26.44269281475521,6.671428975161923,0.002621386630711941,8.737955435706469e-05,0.0008323784159877082,0.00015197081160562886,0.000310780309733511,5.869340767642403,5.869962328261869,0.0026213866307119543,8.737955435706514e-05,0.0008323784159878906,0.00015197081160566215,0.0003107803097335791,-0.01070083642555095,-0.010079275806083792,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.18,900,30,5.543099429190296,-0.010273196873882586,5.553372626064179,-26.14528604403118,6.593632795046716,0.0025908183870517643,8.636061290172547e-05,0.0008235648235740807,0.0001503616771464288,0.0003074896297644469,5.542791939560532,5.543406918820061,0.0025908183870517547,8.636061290172516e-05,0.0008235648235741816,0.0001503616771464472,0.0003074896297644845,-0.01058068650364707,-0.009965707244118101,std_over_ref_units_sem_ci95_over_dataset_means,pass
