source,group,label,nmstv,radius,phi_energy_raw_mean,phi_energy_raw_sem,n_units
advanced,teacher_nn,adv teacher nn,0.6843772639598127,0.7,-0.0845924649255483,0.0004767441081604,90
advanced,teacher_nn,adv teacher nn,0.6843772639598127,0.75,-0.0885482722839238,0.0004378118275853,90
advanced,teacher_nn,adv teacher nn,0.6843772639598127,0.8,-0.0918544842550952,0.0004876070297471,90
advanced,teacher_nn,adv teacher nn,0.6843772639598127,0.85,-0.0954967659814613,0.000438952200063,90
advanced,teacher_nn,adv teacher nn,0.6843772639598127,0.9,-0.0979823855954663,0.0004221780533601,90
advanced,teacher_nn,adv teacher nn,0.6843772639598127,0.95,-0.1017608159986183,0.000520327447619,90
advanced,teacher_nn,adv teacher nn,0.6843772639598127,1.0,-0.104666538778125,0.0004596008762743,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.1,-0.0198704529646725,0.0003005731830559,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.15,-0.0447766018605714,0.0005273926612495,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.2,-0.0726357620533304,0.0006513007280243,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.25,-0.0979808490121743,0.0007542310222039,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.3,-0.1177796212987371,0.0007403283575428,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.35,-0.1285170844723316,0.0007468299721772,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.4,-0.1351723534172153,0.0006045361198296,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.45,-0.1379472321093165,0.0005359590018321,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.5,-0.1395353681999492,0.0005278378415916,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.55,-0.1413836564453415,0.0004173287673117,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.6,-0.1429911401054381,0.0004365656320494,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.65,-0.1437306358108315,0.0003466138867293,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.7,-0.1447213290615007,0.0003533085198332,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.75,-0.1457008398191841,0.0003067060083655,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.8,-0.146591034593092,0.0003089614690818,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.85,-0.1475364068531413,0.000299986575407,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.9,-0.148580654413388,0.0003000709744706,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,0.95,-0.1489056872042032,0.0002749157398646,90
flip,eta_0.25,flip eta 0.25,0.8111369149742439,1.0,-0.1495243295242455,0.0002519037228319,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.1,-0.0214065819413714,0.0002978205202688,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.15,-0.0471794245216772,0.0005041837057615,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.2,-0.0760058445365211,0.0007545512095605,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.25,-0.1015103451453229,0.0008050512954502,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.3,-0.1194749809777616,0.0007954415711694,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.35,-0.1314564882739854,0.000622110341262,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.4,-0.1372358714264166,0.0006330580289607,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.45,-0.1417000109951106,0.0004778702129023,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.5,-0.1434753369142361,0.0003645140642867,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.55,-0.1450363509486063,0.0003964681116796,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.6,-0.1467460520904855,0.000298532057325,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.65,-0.1478229638331994,0.0003374141933917,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.7,-0.1487750856635101,0.0002909475514071,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.75,-0.1503159110117772,0.0002459174917137,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.8,-0.1507020474235579,0.0002628813657236,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.85,-0.1514789094547355,0.0002600646018699,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.9,-0.1524301070609954,0.0002272724752746,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,0.95,-0.1532464820560652,0.0002316485520414,90
flip,eta_0.30,flip eta 0.30,0.8842567567966284,1.0,-0.1537811432884845,0.0002207721684203,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.1,-0.0233079412535947,0.0003528348826531,90
