cell_id,series,dataset_id,dataset_tag,seed,beta_ising,rewire_p,width,attempt_count,exact_attempt_count,mean_attempt_accuracy_percent,best_attempt_id,best_train_accuracy,best_train_accuracy_percent,best_cls_err,best_train_loss,is_exact_solution,early_stop_phase,early_stop_epoch,best_theta_path,best_theta_init_path
cell_beta_0p05_p_0p00,beta,10,dataset_010_seed_1001234,1001234,0.05,0.0,48,200,78,99.005859375,102,1.0,100.0,0.0,0.001723955631300736,True,lbfgs,464,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_010_seed_1001234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_010_seed_1001234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,11,dataset_011_seed_1101234,1101234,0.05,0.0,48,200,61,98.3662109375,103,1.0,100.0,0.0,0.0018280107998923127,True,lbfgs,256,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_011_seed_1101234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_011_seed_1101234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,12,dataset_012_seed_1201234,1201234,0.05,0.0,48,200,73,98.2890625,14,1.0,100.0,0.0,0.0025733131588223683,True,lbfgs,293,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_012_seed_1201234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_012_seed_1201234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,13,dataset_013_seed_1301234,1301234,0.05,0.0,48,200,66,98.9462890625,167,1.0,100.0,0.0,0.0027009027496111434,True,lbfgs,932,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_013_seed_1301234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_013_seed_1301234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,14,dataset_014_seed_1401234,1401234,0.05,0.0,48,200,62,98.4521484375,102,1.0,100.0,0.0,0.0026631531565156135,True,lbfgs,1618,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_014_seed_1401234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_014_seed_1401234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,15,dataset_015_seed_1501234,1501234,0.05,0.0,48,200,54,98.02734375,75,1.0,100.0,0.0,0.0015286101284225167,True,lbfgs,848,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_015_seed_1501234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_015_seed_1501234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,16,dataset_016_seed_1601234,1601234,0.05,0.0,48,200,71,98.427734375,143,1.0,100.0,0.0,0.0012457129732622676,True,lbfgs,395,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_016_seed_1601234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_016_seed_1601234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,17,dataset_017_seed_1701234,1701234,0.05,0.0,48,200,70,98.3427734375,59,1.0,100.0,0.0,0.0025914203190916677,True,lbfgs,329,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_017_seed_1701234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_017_seed_1701234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,18,dataset_018_seed_1801234,1801234,0.05,0.0,48,200,61,98.541015625,15,1.0,100.0,0.0,0.0023273146664862686,True,lbfgs,549,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_018_seed_1801234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_018_seed_1801234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,19,dataset_019_seed_1901234,1901234,0.05,0.0,48,200,57,98.154296875,147,1.0,100.0,0.0,0.001972392023756908,True,lbfgs,889,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_019_seed_1901234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_019_seed_1901234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,20,dataset_020_seed_2001234,2001234,0.05,0.0,48,200,62,98.7490234375,119,1.0,100.0,0.0,0.0017404961781938178,True,lbfgs,632,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_020_seed_2001234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_020_seed_2001234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,21,dataset_021_seed_2101234,2101234,0.05,0.0,48,200,64,97.861328125,151,1.0,100.0,0.0,0.0014574742597787684,True,lbfgs,1196,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_021_seed_2101234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_021_seed_2101234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,22,dataset_022_seed_2201234,2201234,0.05,0.0,48,200,34,97.1025390625,103,1.0,100.0,0.0,0.0018585280169616555,True,lbfgs,1738,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_022_seed_2201234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_022_seed_2201234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,23,dataset_023_seed_2301234,2301234,0.05,0.0,48,200,65,98.0693359375,47,1.0,100.0,0.0,0.002198305247823593,True,lbfgs,426,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_023_seed_2301234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_023_seed_2301234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,24,dataset_024_seed_2401234,2401234,0.05,0.0,48,200,71,98.5986328125,187,1.0,100.0,0.0,0.002585576431846905,True,lbfgs,530,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_024_seed_2401234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_024_seed_2401234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,25,dataset_025_seed_2501234,2501234,0.05,0.0,48,200,56,98.205078125,119,1.0,100.0,0.0,0.00214284360811122,True,lbfgs,618,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_025_seed_2501234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_025_seed_2501234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,26,dataset_026_seed_2601234,2601234,0.05,0.0,48,200,53,97.4541015625,14,1.0,100.0,0.0,0.002188233381858096,True,lbfgs,374,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_026_seed_2601234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_026_seed_2601234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,27,dataset_027_seed_2701234,2701234,0.05,0.0,48,200,58,97.9853515625,111,1.0,100.0,0.0,0.0018527326744049838,True,lbfgs,415,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_027_seed_2701234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_027_seed_2701234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,28,dataset_028_seed_2801234,2801234,0.05,0.0,48,200,63,98.177734375,95,1.0,100.0,0.0,0.0023882237218260686,True,lbfgs,2484,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_028_seed_2801234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_028_seed_2801234/width_048/best_theta_init.npy
cell_beta_0p05_p_0p00,beta,29,dataset_029_seed_2901234,2901234,0.05,0.0,48,200,57,97.9638671875,143,1.0,100.0,0.0,0.002351528047575155,True,lbfgs,628,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_029_seed_2901234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_029_seed_2901234/width_048/best_theta_init.npy
cell_beta_0p07_p_0p00,beta,0,dataset_000_seed_003234,3234,0.07,0.0,48,200,59,98.87890625,10,1.0,100.0,0.0,0.0023518433560187975,True,lbfgs,251,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_000_seed_003234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_000_seed_003234/width_048/best_theta_init.npy
