rule,radius,phi_energy_raw,phi_energy_raw_sd,phi_energy_raw_sem,n_units,target_ref_count,sampling_status,qc_diagnostic_pass
very_low_tv_spectral_teacher,0.01,-0.0009585889851335401,0.0003429963432204818,6.262227810788066e-05,30,30,complete,True
very_low_tv_spectral_teacher,0.02,-0.0010372616699596833,0.0003580998701606554,6.53797922422207e-05,30,30,complete,True
very_low_tv_spectral_teacher,0.03,-0.0011831618979026366,0.0003837614941617162,7.00649423514197e-05,30,30,complete,True
very_low_tv_spectral_teacher,0.04,-0.0014106053197844766,0.0004209434806210389,7.685341325696057e-05,30,30,complete,True
very_low_tv_spectral_teacher,0.05,-0.00172567687958592,0.00046478034084926914,8.485689232269484e-05,30,30,complete,True
very_low_tv_spectral_teacher,0.06,-0.0021311824160416036,0.0005251696289080185,9.588241742317963e-05,30,30,complete,True
very_low_tv_spectral_teacher,0.07,-0.0026172358973893264,0.0005826060207633551,0.00010636881990347092,30,30,complete,True
very_low_tv_spectral_teacher,0.08,-0.0031677573943371434,0.0006454712953981188,0.00011784639623721004,30,30,complete,True
very_low_tv_spectral_teacher,0.09,-0.00381183826407293,0.0007212786263039399,0.000131686857957669,30,30,complete,True
very_low_tv_spectral_teacher,0.1,-0.004482218497032894,0.0007837800025536933,0.0001430979958400382,30,30,complete,True
very_low_tv_spectral_teacher,0.11,-0.00521821712950918,0.0008452033879561053,0.00015431232042111638,30,30,complete,True
very_low_tv_spectral_teacher,0.12,-0.005996903679318761,0.0008769047661219088,0.00016010017372958713,30,30,complete,True
very_low_tv_spectral_teacher,0.13,-0.0067907374856293334,0.000963712670879979,0.00017594905626483885,30,30,complete,True
very_low_tv_spectral_teacher,0.14,-0.007618357015084273,0.0010812015399218632,0.0001973994908748423,30,30,complete,True
very_low_tv_spectral_teacher,0.15,-0.008489978850698573,0.0010367628620489115,0.0001892861354426018,30,30,complete,True
very_low_tv_spectral_teacher,0.16,-0.00930991275948242,0.001126955449564644,0.00020575297367664367,30,30,complete,True
very_low_tv_spectral_teacher,0.17,-0.010219267046677813,0.0011735209937800944,0.00021425463999974584,30,30,complete,True
very_low_tv_spectral_teacher,0.18,-0.011129872125073999,0.0013372347047030224,0.0002441445374815349,30,30,complete,True
