beta,requested_radius,radius,phi_E,phi_full,ref_count,dataset_count
0.05,2.5,2.5,-0.012495957298256805,0.9034347389248671,900,30
0.07,2.5,2.5,-0.011825141579577047,0.9041055546435469,900,30
0.09,2.5,2.5,-0.011374876682121175,0.9045558195410027,900,30
0.11,2.5,2.5,-0.010988659886369725,0.9049420363367542,900,30
0.13,2.5,2.5,-0.010010579746010771,0.9059201164771132,900,30
0.15,2.5,2.5,-0.009238832596393687,0.9066918636267303,900,30
0.17,2.5,2.5,-0.008032160893118359,0.9078985353300056,900,30
0.19,2.5,2.5,-0.006763185400145729,0.9091675108229782,900,30
0.21,2.5,2.5,-0.00566141580112324,0.9102692804220007,900,30
0.23,2.5,2.5,-0.0046860372205227655,0.9112446590026012,900,30
0.25,2.5,2.5,-0.003968918557260244,0.9119617776658637,900,30
0.27,2.5,2.5,-0.003983829782623962,0.9119468664404999,900,30
0.29,2.5,2.5,-0.0036517325695436574,0.9122789636535803,900,30
0.31,2.5,2.5,-0.003538343276124859,0.912392352946999,900,30
0.33,2.5,2.5,-0.003490626894437953,0.912440069328686,900,30
0.35,2.5,2.5,-0.003521974806774391,0.9124087214163495,900,30
0.37,2.5,2.5,-0.003480320162141679,0.9124503760609822,900,30
0.39,2.5,2.5,-0.003469813900788024,0.9124608823223359,900,30
