eta,rule,radius,n_units,d_delta_phi_energy_dd,d_delta_phi_energy_dd_sem,d_phi_energy_direct_dd,d_phi_energy_direct_dd_sem,derivative_source
0.05,eta_0p05,0.41,30,-0.1074751660162379,0.0015742088043772,-0.1074751660162379,0.0015742088043772,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.42,30,-0.1026916589939604,0.0021568022760582,-0.1026916589939604,0.0021568022760582,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.43,30,-0.0934544809985555,0.0025947928057799,-0.0934544809985555,0.0025947928057799,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.44,30,-0.0889562212096198,0.0019983150861251,-0.0889562212096198,0.0019983150861251,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.45,30,-0.0877302219583978,0.0019564329476365,-0.0877302219583978,0.0019564329476365,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.46,30,-0.0851640521878895,0.0016649180414613,-0.0851640521878895,0.0016649180414613,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.47,30,-0.0824318225308472,0.0017643936018965,-0.0824318225308472,0.0017643936018965,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.48,30,-0.0791925345889033,0.0018385620130131,-0.0791925345889033,0.0018385620130131,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.49,30,-0.0779977678801147,0.0021399140942871,-0.0779977678801147,0.0021399140942871,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.5,30,-0.0736579893004121,0.0017105687527327,-0.0736579893004121,0.0017105687527327,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.51,30,-0.0722705772658597,0.0019363680963807,-0.0722705772658597,0.0019363680963807,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.52,30,-0.0696884868392653,0.0015339040495352,-0.0696884868392653,0.0015339040495352,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.53,30,-0.0676085324379973,0.001774942449911,-0.0676085324379973,0.001774942449911,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.54,30,-0.0649111577738559,0.0021698492175327,-0.0649111577738559,0.0021698492175327,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.55,30,-0.0632333684731484,0.0017204532805429,-0.0632333684731484,0.0017204532805429,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.56,30,-0.0633705313082645,0.0015014288189952,-0.0633705313082645,0.0015014288189952,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.57,30,-0.0600103894000462,0.0015912396102444,-0.0600103894000462,0.0015912396102444,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.58,30,-0.0591522030289477,0.0013183799905317,-0.0591522030289477,0.0013183799905317,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.59,30,-0.0579925561977833,0.0014690117204307,-0.0579925561977833,0.0014690117204307,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.6,30,-0.0581306195086604,0.0017505938079581,-0.0581306195086604,0.0017505938079581,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.61,30,-0.0557188640450837,0.0012626906653389,-0.0557188640450837,0.0012626906653389,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.62,30,-0.0548859985230498,0.0014066264572009,-0.0548859985230498,0.0014066264572009,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.63,30,-0.0546993324552239,0.0019341131777199,-0.0546993324552239,0.0019341131777199,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.64,30,-0.0542418768822893,0.0018982319729943,-0.0542418768822893,0.0018982319729943,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.65,30,-0.0518170541153079,0.0016144087975592,-0.0518170541153079,0.0016144087975592,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.66,30,-0.0503037841958405,0.0013292965490602,-0.0503037841958405,0.0013292965490602,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.67,30,-0.0469542912307661,0.001838764985283,-0.0469542912307661,0.001838764985283,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.68,30,-0.0493966759006267,0.0016532317682987,-0.0493966759006267,0.0016532317682987,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.69,30,-0.0483679279008068,0.0019226400670919,-0.0483679279008068,0.0019226400670919,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.7,30,-0.0461220593132475,0.0017199342154285,-0.0461220593132475,0.0017199342154285,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.71,30,-0.0486103805975807,0.00165000840327,-0.0486103805975807,0.00165000840327,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.72,30,-0.0464070528435818,0.0012866335353295,-0.0464070528435818,0.0012866335353295,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.73,30,-0.043194067880216,0.0012174428455425,-0.043194067880216,0.0012174428455425,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.74,30,-0.0472917536908992,0.0013946213711321,-0.0472917536908992,0.0013946213711321,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.75,30,-0.0445120663648257,0.0016000233602467,-0.0445120663648257,0.0016000233602467,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.76,30,-0.0417513873643298,0.0012594148325085,-0.0417513873643298,0.0012594148325085,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.77,30,-0.0435839218291809,0.0014540291770214,-0.0435839218291809,0.0014540291770214,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.78,30,-0.0446844408197832,0.001943434641174,-0.0446844408197832,0.001943434641174,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.79,30,-0.0415562944854447,0.001389249817235,-0.0415562944854447,0.001389249817235,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.8,30,-0.0417677408646147,0.0012716430514556,-0.0417677408646147,0.0012716430514556,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.81,30,-0.0431515086808158,0.0014211728427202,-0.0431515086808158,0.0014211728427202,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.82,30,-0.0411513377513425,0.001321756944998,-0.0411513377513425,0.001321756944998,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.83,30,-0.0408200395453874,0.0013832968253874,-0.0408200395453874,0.0013832968253874,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.84,30,-0.0398240824143714,0.0012044276283249,-0.0398240824143714,0.0012044276283249,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.85,30,-0.0400714969699407,0.0015424986960505,-0.0400714969699407,0.0015424986960505,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.86,30,-0.0391304527184002,0.0014326871738021,-0.0391304527184002,0.0014326871738021,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.87,30,-0.0364065519466924,0.0012418694960284,-0.0364065519466924,0.0012418694960284,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.88,30,-0.0367292275860137,0.0014898770948632,-0.0367292275860137,0.0014898770948632,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.89,30,-0.0388191824661849,0.0011036586683884,-0.0388191824661849,0.0011036586683884,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.9,30,-0.0366738481995806,0.0016535148816261,-0.0366738481995806,0.0016535148816261,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.91,30,-0.0364026910549344,0.0012768243897604,-0.0364026910549344,0.0012768243897604,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.92,30,-0.0378087192060333,0.0012259427462195,-0.0378087192060333,0.0012259427462195,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.93,30,-0.0377990248031522,0.001286922737309,-0.0377990248031522,0.001286922737309,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.94,30,-0.036112914366845,0.001642311255118,-0.036112914366845,0.001642311255118,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.95,30,-0.0365392960063434,0.0014090234771332,-0.0365392960063434,0.0014090234771332,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.96,30,-0.0371872496771834,0.0013064175982335,-0.0371872496771834,0.0013064175982335,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.97,30,-0.0331931239919917,0.0011248623418794,-0.0331931239919917,0.0011248623418794,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.98,30,-0.036227896765823,0.0014879522844645,-0.036227896765823,0.0014879522844645,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,0.99,30,-0.0355100606447367,0.0013369753219519,-0.0355100606447367,0.0013369753219519,sampling_time_direct_radial_score_derivative
0.05,eta_0p05,1.0,30,-0.0341480112899244,0.0012401997298202,-0.0341480112899244,0.0012401997298202,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.01,30,-0.010552277293296,0.0009040325955424,-0.010552277293296,0.0009040325955424,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.02,30,-0.026881486481351,0.0017886122764765,-0.026881486481351,0.0017886122764765,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.03,30,-0.0540719328870103,0.0026116985091734,-0.0540719328870103,0.0026116985091734,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.04,30,-0.0906966046994915,0.0033157170846099,-0.0906966046994915,0.0033157170846099,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.05,30,-0.1313531234320608,0.0037297230579981,-0.1313531234320608,0.0037297230579981,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.06,30,-0.1702520564343911,0.004219939198675,-0.1702520564343911,0.004219939198675,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.07,30,-0.2082522817867423,0.0043427709391571,-0.2082522817867423,0.0043427709391571,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.08,30,-0.2402355567841588,0.0053483254740907,-0.2402355567841588,0.0053483254740907,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.09,30,-0.2769892832275999,0.005804683257113,-0.2769892832275999,0.005804683257113,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.1,30,-0.3091924907627736,0.0056788613106392,-0.3091924907627736,0.0056788613106392,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.11,30,-0.3312023619107832,0.0053614925349898,-0.3312023619107832,0.0053614925349898,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.12,30,-0.3482334149250834,0.0044762943002595,-0.3482334149250834,0.0044762943002595,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.13,30,-0.3743523845954726,0.005740747952741,-0.3743523845954726,0.005740747952741,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.14,30,-0.3853132476212408,0.0057623674694846,-0.3853132476212408,0.0057623674694846,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.15,30,-0.3894824806503166,0.0056234147677196,-0.3894824806503166,0.0056234147677196,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.16,30,-0.4047497200453753,0.0058888643418771,-0.4047497200453753,0.0058888643418771,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.17,30,-0.4026101962550942,0.0063570979103396,-0.4026101962550942,0.0063570979103396,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.18,30,-0.4030158313417832,0.005090064916953,-0.4030158313417832,0.005090064916953,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.19,30,-0.4174263175038158,0.0059251038191577,-0.4174263175038158,0.0059251038191577,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.2,30,-0.4028731197043103,0.0041296535345657,-0.4028731197043103,0.0041296535345657,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.21,30,-0.3948305180041564,0.0045962918889774,-0.3948305180041564,0.0045962918889774,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.22,30,-0.3973538962205232,0.0051953960415126,-0.3973538962205232,0.0051953960415126,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.23,30,-0.3749026928060161,0.004526442135059,-0.3749026928060161,0.004526442135059,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.24,30,-0.3529475740659754,0.006269506873888,-0.3529475740659754,0.006269506873888,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.25,30,-0.3430009543893053,0.0053031206631256,-0.3430009543893053,0.0053031206631256,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.26,30,-0.3248289133273271,0.005369560012348,-0.3248289133273271,0.005369560012348,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.27,30,-0.3050267642461702,0.0065862116198686,-0.3050267642461702,0.0065862116198686,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.28,30,-0.2895706344398751,0.0067816501417758,-0.2895706344398751,0.0067816501417758,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.29,30,-0.2500171837902804,0.0053187258408593,-0.2500171837902804,0.0053187258408593,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.3,30,-0.2533195828858895,0.0040318732896891,-0.2533195828858895,0.0040318732896891,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.31,30,-0.2262238174978268,0.0062630797547846,-0.2262238174978268,0.0062630797547846,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.32,30,-0.2093584821322918,0.0054853205277117,-0.2093584821322918,0.0054853205277117,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.33,30,-0.2008349963120864,0.0058170841746339,-0.2008349963120864,0.0058170841746339,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.34,30,-0.1822132169525527,0.0057734668700358,-0.1822132169525527,0.0057734668700358,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.35,30,-0.1631024687379109,0.0049550746912457,-0.1631024687379109,0.0049550746912457,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.36,30,-0.1557024980213071,0.0054409123431954,-0.1557024980213071,0.0054409123431954,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.37,30,-0.1358929088071977,0.0051557468521096,-0.1358929088071977,0.0051557468521096,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.38,30,-0.1218466412234159,0.0041819750326168,-0.1218466412234159,0.0041819750326168,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.39,30,-0.1158153259632497,0.0037151157911538,-0.1158153259632497,0.0037151157911538,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.4,30,-0.1031470851968917,0.0035612794590246,-0.1031470851968917,0.0035612794590246,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.41,30,-0.0949001221535699,0.0035947787470752,-0.0949001221535699,0.0035947787470752,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.42,30,-0.0867758921208385,0.0040205300697156,-0.0867758921208385,0.0040205300697156,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.43,30,-0.0780839599504034,0.0035069026571124,-0.0780839599504034,0.0035069026571124,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.44,30,-0.0773608552561951,0.0034148969736089,-0.0773608552561951,0.0034148969736089,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.45,30,-0.0763356647167654,0.0026061052050883,-0.0763356647167654,0.0026061052050883,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.46,30,-0.0667633836463724,0.0032857154119323,-0.0667633836463724,0.0032857154119323,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.47,30,-0.0665273161528288,0.0024486291834883,-0.0665273161528288,0.0024486291834883,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.48,30,-0.060096951176232,0.0025373026793254,-0.060096951176232,0.0025373026793254,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.49,30,-0.0587234080102366,0.003090031629017,-0.0587234080102366,0.003090031629017,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.5,30,-0.0554453292391796,0.0030452569749388,-0.0554453292391796,0.0030452569749388,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.51,30,-0.0522612498227505,0.0024177827085958,-0.0522612498227505,0.0024177827085958,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.52,30,-0.0500075785783765,0.0027241024049374,-0.0500075785783765,0.0027241024049374,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.53,30,-0.0451954924455575,0.0018894865705691,-0.0451954924455575,0.0018894865705691,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.54,30,-0.0454436739279025,0.0022111577301953,-0.0454436739279025,0.0022111577301953,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.55,30,-0.0424758455806179,0.0020886417501335,-0.0424758455806179,0.0020886417501335,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.56,30,-0.0444470772676558,0.0025567164596575,-0.0444470772676558,0.0025567164596575,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.57,30,-0.0395407950860159,0.0022976064174329,-0.0395407950860159,0.0022976064174329,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.58,30,-0.0383579418607333,0.0016635705416017,-0.0383579418607333,0.0016635705416017,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.59,30,-0.0429012955665524,0.001870433353708,-0.0429012955665524,0.001870433353708,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.6,30,-0.0378035613144794,0.0022472735723638,-0.0378035613144794,0.0022472735723638,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.61,30,-0.0384186940028671,0.0019923917950083,-0.0384186940028671,0.0019923917950083,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.62,30,-0.0366528065200604,0.0021260762552489,-0.0366528065200604,0.0021260762552489,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.63,30,-0.0328706361930593,0.0019574037237731,-0.0328706361930593,0.0019574037237731,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.64,30,-0.0332393896699115,0.0024962628899289,-0.0332393896699115,0.0024962628899289,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.65,30,-0.0336309501933866,0.0019243425340933,-0.0336309501933866,0.0019243425340933,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.66,30,-0.0345906992653711,0.0012010463227022,-0.0345906992653711,0.0012010463227022,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.67,30,-0.0310620878698905,0.0018764969352532,-0.0310620878698905,0.0018764969352532,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.68,30,-0.0304474861261873,0.0023256054938119,-0.0304474861261873,0.0023256054938119,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.69,30,-0.0331206674200757,0.0019142622815229,-0.0331206674200757,0.0019142622815229,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.7,30,-0.0325218518720948,0.0016228108056959,-0.0325218518720948,0.0016228108056959,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.71,30,-0.0311795562221777,0.0021909042490756,-0.0311795562221777,0.0021909042490756,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.72,30,-0.0275072224094881,0.0018087845444726,-0.0275072224094881,0.0018087845444726,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.73,30,-0.0301572804889258,0.0018159273080044,-0.0301572804889258,0.0018159273080044,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.74,30,-0.0280498446763205,0.0015570800545889,-0.0280498446763205,0.0015570800545889,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.75,30,-0.0288190016495037,0.0016883899056969,-0.0288190016495037,0.0016883899056969,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.76,30,-0.0268450911692777,0.0014706440275272,-0.0268450911692777,0.0014706440275272,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.77,30,-0.0279558631055322,0.0015365492409343,-0.0279558631055322,0.0015365492409343,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.78,30,-0.0281048195314009,0.0019721209746069,-0.0281048195314009,0.0019721209746069,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.79,30,-0.0262580859734047,0.0017784629833402,-0.0262580859734047,0.0017784629833402,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.8,30,-0.0267629004490997,0.0017924620415229,-0.0267629004490997,0.0017924620415229,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.81,30,-0.0272273418743561,0.0015029641489354,-0.0272273418743561,0.0015029641489354,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.82,30,-0.0254365325475423,0.0016160169531984,-0.0254365325475423,0.0016160169531984,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.83,30,-0.0272033871014554,0.001874873816194,-0.0272033871014554,0.001874873816194,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.84,30,-0.0245834235757491,0.0016523151523506,-0.0245834235757491,0.0016523151523506,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.85,30,-0.0259348071117125,0.0016051736805626,-0.0259348071117125,0.0016051736805626,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.86,30,-0.0240509619781489,0.0014973110766114,-0.0240509619781489,0.0014973110766114,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.87,30,-0.0217951125141426,0.0017730320791466,-0.0217951125141426,0.0017730320791466,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.88,30,-0.0253083944102518,0.0015439879792561,-0.0253083944102518,0.0015439879792561,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.89,30,-0.0256073535032392,0.0017397617144126,-0.0256073535032392,0.0017397617144126,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.9,30,-0.0252089500991597,0.0015851085643554,-0.0252089500991597,0.0015851085643554,sampling_time_direct_radial_score_derivative
