eta,rule,radius,n_units,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem,delta_phi_energy_mean,delta_phi_energy_sd,delta_phi_energy_sem,ess_fraction_min,ess_fraction_mean,split_logZ_per_P_diff_max,weighted_ce_mean,weighted_error_mean,elapsed_s_mean,d_phi_energy_raw_dd_unit_mean,d_phi_energy_raw_dd_unit_sd,d_phi_energy_raw_dd_unit_sem,d_delta_phi_energy_dd_unit_mean,d_delta_phi_energy_dd_unit_sd,d_delta_phi_energy_dd_unit_sem
0.25,eta_0p25,0.01,1,-0.00022677675791584804,,0.0,,,0.0,0.9960984000945936,0.9960984000945936,1.926629819597204e-07,0.0009671518930899506,0.0,0.730809211730957,-0.01495850019213357,,0.0,,,0.0
0.25,eta_0p25,0.02,1,-0.00037636175983718376,,0.0,,,0.0,0.9224171373090726,0.9224171373090726,6.526263552715245e-06,0.0015916242420125526,2.054188811192939e-05,1.2033915519714355,-0.02899675436465747,,0.0,,,0.0
0.25,eta_0p25,0.03,1,-0.0008067118452089973,,0.0,,,0.0,0.6134725992182216,0.6134725992182216,2.6000464768284668e-05,0.0030967768125558784,0.00023246430277279462,2.1700222492218018,-0.06870793249470275,,0.0,,,0.0
0.25,eta_0p25,0.04,1,-0.0017505204097312387,,0.0,,,0.0,0.6715521148536112,0.6715521148536112,8.04722793889243e-06,0.005729853561678962,0.00089770984849823,4.055441856384277,-0.12191635831475381,,0.0,,,0.0
0.25,eta_0p25,0.05,1,-0.0032450390115040745,,0.0,,,0.0,0.5946974208898371,0.5946974208898371,6.947795328150088e-05,0.009105570727254944,0.0019796067634236074,6.22324538230896,-0.1879776849101905,,0.0,,,0.0
0.25,eta_0p25,0.06,1,-0.005510074107935047,,0.0,,,0.0,0.6956353621888439,0.6956353621888439,0.00029295745819295205,0.014125462804106407,0.003778991162645625,8.338079929351807,-0.23940168264459752,,0.0,,,0.0
0.25,eta_0p25,0.07,1,-0.008033072664396027,,0.0,,,0.0,0.9951086617947444,0.9951086617947444,0.0003382226092372041,0.019311408579803513,0.005902317781727321,8.932698249816895,-0.3221448514308829,,0.0,,,0.0
0.25,eta_0p25,0.08,1,-0.011952971136552703,,0.0,,,0.0,0.9062265531496712,0.9062265531496712,0.0007478976711134678,0.025292757174093787,0.008255184838756105,11.141254425048828,-0.3919898472156678,,0.0,,,0.0
