pair_id,pair_label,pair_order,pair_rank_complexity_desc,complexity_mean,radius,n_units,delta_phi_energy_unit_mean,delta_phi_energy_unit_sem,phi_energy_raw_mean,phi_energy_raw_sem
pair_7_9,7/9,1,1,0.10546875,0.01,30,0.0024715929669027015,0.00010723969059661208,-0.0004032034931414221,5.0648719060528744e-05
pair_7_9,7/9,1,1,0.10546875,0.02,30,0.002444792483766048,0.00010426785939882195,-0.00043000397627807583,5.38830406018613e-05
pair_7_9,7/9,1,1,0.10546875,0.03,30,0.0023895888225055387,9.862259973033892e-05,-0.00048520763753858516,5.955037476119746e-05
pair_7_9,7/9,1,1,0.10546875,0.04,30,0.002286588961989932,8.994081030673815e-05,-0.0005882074980541916,6.765406639227362e-05
pair_7_9,7/9,1,1,0.10546875,0.05,30,0.002114682117411621,7.743328267586815e-05,-0.0007601143426325022,7.883674364482458e-05
pair_7_9,7/9,1,1,0.10546875,0.06,30,0.0018646343770813924,6.362220297305421e-05,-0.001010162082962731,9.058400399927552e-05
pair_7_9,7/9,1,1,0.10546875,0.07,30,0.0015214619562870801,4.801671129123964e-05,-0.0013533345037570433,0.00010460690155249345
pair_7_9,7/9,1,1,0.10546875,0.08,30,0.0010907863463039068,3.080429539460398e-05,-0.0017840101137402168,0.00012100137894469728
pair_7_9,7/9,1,1,0.10546875,0.09,30,0.0005748661516577202,1.88390229727469e-05,-0.002299930308386403,0.0001335501524164125
pair_7_9,7/9,1,1,0.10546875,0.1,30,0.0,0.0,-0.002874796460044123,0.0001444259190669211
pair_7_9,7/9,1,1,0.10546875,0.11,30,-0.0006676545937957687,2.538000147605257e-05,-0.0035424510538398925,0.00016012198078165318
pair_7_9,7/9,1,1,0.10546875,0.12,30,-0.001392636974649855,3.918814383995901e-05,-0.004267433434693978,0.00017413756920261597
pair_7_9,7/9,1,1,0.10546875,0.13,30,-0.0020711252163805936,5.177303605486233e-05,-0.004945921676424717,0.0001814808474997796
pair_7_9,7/9,1,1,0.10546875,0.14,30,-0.0029704221732514526,6.984535139584061e-05,-0.005845218633295576,0.00020425632597587486
pair_7_9,7/9,1,1,0.10546875,0.15,30,-0.0037294633232587793,7.438261320886434e-05,-0.006604259783302901,0.00020875839525237496
pair_7_9,7/9,1,1,0.10546875,0.16,30,-0.004572069527839776,9.284850015671772e-05,-0.007446865987883899,0.000219548865175258
pair_7_9,7/9,1,1,0.10546875,0.17,30,-0.005347697597161519,0.00012565589813731475,-0.008222494057205643,0.0002462982935263233
pair_7_9,7/9,1,1,0.10546875,0.18,30,-0.006374684062189202,0.00011448941605890492,-0.009249480522233325,0.00023511535389609333
pair_7_9,7/9,1,1,0.10546875,0.19,30,-0.007085980089674813,0.00014269826683900323,-0.009960776549718936,0.00024941836978951097
pair_7_9,7/9,1,1,0.10546875,0.2,30,-0.008109079425112149,0.00015393332137225214,-0.010983875885156268,0.00025924207591381416
pair_7_9,7/9,1,1,0.10546875,0.21,30,-0.0087008841889821,0.00013327561770817424,-0.011575680649026227,0.00023667249315426084
pair_7_9,7/9,1,1,0.10546875,0.22,30,-0.00974771904199534,0.0001627964992341444,-0.012622515502039461,0.0002795317371193173
pair_7_9,7/9,1,1,0.10546875,0.23,30,-0.010924777497435553,0.00015703180290185567,-0.013799573957479676,0.00026441444934780455
pair_7_9,7/9,1,1,0.10546875,0.24,30,-0.011649702379012269,0.00018564753672172874,-0.014524498839056389,0.0002742955829599618
pair_7_9,7/9,1,1,0.10546875,0.25,30,-0.01260408192289343,0.0001838653413517609,-0.015478878382937555,0.00028315711149190325
pair_7_9,7/9,1,1,0.10546875,0.26,30,-0.013340604817610907,0.00019278097870539394,-0.016215401277655025,0.00027734913048491197
pair_7_9,7/9,1,1,0.10546875,0.27,30,-0.014284927494268554,0.00023777667258569597,-0.01715972395431268,0.0003222789193829789
pair_7_9,7/9,1,1,0.10546875,0.28,30,-0.0149592021093763,0.0002346595795835177,-0.01783399856942042,0.00032938181686647025
