rule,radius,n_units,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_phi,mean_logZ,mean_delta_phi_energy,weighted_ce_mean,qc_pass,claim_status
low_tv_spectral_teacher,0.01,60,1.0,0.9738129463251489,5.18410997855041e-06,0.0,-3.4569847911028604,0.0,0.006673282049709558,True,claimable_rule_radius
low_tv_spectral_teacher,0.02,60,1.0,0.8811268601694109,9.144362100249178e-06,8.508523271246295e-06,-3.6883699907297407,-9.402080439938221e-05,0.007089657878996594,True,claimable_rule_radius
low_tv_spectral_teacher,0.03,60,1.0,0.7119758995629619,1.647935757073171e-05,2.198443480110097e-05,-4.1071316322696925,-0.00026417994358668477,0.007812757831668264,True,claimable_rule_radius
low_tv_spectral_teacher,0.05,60,1.0,0.5465906928252728,5.572908114821719e-05,6.624211683500714e-05,-5.6649925410433175,-0.0008971994107844196,0.010251805280550563,True,claimable_rule_radius
low_tv_spectral_teacher,0.08,60,1.0,0.6545061769601179,0.00019383897195390226,0.00013721710740757968,-10.089232940776032,-0.0026949403290016955,0.016002860839023126,True,claimable_rule_radius
random_label,0.01,60,1.0,0.7582849260089978,0.0011588364054229364,0.0,-72.58675195026623,0.0,0.14018241755018573,True,claimable_rule_radius
random_label,0.02,60,1.0,0.5604753686975648,0.0042931518535628925,0.022801308427425424,-34.155662336461674,0.015616046165706847,0.06449849366397041,False,no_claim
random_label,0.03,60,1.0,0.5883317661702359,0.004862503750040444,0.015782337469124618,-62.82820802763284,0.003965275872666962,0.11450472627110027,False,no_claim
random_label,0.05,60,1.0,0.58402878520018,0.0002820511262066597,0.0207294507141033,-16.24422214669884,0.022894160830380893,0.021658208700446508,False,no_claim
random_label,0.08,60,1.0,0.6930968810194097,0.002419989333714199,0.019504508599686398,-40.7054773600378,0.012954601621384976,0.04439134781682167,False,no_claim
real_even_odd,0.01,60,1.0,0.9985442329821796,3.878187805136092e-06,0.0,-0.8607115405348452,0.0,0.0016014475830949332,True,claimable_rule_radius
real_even_odd,0.02,60,1.0,0.9924141950826286,2.25029721360726e-06,2.2534881270830227e-06,-0.9196276964905544,-2.393992521564777e-05,0.0017134299657877796,True,claimable_rule_radius
real_even_odd,0.03,60,1.0,0.9726273177088658,3.928216293885495e-06,6.6660263244096255e-06,-1.0416369670894527,-7.351703638951942e-05,0.0019408234218640913,True,claimable_rule_radius
real_even_odd,0.05,60,1.0,0.7753575054307802,0.0025063757281134033,0.013665717074156484,-52.48528236572023,-0.020977070631932302,0.09019613686845433,False,no_claim
real_even_odd,0.08,60,1.0,0.5757296858461491,6.636752539097294e-05,5.742732585390011e-05,-4.334920824318975,-0.0014117063322974933,0.006497398253946704,True,claimable_rule_radius
teacher_nn,0.01,60,1.0,0.9689356901528012,3.161772488427757e-06,0.0,-2.7151924548699284,0.0,0.0052183767046470155,True,claimable_rule_radius
teacher_nn,0.02,60,1.0,0.8324340822741025,1.4365435957703001e-05,1.0283211306064964e-05,-3.149019368385901,-0.00017628074502883904,0.005975533745764367,True,claimable_rule_radius
teacher_nn,0.03,60,1.0,0.5865889785464319,2.929327256926195e-05,2.6709704264146046e-05,-3.9500112809940777,-0.0005017549069988421,0.0072423080367497806,True,claimable_rule_radius
teacher_nn,0.05,60,1.0,0.5370530365628551,7.78048393214487e-05,7.600971697748984e-05,-6.883940625200981,-0.0016939244901792167,0.011152622378036419,True,claimable_rule_radius
teacher_nn,0.08,60,1.0,0.5466312412784097,0.00043651824728204304,0.00016134648693910363,-14.560981224136105,-0.004813404619774961,0.01966068143967987,True,claimable_rule_radius
