eta,rule,radius,n_units,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem,delta_phi_energy_mean,delta_phi_energy_sd,delta_phi_energy_sem,ess_fraction_min,ess_fraction_mean,split_logZ_per_P_diff_max,weighted_ce_mean,weighted_error_mean,elapsed_s_mean,d_phi_energy_raw_dd_unit_mean,d_phi_energy_raw_dd_unit_sd,d_phi_energy_raw_dd_unit_sem,d_delta_phi_energy_dd_unit_mean,d_delta_phi_energy_dd_unit_sd,d_delta_phi_energy_dd_unit_sem
0.25,eta_0p25,0.1,10,-0.019536134652939584,0.0018723603971758027,0.0005920923455773035,0.0,0.0,0.0,0.6089933255380157,0.7747947566832489,0.0037670937971639395,0.05127403123511866,0.018276810224590677,11.020798492431641,-0.525408482484385,0.06548762967730505,0.020709006834592158,-0.5254084824843849,0.06548762967730508,0.02070900683459216
0.25,eta_0p25,0.2,10,-0.07207698290137808,0.006566560437028412,0.0020765287374160473,-0.0525408482484385,0.00654876296773051,0.002070900683459217,0.5505159182383585,0.7614274478022172,0.012412888233221118,0.21724557140500084,0.08791333142746033,19.670304250717162,-0.4931204745635404,0.03569341932595914,0.011287250254950287,-0.4931204745635404,0.035693419325959146,0.011287250254950289
0.25,eta_0p25,0.3,10,-0.11816022956564767,0.006267018211398505,0.0019818051685773883,-0.09862409491270809,0.007138683865191827,0.002257450050990058,0.6320598128239269,0.7258022403603992,0.009668883845479453,0.398512171922797,0.1600461763968713,22.246016430854798,-0.3275730126671438,0.029185221162209802,0.00922917728883295,-0.3275730126671438,0.029185221162209788,0.009229177288832944
0.25,eta_0p25,0.4,10,-0.13759158543480682,0.006043216350595485,0.0019110328061052383,-0.11805545078186723,0.006779634653152445,0.0021439087207767377,0.5770429697833631,0.7620010381735786,0.007358402322262886,0.49564343322419624,0.22017496689982358,22.712637853622436,-0.10609320940807669,0.01917782051071013,0.006064559337173757,-0.10609320940807672,0.019177820510710136,0.006064559337173762
0.25,eta_0p25,0.5,10,-0.13937887144726302,0.0063707400741263905,0.002014604901514932,-0.11984273679432342,0.007171887160796161,0.002267949854983412,0.5637340540865597,0.7736086009598575,0.010612689503451941,0.5354985764518874,0.26026975840725164,21.85849287509918,-0.023733279282958895,0.020172847128081397,0.006379214381512365,-0.023733279282958885,0.020172847128081452,0.006379214381512381
0.25,eta_0p25,0.6,10,-0.1423382412913986,0.005468830617639597,0.0017293960889406522,-0.122802106638459,0.00570431606313907,0.0018038631253004323,0.5869243846958888,0.7796255207992269,0.009154445696073672,0.5671269327925621,0.28254638666754045,20.698007440567018,-0.024830978332706043,0.01749693621982121,0.005533017052933158,-0.024830978332706012,0.017496936219821204,0.0055330170529331564
0.25,eta_0p25,0.7,10,-0.1443450671138042,0.005048356016086729,0.001596430345024769,-0.12480893246086464,0.005553203827731506,0.001756077240679687,0.71329858881092,0.8671179979293393,0.007689252990682579,0.5862117656535267,0.2987798031705648,20.005854296684266,-0.01716352649699924,0.024551648156035204,0.00776391284841443,-0.01716352649699924,0.0245516481560352,0.0077639128484144285
0.25,eta_0p25,0.8,10,-0.14577094659079842,0.0037104526360136406,0.0011733481479978818,-0.12623481193785885,0.004410910798216791,0.001394852467819643,0.5780847135646829,0.7948243501327567,0.007459019694909642,0.5998338104416996,0.31200520222347705,26.03444621562958,-0.019807280893114843,0.01725088384552179,0.005455208460285312,-0.019807280893114877,0.017250883845521855,0.005455208460285335
0.25,eta_0p25,0.9,10,-0.1483065232924272,0.0041217090533670064,0.0013033988461176244,-0.12877038863948762,0.004313203769593272,0.001363954792433885,0.6378892514125049,0.7966968417225252,0.007431866310150379,0.6120958022063377,0.32305130586212466,26.519942569732667,-0.023087189173371513,0.016738280016572696,0.005293108896605063,-0.02308718917337147,0.016738280016572665,0.005293108896605055
0.25,eta_0p25,1.0,10,-0.15038838442547275,0.0022181270236673505,0.0007014333534359045,-0.13085224977253315,0.002636759787971067,0.0008338166572731221,0.5975247306082775,0.8476045610801005,0.0074609395901037694,0.6289861527224936,0.3363370555266771,26.625698161125182,-0.020818611330455435,0.03643460960839713,0.011521635202159042,-0.020818611330455365,0.03643460960839725,0.011521635202159082
0.3,eta_0p30,0.1,10,-0.022370648010409062,0.003872954627179555,0.001224735789637566,0.0,0.0,0.0,0.6107951666162256,0.8230611195271036,0.002125864253161393,0.06340371345644555,0.02193403366301086,10.98311800956726,-0.5435723283801732,0.06835288723242025,0.021615080830309105,-0.5435723283801732,0.06835288723242026,0.02161508083030911
0.3,eta_0p30,0.2,10,-0.07672788084842638,0.008213156153247993,0.00259722802228906,-0.05435723283801732,0.006835288723242032,0.002161508083030912,0.5866073998175588,0.807233192769514,0.017055354272832682,0.24115420520706202,0.09782832577214864,19.36173372268677,-0.4842657590197077,0.044346361291187165,0.014023550762087708,-0.4842657590197077,0.04434636129118724,0.014023550762087715
0.3,eta_0p30,0.3,10,-0.1192237998143506,0.009153683958299342,0.0028946490289571687,-0.09685315180394154,0.008869272258237448,0.002804710152417542,0.6352483900112261,0.7895146431432873,0.010146577465493016,0.41824124773456395,0.17942386139502073,21.75059986114502,-0.3004017096979729,0.04369348909576057,0.013817094446233434,-0.3004017096979729,0.04369348909576061,0.013817094446233446
0.3,eta_0p30,0.4,10,-0.13680822278802096,0.0042668583854885145,0.0013492990951532433,-0.11443757477761189,0.006088729902264967,0.0019254254548731712,0.6412451124093457,0.8033625587289286,0.008100188140033849,0.5122741872732944,0.2403358555122986,21.246365714073182,-0.12131459019804017,0.04003642615799564,0.012660629603241054,-0.12131459019804021,0.04003642615799566,0.01266062960324106
0.3,eta_0p30,0.5,10,-0.14348671785395867,0.002481505879508928,0.0007847210606347575,-0.12111606984354958,0.0038230852640014253,0.001208965712327063,0.6619774985907823,0.8596386189653253,0.00912019612703602,0.5645866392497548,0.28169963468850656,20.52448751926422,-0.05249035141793566,0.027333868706787334,0.00864372823774491,-0.05249035141793566,0.02733386870678735,0.008643728237744919
0.3,eta_0p30,0.6,10,-0.14730629307160809,0.0024972270881643698,0.0007896925433269518,-0.12493564506119903,0.003349666580667737,0.0010592575797058186,0.7152086024031663,0.8431249566097392,0.005741620540763518,0.5982343880155592,0.3101675643821535,19.65766863822937,-0.023094744489909814,0.015522542522164676,0.004908658944685508,-0.02309474448990978,0.015522542522164725,0.004908658944685524
0.3,eta_0p30,0.7,10,-0.14810566675194062,0.0015119057142987558,0.00047810656646078665,-0.12573501874153153,0.0035833549636671426,0.0011331563350058084,0.5378321321963517,0.7680625193306625,0.00636561370497436,0.6113984120781318,0.32375440979448855,19.836019730567934,-0.011986521295647567,0.017153312911610454,0.005424353821826355,-0.011986521295647545,0.017153312911610465,0.005424353821826358
0.3,eta_0p30,0.8,10,-0.1497035973307376,0.0027885206407954857,0.0008818076527305982,-0.12733294932032851,0.004995649577118901,0.001579763105575271,0.6825544506578913,0.7798859113545813,0.0092762273880921,0.625385688730814,0.33597645628764516,24.685082864761352,-0.018032807673928453,0.015406187861113894,0.004871864370155773,-0.018032807673928473,0.015406187861113897,0.004871864370155774
0.3,eta_0p30,0.9,10,-0.15171222828672631,0.002008475605376102,0.0006351357537874002,-0.12934158027631726,0.004700232655408812,0.001486344072379319,0.5568979302695714,0.7495216649940772,0.005523062568723467,0.6334239606518755,0.344167994957753,25.046618700027466,-0.02387896962318451,0.01134705089987532,0.003588252556946923,-0.02387896962318453,0.01134705089987533,0.0035882525569469258
0.3,eta_0p30,1.0,10,-0.1544793912553745,0.0021743515617414083,0.0006875903369047079,-0.1321087432449654,0.00466042795735842,0.0014737567216378674,0.604328627891419,0.7863516012947354,0.004740775768390033,0.6490061074480316,0.36127429441694436,25.011826848983766,-0.027671629686481715,0.022320598074869667,0.007058392865375769,-0.027671629686481784,0.022320598074869507,0.0070583928653757165
0.35,eta_0p35,0.1,10,-0.023673109747826975,0.0025368752502601,0.0008022303930531581,0.0,0.0,0.0,0.721801074147103,0.8542217153076439,0.0026949180756469706,0.06256073535027665,0.023040655884929925,11.651549911499023,-0.5889850659051411,0.058216302124766424,0.01840961116667618,-0.5889850659051411,0.0582163021247664,0.01840961116667618
0.35,eta_0p35,0.2,10,-0.08257161633834109,0.007552009012705144,0.0023881549390267725,-0.05889850659051411,0.005821630212476642,0.0018409611166676177,0.5593981013546075,0.7583924488007698,0.010542699791314095,0.25009161613124653,0.10157498628083542,19.560581660270692,-0.5480807511824716,0.020561017323476233,0.006501964575236394,-0.5480807511824716,0.020561017323476222,0.006501964575236385
0.35,eta_0p35,0.3,10,-0.13328925998432128,0.006260732604780511,0.0019798174852385226,-0.10961615023649432,0.004112203464695251,0.0013003929150472795,0.5966239785103564,0.7944017619585975,0.013150691248298145,0.4617188756465942,0.19180807357836377,22.20930688381195,-0.32272538030989445,0.046407319815239115,0.014675283072002004,-0.3227253803098944,0.046407319815239156,0.014675283072002008
0.35,eta_0p35,0.4,10,-0.14711669240031994,0.004727739426223707,0.0014950424770644466,-0.12344358265249297,0.005603727694210028,0.0017720542901067224,0.6247475734653448,0.8296008093274091,0.011914705240141644,0.53341775151813,0.24928741244667657,22.649480485916136,-0.09157601206989577,0.03491851776829172,0.01104220486648615,-0.09157601206989575,0.03491851776829179,0.011042204866486173
0.35,eta_0p35,0.5,10,-0.15160446239830044,0.003988475802561829,0.001261266792856342,-0.12793135265047345,0.0044982031051366755,0.0014224567190273744,0.5888984596731404,0.8170362167323801,0.014596472419421372,0.5894445113900254,0.3013778420689966,21.25842320919037,-0.026872765635341255,0.022451994321869728,0.007099944007027594,-0.026872765635341245,0.02245199432186974,0.007099944007027597
0.35,eta_0p35,0.6,10,-0.1524912455273882,0.002276376353190264,0.0007198534087829128,-0.12881813577956122,0.003967475513807895,0.0012546259184579764,0.5519736842934377,0.7114549049763044,0.008968699963111304,0.6201395295846216,0.33558527896914925,20.018203711509706,-0.01311812975999167,0.01215092059288224,0.0038424584741351426,-0.013118129759991682,0.012150920592882197,0.0038424584741351296
0.35,eta_0p35,0.7,10,-0.15422808835029878,0.0028601047932887537,0.0009044445493557527,-0.1305549786024718,0.004470553228978132,0.0014137130604591167,0.6383825572612228,0.7477157336768037,0.006769173448561482,0.6343402700607346,0.3480441161525569,19.939193415641785,-0.013682287581591335,0.017014888073798046,0.005380580044603694,-0.013682287581591379,0.017014888073798046,0.005380580044603694
0.35,eta_0p35,0.8,10,-0.15522770304370645,0.0038368915996521646,0.001213331659006776,-0.13155459329587949,0.00578873722253537,0.0018305594399408752,0.57588355507374,0.8028932819285333,0.005196285940218836,0.6475360064994424,0.3644178817675054,26.086496114730835,-0.007416823659921556,0.02265277239289184,0.007163435607892085,-0.00741682365992159,0.02265277239289179,0.007163435607892072
0.35,eta_0p35,0.9,10,-0.15571145308228312,0.002831490841366789,0.0008953960232625567,-0.13203834333445613,0.002636288501642876,0.0008336676234504043,0.6222290634694013,0.8723156171308382,0.012142886087516765,0.6533397884318836,0.36986569267570923,26.393168330192566,-0.012131468367429277,0.017206014609218778,0.005441019561926331,-0.012131468367429298,0.017206014609218747,0.0054410195619263215
0.35,eta_0p35,1.0,10,-0.15765399671719232,0.0027290616938898935,0.0008630050827809288,-0.13398088696936533,0.004725841937045998,0.00149444243830074,0.6923453894773175,0.8402398354835059,0.004773316985502754,0.6587156067781963,0.3710045541199515,26.767745089530944,-0.019425436349092027,0.041346619260487924,0.013074949041092857,-0.019425436349092027,0.04134661926048782,0.013074949041092824
0.4,eta_0p40,0.1,10,-0.02229688079269931,0.0020742173570439566,0.00065592512105136,0.0,0.0,0.0,0.5301803563501987,0.7191295843645801,0.006594015361858199,0.056128620575739994,0.02081431219471746,11.77497706413269,-0.6555318724404005,0.06261062088082481,0.019799216770070415,-0.6555318724404005,0.06261062088082478,0.019799216770070405
0.4,eta_0p40,0.2,10,-0.08785006803673936,0.007027219489740646,0.0022222019205506674,-0.06555318724404005,0.006261062088082477,0.00197992167700704,0.5291727356630067,0.7599530816209119,0.0060801823338514594,0.25969956432070174,0.10124033914585609,20.972173118591307,-0.576882892012537,0.027027947329212924,0.008546987403937759,-0.576882892012537,0.02702794732921296,0.008546987403937776
0.4,eta_0p40,0.3,10,-0.1376734591952067,0.005445546809893399,0.001722033102432707,-0.1153765784025074,0.005405589465842593,0.001709397480787556,0.6424889565502548,0.7517081121352787,0.017883813659255853,0.47522650624182344,0.18822977840308935,23.58896815776825,-0.3221844801722622,0.037789861314153704,0.011950203421460954,-0.3221844801722622,0.037789861314153635,0.011950203421460933
0.4,eta_0p40,0.4,10,-0.15228696407119177,0.004300419418801025,0.0013599120257428768,-0.12999008327849246,0.004424270433448042,0.0013990771554236235,0.6462944973428293,0.8060350894722994,0.01936363222678898,0.5535109782462285,0.25895252398560864,23.150734996795656,-0.09445539371492219,0.026297828899430744,0.008316103683960024,-0.09445539371492226,0.02629782889943077,0.008316103683960033
0.4,eta_0p40,0.5,10,-0.15656453793819117,0.004444823409409857,0.0014055765770970246,-0.13426765714549185,0.0036696224673879335,0.001160436514987282,0.535829508205893,0.7703239102853908,0.014359922489416617,0.6068803514720724,0.3163695569325452,21.848811006546022,-0.021083296700586528,0.02596729001999524,0.008211578112534425,-0.021083296700586496,0.025967290019995218,0.008211578112534416
0.4,eta_0p40,0.6,10,-0.15650362341130908,0.004085660033092133,0.001291999144969005,-0.13420674261860976,0.004161534557368722,0.0013159927762785833,0.6139462357715078,0.8466978033653095,0.01423704745700395,0.6316426390873258,0.3404823954327928,20.792708706855773,0.002813926080618823,0.029302323997827697,0.009266208456934632,0.002813926080618778,0.029302323997827718,0.009266208456934637
