N,r,reference_count,split_pass,smc_pass,claim,max_split_logZ_per_N_diff,min_smc_cess_fraction,max_smc_step_count
40,0.15,100,True,True,pass,0.0002822332344577,0.979574088273349,1.0
40,0.2,100,True,True,pass,0.000364501925041,0.9666909024697864,1.0
40,0.25,100,True,True,pass,0.0004776900530307,0.9489445487783382,1.0
40,0.3,100,True,True,pass,0.0006975798937434,0.9315096937847048,1.0
40,0.35,100,True,True,pass,0.000860190748897,0.9109658024740068,1.0
40,0.4,100,True,True,pass,0.001380734295804,0.8825522514381853,1.0
40,0.45,100,True,True,pass,0.0009178671437519,0.8599273362427018,1.0
40,0.5,100,True,True,pass,0.0013773343427958,0.85000000000035,2.0
40,0.55,100,True,True,pass,0.0014243380933895,0.8500000000000232,2.0
40,0.6,100,True,True,pass,0.0015009498123644,0.8500000000000149,2.0
40,0.65,100,True,True,pass,0.0010575154392197,0.8500000000000526,2.0
40,0.7,100,True,True,pass,0.0013594186967964,0.8500000000000126,2.0
40,0.75,100,True,True,pass,0.0017403154809323,0.8500000000000059,2.0
40,0.8,100,True,True,pass,0.0016961270831159,0.8500000000000059,2.0
40,0.85,100,True,True,pass,0.0015631253740677,0.8500000000000285,2.0
40,0.9,100,True,True,pass,0.0018654176113293,0.850000000000024,2.0
40,0.95,100,True,True,pass,0.0019211931886383,0.8500000000000051,2.0
40,1.0,100,True,True,pass,0.0015598349763606,0.8500000000000911,2.0
40,1.05,100,True,True,pass,0.0023669743591561,0.8500000000000383,2.0
40,1.1,100,True,True,pass,0.0017600727451297,0.8500000000000035,3.0
40,1.15,100,True,True,pass,0.0017511908498052,0.8500000000000119,3.0
40,1.2,100,True,True,pass,0.0023287406534255,0.8500000000000081,3.0
40,1.25,100,True,True,pass,0.0021155552623844,0.8500000000000564,3.0
40,1.3,100,True,True,pass,0.0024265352783239,0.8500000000000164,3.0
40,1.35,100,True,True,pass,0.0028998947432127,0.8500000000000073,3.0
40,1.4,100,True,True,pass,0.0034456939832354,0.8500000000000353,3.0
40,1.45,100,True,True,pass,0.0028664814032178,0.8500000000000051,3.0
40,1.5,100,True,True,pass,0.0029426992157162,0.850000000000027,3.0
40,1.55,100,True,True,pass,0.0039824475840239,0.8500000000000096,3.0
40,1.6,100,True,True,pass,0.0024782655547887,0.8500000000000051,3.0
40,1.65,100,True,True,pass,0.0034998139455789,0.8500000000000065,4.0
40,1.7,100,True,True,pass,0.00360084344416,0.850000000000027,4.0
40,1.75,100,True,True,pass,0.0040406989844838,0.8500000000000609,4.0
40,1.8,100,True,True,pass,0.0028657984541313,0.850000000000021,4.0
40,1.85,100,True,True,pass,0.0044638925745248,0.8500000000000119,4.0
40,1.9,100,True,True,pass,0.0042562995597238,0.8500000000000051,4.0
40,1.95,100,True,True,pass,0.0044853707031444,0.8500000000000353,4.0
40,2.0,100,True,True,pass,0.0011926409071158,0.8500000000000103,4.0
40,2.05,100,True,True,pass,0.0059277203723576,0.8500000000000141,4.0
40,2.1,100,True,True,pass,0.0012023045911648,0.8500000000000149,4.0
40,2.15,100,True,True,pass,0.0012590695472528,0.8500000000000194,5.0
40,2.2,100,True,True,pass,0.0010579008848527,0.8500000000000028,5.0
80,0.15,100,True,True,pass,0.0001969924907651,0.9602589059445664,1.0
80,0.2,100,True,True,pass,0.0002737454245025,0.931791642912298,1.0
80,0.25,100,True,True,pass,0.0002809965834154,0.9030876937856848,1.0
80,0.3,100,True,True,pass,0.0004682042671681,0.850000000003071,2.0
80,0.35,100,True,True,pass,0.0005125666283414,0.8500000000004935,2.0
80,0.4,100,True,True,pass,0.000546486474493,0.8500000000002044,2.0
80,0.45,100,True,True,pass,0.0006642090378751,0.8500000000000262,2.0
80,0.5,100,True,True,pass,0.0005815098003113,0.8500000000000103,2.0
80,0.55,100,True,True,pass,0.00076304430532,0.8500000000000059,2.0
80,0.6,100,True,True,pass,0.0008206553588714,0.8500000000000005,2.0
80,0.65,100,True,True,pass,0.0009667432890015,0.8500000000000021,2.0
80,0.7,100,True,True,pass,0.0009712689328663,0.8500000000000089,3.0
80,0.75,100,True,True,pass,0.0010611630649139,0.8500000000000111,3.0
80,0.8,100,True,True,pass,0.0013163118328914,0.8500000000000202,3.0
80,0.85,100,True,True,pass,0.0012481441912438,0.8500000000000526,3.0
80,0.9,100,True,True,pass,0.0013666650600898,0.8500000000000005,3.0
80,0.95,100,True,True,pass,0.0016895616713811,0.8500000000000345,3.0
80,1.0,100,True,True,pass,0.0014629108747775,0.8500000000000307,3.0
80,1.05,100,True,True,pass,0.0019285000642728,0.8500000000000103,3.0
80,1.1,100,True,True,pass,0.0017441087677714,0.8500000000000059,3.0
80,1.15,100,True,True,pass,0.0019657535035868,0.8500000000000073,3.0
80,1.2,100,True,True,pass,0.0014792611953888,0.8500000000000224,3.0
80,1.25,100,True,True,pass,0.0015142524242419,0.8500000000000247,4.0
80,1.3,100,True,True,pass,0.0020654613340686,0.8500000000000032,4.0
80,1.35,100,True,True,pass,0.0022385761387879,0.8500000000000081,4.0
80,1.4,100,True,True,pass,0.002186808630136,0.8500000000000254,4.0
80,1.45,100,True,True,pass,0.0021497542869029,0.8500000000000126,4.0
80,1.5,100,True,True,pass,0.0022943814306695,0.8500000000000036,4.0
80,1.55,100,True,True,pass,0.0025352711980332,0.8500000000000059,4.0
80,1.6,100,True,True,pass,0.0034153354596466,0.8500000000000096,4.0
80,1.65,100,True,True,pass,0.0029887213323737,0.8500000000000263,4.0
80,1.7,100,True,True,pass,0.0029284513444038,0.8500000000000043,5.0
80,1.75,100,True,True,pass,0.0038547532318323,0.8500000000000194,5.0
80,1.8,100,True,True,pass,0.0036716844614041,0.8500000000000029,5.0
80,1.85,100,True,True,pass,0.0011253551615894,0.8500000000000323,5.0
80,1.9,100,True,True,pass,0.0030600234552576,0.8500000000000156,5.0
80,1.95,100,True,True,pass,0.0033381088137897,0.8500000000000089,5.0
80,2.0,100,True,True,pass,0.0012451319552678,0.8500000000000345,5.0
80,2.05,100,True,True,pass,0.0010117443813092,0.8500000000000066,5.0
80,2.1,100,True,True,pass,0.0011240013497358,0.850000000000027,6.0
80,2.15,100,True,True,pass,0.0010413169950009,0.850000000000018,6.0
