r,N,phi_emp,weighted_CE,weighted_err,reference_count,mean_ess_frac,q05_ess_frac,max_split_logZ_per_N_diff,fallback_unit_count,fallback_unit_fraction,min_smc_cess_fraction,max_smc_step_count
0.15,40,0.0,1.6873937184782508,0.04966446020299229,100,0.9898689553960532,0.984163451649826,0.0002822332344577,0,0.0,0.979574088273349,1.0
0.2,40,0.27960917423662796,1.6991289787963562,0.06336425449463638,100,0.9821642625801722,0.9726954410148472,0.000364501925041,0,0.0,0.9666909024697864,1.0
0.25,40,0.49587853872740606,1.7134490830602516,0.07592250388605803,100,0.972708825975601,0.9576790960733977,0.0004776900530307,0,0.0,0.9489445487783382,1.0
0.3,40,0.6718060399444572,1.730963594794074,0.08792613489763858,100,0.961592219851528,0.9419735217528549,0.0006975798937434,0,0.0,0.9315096937847048,1.0
0.35,40,0.8196304268127855,1.750089380653953,0.09993680139433807,100,0.9489822640696398,0.9227678420236721,0.000860190748897,0,0.0,0.9109658024740068,1.0
0.4,40,0.9465645436859424,1.7717981877073377,0.11132387029033339,100,0.9349298208232162,0.900398557775181,0.001380734295804,0,0.0,0.8825522514381853,1.0
0.45,40,1.0572560728102964,1.7952043207810062,0.12313354159099882,100,0.9198855097797263,0.8763080898725125,0.0009178671437519,0,0.0,0.8599273362427018,1.0
0.5,40,1.1548133983366122,1.8208797915426793,0.13517153563239576,100,0.9042665510260313,0.8600853529725961,0.0013773343427958,0,0.0,0.85000000000035,2.0
0.55,40,1.2414182797083861,1.8489628090689052,0.14713889778016015,100,0.9075268391842222,0.8654087978316132,0.0014243380933895,0,0.0,0.8500000000000232,2.0
0.6,40,1.318795973837611,1.8755504000157683,0.15774688493705796,100,0.9116440828403146,0.8572862467892685,0.0015009498123644,0,0.0,0.8500000000000149,2.0
0.65,40,1.3879956755603449,1.905311759773926,0.16974021495606423,100,0.9347689712022057,0.8576697089598481,0.0010575154392197,0,0.0,0.8500000000000526,2.0
0.7,40,1.4499777375504987,1.9372131663830965,0.18186500528239755,100,0.9583100286662242,0.858870134982532,0.0013594186967964,0,0.0,0.8500000000000126,2.0
0.75,40,1.505529884981338,1.9665879245312972,0.19310281730947274,100,0.9748581125719734,0.8621212296015653,0.0017403154809323,0,0.0,0.8500000000000059,2.0
0.8,40,1.5551631356512126,1.9988715057314876,0.20452336214350844,100,0.9839014602015989,0.8625625372537252,0.0016961270831159,0,0.0,0.8500000000000059,2.0
0.85,40,1.599277370082374,2.0336374053963224,0.21655273956920568,100,0.9955622038836128,1.0000000000000002,0.0015631253740677,0,0.0,0.8500000000000285,2.0
0.9,40,1.6383689648818192,2.068716207325395,0.22808374992825967,100,0.9991920474630723,1.0000000000000002,0.0018654176113293,0,0.0,0.850000000000024,2.0
0.95,40,1.6727061249112434,2.103382452954198,0.23950805664062497,100,1.0000000000000002,1.0000000000000002,0.0019211931886383,0,0.0,0.8500000000000051,2.0
1.0,40,1.7025400213039323,2.1341714175169173,0.25057495117187495,100,1.0000000000000002,1.0000000000000002,0.0015598349763606,0,0.0,0.8500000000000911,2.0
1.05,40,1.7280196509657584,2.1736426571411185,0.262921142578125,100,1.0000000000000002,1.0000000000000002,0.0023669743591561,0,0.0,0.8500000000000383,2.0
1.1,40,1.7494502051312153,2.2095835569519706,0.2746293678632145,100,0.9999992879488875,1.0000000000000002,0.0017600727451297,0,0.0,0.8500000000000035,3.0
1.15,40,1.7669359920785408,2.247128636542968,0.28491592744364524,100,0.9999928242945577,0.9999990648602773,0.0017511908498052,0,0.0,0.8500000000000119,3.0
1.2,40,1.7805471130253812,2.2843813679034675,0.29655557342210676,100,0.9998911431877933,0.9994384275533542,0.0023287406534255,0,0.0,0.8500000000000081,3.0
1.25,40,1.7905221454665976,2.3206018159953086,0.3060756569497377,100,0.9995636043906613,0.997480798160552,0.0021155552623844,0,0.0,0.8500000000000564,3.0
1.3,40,1.796872707254059,2.3580702880053903,0.31650376299024147,100,0.9987040632605236,0.9937217356734005,0.0024265352783239,0,0.0,0.8500000000000164,3.0
1.35,40,1.799768108923167,2.3952266190807503,0.3263498027547049,100,0.997307788861987,0.9871099449260295,0.0028998947432127,0,0.0,0.8500000000000073,3.0
1.4,40,1.7991628726704212,2.4367109699055605,0.33605904403863496,100,0.9947659351887923,0.9796060204959727,0.0034456939832354,0,0.0,0.8500000000000353,3.0
1.45,40,1.7953415520450404,2.471448618750541,0.34489747177863556,100,0.9913389725531135,0.9665029562057804,0.0028664814032178,0,0.0,0.8500000000000051,3.0
1.5,40,1.7881449073500557,2.5084621207983444,0.35286635317797066,100,0.9864195907573982,0.9534255975483182,0.0029426992157162,0,0.0,0.850000000000027,3.0
