run,rule,radius,target_ref_count,observed_ref_count,n_samples_min,n_samples_max,sampling_complete,diagnostic_phi_available,strict_claim_qc_pass,claim_status_updated,strict_claim_fail_reason,unit_strict_qc_pass_count,unit_split_fail_count,unit_split_fail_fraction,refs_remaining_if_drop_split_fail,split_fail_ref_ids,max_split_logZ_per_P_diff,split_logZ_per_P_diff_q99,split_logZ_per_P_diff_q95,split_logZ_per_P_diff_q90,split_logZ_per_P_diff_median,q05_ess_fraction,finite_unit_fraction,bootstrap_sd_delta_phi_energy,delta_phi_energy,delta_phi_full,phi_energy_raw
60ref,low_tv_spectral_teacher,1.4,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,29,31,0.5166666666666667,29,"000,003,006,007,009,010,011,013,015,016,017,018,019,020,021,023,027,028,029,030,033,034,036,040,042,043,047,051,052,056,058",0.0134185432020094,0.012625177934645388,0.011364289989374863,0.01016828032804269,0.00438183540857395,0.6149924568076028,1.0,0.0005300090033491,-0.0873756886981854,2.5506092893000005,-0.0931958032819313
60ref,low_tv_spectral_teacher,1.5,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,32,28,0.4666666666666667,32,"003,005,007,013,017,022,024,025,027,029,031,032,033,037,038,039,040,042,043,044,045,046,048,049,052,055,056,059",0.0172519904203087,0.01679533605751001,0.01280750593087825,0.010864055849164582,0.00299454532815605,0.6178518992942509,1.0,0.000482381435863,-0.0907052870342182,2.6162445279643336,-0.0965254016179641
60ref,low_tv_spectral_teacher,1.6,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,26,34,0.5666666666666667,26,"000,001,002,004,005,007,011,014,015,016,017,022,023,024,026,031,033,034,035,036,038,040,043,044,045,046,049,050,052,053,054,055,056,057",0.0156820237494559,0.015182801366492884,0.01441056523441496,0.0116927908590553,0.00433404765104735,0.6083998680519603,1.0,0.0007104115430012,-0.0934018033146336,2.6780603083106658,-0.0992219178983794
60ref,low_tv_spectral_teacher,1.7,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,24,36,0.6,24,"000,002,003,007,008,009,011,012,013,016,017,018,021,023,024,025,026,028,031,033,036,038,039,040,041,042,043,045,046,047,048,052,053,055,057,058",0.0160380982885332,0.015152124716671078,0.012805046422866475,0.01194480497646412,0.00598088740505815,0.6293526945886749,1.0,0.0005016655563734,-0.0969878451625668,2.735074254137836,-0.1028079597463127
60ref,low_tv_spectral_teacher,1.8,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,23,37,0.6166666666666667,23,"001,003,007,008,011,012,013,014,015,017,019,020,023,024,025,026,027,031,032,034,035,036,037,038,041,043,045,046,047,048,049,050,051,052,053,057,058",0.0198682473890811,0.01958074032741524,0.017670860401823165,0.012519531419143151,0.00533331703905335,0.5667732682466822,1.0,0.0006397720702185,-0.0991373446873361,2.790059942766774,-0.104957459271082
60ref,low_tv_spectral_teacher,1.9,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,23,37,0.6166666666666667,23,"000,002,005,006,010,014,015,016,017,018,020,023,025,026,027,028,030,031,032,033,035,036,038,039,040,043,044,045,046,047,048,051,053,055,057,058,059",0.0207193767938151,0.020257542605183084,0.017067059373934,0.014927536157227802,0.00596128783365285,0.6486399603888419,1.0,0.0006133352000908,-0.1007304323617182,2.842512106748173,-0.1065505469454641
60ref,low_tv_spectral_teacher,2.0,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,28,32,0.5333333333333333,28,"000,002,005,006,010,011,013,015,018,019,020,021,024,025,026,027,028,029,030,031,032,036,037,038,039,041,042,049,051,056,057,058",0.0165795657543017,0.016343320413827443,0.015094679396146244,0.013046993854799231,0.0046387986332138,0.588455296699119,1.0,0.0006175767836476,-0.1041210425795278,2.890393948457781,-0.1099411571632737
60ref,low_tv_spectral_teacher,2.1,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,20,40,0.6666666666666666,20,"001,002,003,006,007,010,011,013,014,015,016,017,018,019,020,021,023,024,025,029,030,032,036,039,040,041,042,044,045,047,048,049,050,051,053,054,056,057,058,059",0.0222480136802669,0.019656299361796057,0.015351010488950264,0.01326544054334788,0.0073180472067031505,0.62149505812058,1.0,0.0007480794396215,-0.10714500947942,2.936140320386334,-0.1129651240631658
60ref,low_tv_spectral_teacher,2.2,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,19,41,0.6833333333333333,19,"000,001,002,003,004,005,007,008,009,010,011,013,016,017,018,019,020,021,022,026,027,028,029,030,031,034,036,038,039,041,044,045,047,048,049,050,051,052,053,054,059",0.0188823752735494,0.017825350544146978,0.015892061159732396,0.013660806725647732,0.00623281269567835,0.6265305102647052,1.0,0.0007623174173758,-0.1089826413667279,2.98080380124256,-0.1148027559504737
60ref,low_tv_spectral_teacher,2.3,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,22,38,0.6333333333333333,22,"000,003,004,007,008,009,010,011,014,016,017,019,020,021,023,024,025,026,028,029,030,031,033,034,036,037,038,039,040,043,045,047,049,050,053,054,056,057",0.0305737310342763,0.022766320774346472,0.015985841710631003,0.01494589732636842,0.00536139268505305,0.5952475453064042,1.0,0.0007752148157946,-0.1108725888998012,3.0233475538006087,-0.116692703483547
60ref,low_tv_spectral_teacher,2.4,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,20,40,0.6666666666666666,20,"000,001,002,004,006,007,008,009,010,011,012,014,015,018,019,020,021,022,023,024,025,026,027,028,029,032,033,036,040,041,044,047,048,049,050,052,053,054,056,057",0.0211850071370767,0.020909722898350813,0.017465688959646578,0.0143620038433194,0.0059383047068249,0.5656540025578323,1.0,0.0008545734091264,-0.1135709693300138,3.063191494162853,-0.1193910839137597
