run,rule,refs_total,refs_with_any_split_fail,refs_to_remove_for_all_radii_strict_pass,refs_remaining_after_global_drop,refs_fail_5plus_radii,refs_fail_10plus_radii,refs_fail_20plus_radii,bad_ref_ids,top_bad_refs
60ref,low_tv_spectral_teacher,60,60,60,0,60,45,0,"000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059",007:16fail:max0.02225; 045:16fail:max0.01748; 021:15fail:max0.01324; 052:14fail:max0.01723; 036:14fail:max0.01568; 011:14fail:max0.01506; 038:14fail:max0.01486; 014:13fail:max0.03057; 000:13fail:max0.01730; 034:13fail:max0.01640; 020:12fail:max0.02072; 039:12fail:max0.02031; 057:12fail:max0.01987; 048:12fail:max0.01844; 024:12fail:max0.01736
60ref,random_label,60,60,60,0,59,18,0,"000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059",035:14fail:max0.01602; 059:12fail:max0.01035; 030:12fail:max0.01022; 055:11fail:max0.01433; 050:11fail:max0.01360; 039:11fail:max0.01065; 038:11fail:max0.00980; 003:10fail:max0.02213; 016:10fail:max0.01660; 044:10fail:max0.01309; 017:10fail:max0.01251; 019:10fail:max0.01217; 045:10fail:max0.01159; 058:10fail:max0.01088; 048:10fail:max0.01085
60ref,real_even_odd,60,60,60,0,60,45,0,"000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059",050:17fail:max0.02584; 024:15fail:max0.01609; 049:15fail:max0.01331; 014:14fail:max0.01819; 047:14fail:max0.01757; 000:14fail:max0.01445; 048:14fail:max0.01416; 054:14fail:max0.00855; 002:13fail:max0.01923; 027:13fail:max0.01785; 028:13fail:max0.01785; 023:13fail:max0.01760; 035:13fail:max0.01706; 046:13fail:max0.01690; 017:13fail:max0.01548
60ref,teacher_nn,60,60,60,0,60,51,0,"000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059",024:16fail:max0.01690; 005:16fail:max0.01376; 039:16fail:max0.01339; 044:15fail:max0.01510; 056:14fail:max0.01887; 004:14fail:max0.01824; 009:14fail:max0.01765; 015:13fail:max0.01698; 040:13fail:max0.01581; 013:13fail:max0.01538; 019:13fail:max0.01517; 021:13fail:max0.01384; 010:13fail:max0.01367; 018:13fail:max0.01343; 052:13fail:max0.01041
