run,rule,ref_id,radius_count,split_fail_radius_count,finite_fail_radius_count,ess_fail_radius_count,split_logZ_per_P_diff_max,split_logZ_per_P_diff_median,split_logZ_per_P_diff_mean,first_split_fail_radius
60ref,low_tv_spectral_teacher,53,25,12,0,0,0.0103231508072052,0.0038797975366466,0.00393249973449156,0.9
60ref,low_tv_spectral_teacher,54,25,12,0,0,0.0145718853164342,0.003290550057829,0.004999323051556229,0.6
60ref,low_tv_spectral_teacher,55,25,9,0,0,0.0123842723306474,0.0029064307024548,0.004050081613077297,0.7
60ref,low_tv_spectral_teacher,56,25,11,0,0,0.0178552775472655,0.0030057077438997,0.00422537533083926,0.4
60ref,low_tv_spectral_teacher,57,25,12,0,0,0.0198682473890811,0.0037050158003269,0.005241971617709278,0.3
60ref,low_tv_spectral_teacher,58,25,8,0,0,0.0151441438273068,0.0030315705227978,0.003765243298563052,1.0
60ref,low_tv_spectral_teacher,59,25,9,0,0,0.0114249350445042,0.0028660944778195,0.0037390858820450117,0.4
60ref,random_label,0,25,7,0,0,0.008245630984448,0.0027891311040112,0.002961240926678432,0.2
60ref,random_label,1,25,5,0,0,0.0056015692065038,0.0020914832771611,0.0024982498083236998,0.4
60ref,random_label,2,25,5,0,0,0.0082236849977071,0.0017914160464599,0.002687437759325888,0.2
60ref,random_label,3,25,10,0,0,0.0221252736028337,0.0033957442053773,0.004250200458019272,0.2
60ref,random_label,4,25,7,0,0,0.0107120663737115,0.0026993926846388,0.0031964244640522188,0.2
60ref,random_label,5,25,8,0,0,0.0092573996360546,0.0023738253967864,0.0031346999350132087,0.2
60ref,random_label,6,25,8,0,0,0.0185860374316348,0.001827342574984,0.003358725988881816,0.2
60ref,random_label,7,25,6,0,0,0.0108748579863803,0.0024819863288034,0.002955680415328101,0.3
60ref,random_label,8,25,7,0,0,0.0134753282943763,0.0018651433213462,0.003644801815432316,0.3
60ref,random_label,9,25,9,0,0,0.0092158624150263,0.002034523284551,0.002891719012266605,0.3
60ref,random_label,10,25,8,0,0,0.0133240322173106,0.0022355605490143,0.0034571138107096122,0.1
60ref,random_label,11,25,8,0,0,0.0057154275953202,0.0032261004930337,0.0030449985917452883,0.2
60ref,random_label,12,25,6,0,0,0.0081742325936115,0.0023274981645925,0.0028755813977501283,0.4
60ref,random_label,13,25,9,0,0,0.008416998519983,0.0017781263788012,0.0031283394267478683,0.2
60ref,random_label,14,25,8,0,0,0.0103437888332065,0.0025917540280286,0.003102682622066868,0.3
60ref,random_label,15,25,8,0,0,0.010439761050393,0.0021146601682688,0.003299851625811744,0.2
60ref,random_label,16,25,10,0,0,0.0166023087797213,0.0025769871352082,0.004105117465076765,0.2
60ref,random_label,17,25,10,0,0,0.0125119311185621,0.0018894828179694,0.003723126041235822,0.2
60ref,random_label,18,25,7,0,0,0.0146393586246915,0.0013859555114308,0.0026823053552519553,0.2
60ref,random_label,19,25,10,0,0,0.0121693639793549,0.0030865273214101,0.00356221431879615,0.2
60ref,random_label,20,25,8,0,0,0.011018078290785,0.0017964913716989,0.0030687090132496455,0.2
60ref,random_label,21,25,6,0,0,0.0116044651834853,0.0021700040598629,0.0029260665227154098,0.4
60ref,random_label,22,25,6,0,0,0.0146358249312109,0.0030236195129565,0.003254115725744836,0.3
60ref,random_label,23,25,8,0,0,0.007884443724297,0.0027288308547142,0.003055809639238553,0.3
60ref,random_label,24,25,8,0,0,0.0137690651333356,0.0026406983254178,0.003347298814873364,0.3
60ref,random_label,25,25,9,0,0,0.007878132149831,0.002200991013482,0.003180043093361158,0.1
60ref,random_label,26,25,9,0,0,0.019451116819801,0.0033399019827345,0.0037517231408539242,0.2
60ref,random_label,27,25,10,0,0,0.0084163769067919,0.0028803991298334,0.0035739439258934,0.2
60ref,random_label,28,25,10,0,0,0.0085519660776436,0.0029175363458015,0.003385298042331484,0.2
60ref,random_label,29,25,8,0,0,0.0166461345585663,0.0029301060109144,0.0035652784321802324,0.3
60ref,random_label,30,25,12,0,0,0.0102175123901892,0.0033376761366111,0.004271477400078344,0.4
60ref,random_label,31,25,7,0,0,0.0115945958013546,0.0026119367850483,0.0033654587113456542,0.4
60ref,random_label,32,25,6,0,0,0.0086094735599685,0.0022278697975799,0.002754808732771562,0.4
60ref,random_label,33,25,10,0,0,0.0078102895404107,0.0028670673623911,0.0037174211578660794,0.2
60ref,random_label,34,25,9,0,0,0.0131604837474736,0.0025631772011977,0.0036962909222464863,0.3
60ref,random_label,35,25,14,0,0,0.0160160910082739,0.0041210798845046,0.004397008893119736,0.3
60ref,random_label,36,25,7,0,0,0.0255170805388762,0.0026546382761382,0.00408707974930541,0.2
60ref,random_label,37,25,8,0,0,0.0131171926458516,0.0027956038289299,0.0037840796481748355,0.2
60ref,random_label,38,25,11,0,0,0.009802588619405,0.0029590022734958,0.0038125267510367438,0.3
60ref,random_label,39,25,11,0,0,0.010652468672293,0.0032614614676026,0.003654719629335575,0.2
60ref,random_label,40,25,7,0,0,0.0158658733826289,0.0026780260857561,0.003193846841796104,0.2
60ref,random_label,41,25,5,0,0,0.0088062294368552,0.0014855284309941,0.0024632237491979394,0.4
60ref,random_label,42,25,8,0,0,0.0143066126913126,0.0028667604343349,0.004360399643869525,0.2
60ref,random_label,43,25,9,0,0,0.0146331582441515,0.0022860551708946,0.004008356057349328,0.2
60ref,random_label,44,25,10,0,0,0.0130942274668408,0.002639521614384,0.0038191909473028916,0.3
60ref,random_label,45,25,10,0,0,0.0115946244128841,0.0031561977136022,0.0035150683336531933,0.3
60ref,random_label,46,25,4,0,0,0.0150508012223306,0.002318783676264,0.0031612393503559263,0.4
60ref,random_label,47,25,8,0,0,0.009364017549091,0.002917576691813,0.003210379414640256,0.4
60ref,random_label,48,25,10,0,0,0.0108451900968896,0.0029974322785781,0.003774503182272836,0.4
60ref,random_label,49,25,9,0,0,0.0105656581887556,0.0027808146642212,0.0035575974042976093,0.2
60ref,random_label,50,25,11,0,0,0.0135968514924467,0.0038200953945804,0.00415124097012222,0.2
60ref,random_label,51,25,8,0,0,0.0142277045933877,0.0021639362460718,0.0034042556171928647,0.2
60ref,random_label,52,25,9,0,0,0.0105718653917213,0.0024453488173631,0.0039881837485067,0.2
60ref,random_label,53,25,8,0,0,0.0127914655296203,0.0023570224140293,0.003238609495753628,0.2
60ref,random_label,54,25,7,0,0,0.0073332090273614,0.0019901897605066,0.002720611268932608,0.2
60ref,random_label,55,25,11,0,0,0.0143282702489609,0.0031859338407722,0.004316653380732672,0.1
60ref,random_label,56,25,7,0,0,0.0176525824772491,0.0033308876714672,0.0035401975844044043,0.1
