rule,ref_id,delta_phi_r_0.1,delta_phi_r_0.2,delta_phi_r_0.3,delta_phi_r_0.4,delta_phi_r_0.5,delta_phi_r_0.6,delta_phi_r_0.7,delta_phi_r_0.8,delta_phi_r_0.9,delta_phi_r_1.0,delta_phi_r_1.1,delta_phi_r_1.2,delta_phi_r_1.3,delta_phi_r_1.4,delta_phi_r_1.5,delta_phi_r_1.6,delta_phi_r_1.7,delta_phi_r_1.8,delta_phi_r_1.9,delta_phi_r_2.0,delta_phi_r_2.1,delta_phi_r_2.2,delta_phi_r_2.3,delta_phi_r_2.4,delta_phi_r_2.5
low_tv_spectral_teacher,20,0.0,-0.0124940403427643,-0.0214436021534442,-0.0291416801793831,-0.0423424585885266,-0.0477431811164421,-0.0563447877389411,-0.0575827693739099,-0.0628709911526907,-0.0697034505130366,-0.0736820125825531,-0.0786017337545344,-0.0740051673102944,-0.0840221781237882,-0.0907167886837092,-0.0974715693467328,-0.098110401027205,-0.0873079725867973,-0.0960507428321416,-0.0888460876859371,-0.1034827090227299,-0.1001185850592003,-0.1055590495409224,-0.0988350767774513,-0.1078638403232819
low_tv_spectral_teacher,21,0.0,-0.0133014565855493,-0.0252774359928374,-0.0344168079535987,-0.0427432120598314,-0.0509749917127893,-0.0571259033953693,-0.0601587414547145,-0.0660635989922795,-0.0663925177024716,-0.0765638207477414,-0.074908999669645,-0.0809424359990933,-0.0848914063192844,-0.0941167399659641,-0.0971109755877003,-0.0933167120040559,-0.1068238419338685,-0.0971640149733724,-0.0988741597139118,-0.106236525102734,-0.1136492016686465,-0.1085013348753664,-0.1114874816973078,-0.1136619025935953
low_tv_spectral_teacher,22,0.0,-0.0111513547446695,-0.0226840809272552,-0.0344145767409357,-0.0425898307147277,-0.0513903445501091,-0.053233254520515,-0.0646561817811268,-0.0678719503767742,-0.0747740219569615,-0.0786261480640712,-0.0831425239508375,-0.0837345060299798,-0.0863559988165723,-0.0856289023912786,-0.0980073247269993,-0.1015072083412931,-0.1062666181065307,-0.0953729324975843,-0.1135718796493985,-0.1112178615993184,-0.1132638795250753,-0.1217687275916535,-0.1076037122412454,-0.1206893117140211
low_tv_spectral_teacher,23,0.0,-0.0112652492102462,-0.0236241418269256,-0.0339713913954706,-0.0399702193536067,-0.048698650104356,-0.0566809729967244,-0.0616629802870065,-0.066027444106258,-0.0719705113245625,-0.0763793483041939,-0.0863233063691982,-0.0888684140298591,-0.0874385793173542,-0.0971316536216438,-0.0947939543319367,-0.0983390341903819,-0.096686771735943,-0.0985838386419406,-0.1070079665981152,-0.1053746600682531,-0.1182913792604941,-0.1079441727369402,-0.1173716067933216,-0.116602913337163
low_tv_spectral_teacher,24,0.0,-0.0129086358912933,-0.0259899364877453,-0.0353730010944928,-0.0419852829381739,-0.0484268681146865,-0.0566568459724695,-0.0637058998665918,-0.067083818392714,-0.0705594733030043,-0.0765058461095468,-0.0749304794280333,-0.0806867063860758,-0.0882808069898099,-0.0834162483520176,-0.0937160538749886,-0.096091144657969,-0.1006712135551211,-0.1010716640609465,-0.1074143270095068,-0.1116939790966202,-0.107419185695069,-0.1086672700608688,-0.1105620521624928,-0.1095448556691823
low_tv_spectral_teacher,25,0.0,-0.0120000936614357,-0.0251846120247719,-0.0330537790015497,-0.0450802509075732,-0.0516548315897865,-0.0510768393875171,-0.0649026543783468,-0.063422696416979,-0.0737290526261306,-0.0804002396375893,-0.0809726436581137,-0.085755617012319,-0.0894967714045114,-0.0940099864066165,-0.0987441853754745,-0.0980417229630538,-0.0961910264825976,-0.0968044210366785,-0.1014231497249623,-0.1020548827374003,-0.1183499547719725,-0.1161945009781421,-0.1149790206519816,-0.1201239320716082
low_tv_spectral_teacher,26,0.0,-0.0123663611647142,-0.0268106370109185,-0.0343099573003035,-0.0455986059907023,-0.0496028912902064,-0.0524979171388815,-0.0633914115808019,-0.0635066233881186,-0.0716339593251706,-0.0731693543666272,-0.0815660655218307,-0.0849405468447358,-0.0885194607432967,-0.087400869965103,-0.0893654183057529,-0.0974595000265576,-0.0937858702461898,-0.0954229080378827,-0.1020019433057902,-0.1125556330015216,-0.1017003793401337,-0.1109520142133476,-0.1110816765853873,-0.1107423906619974
low_tv_spectral_teacher,27,0.0,-0.0100990495878238,-0.0221408765164084,-0.0335595720654513,-0.0436889197781459,-0.0533899976500592,-0.0622018863876606,-0.064934985699301,-0.0651984146562807,-0.0713816997341397,-0.0814257350150743,-0.080189212101428,-0.0851815777361442,-0.0871723728815405,-0.0931222379462912,-0.0951484527265479,-0.1022406202159762,-0.0947092001437237,-0.0997013006283861,-0.1036169011300514,-0.1136258772557903,-0.1154316571531996,-0.1163870898026518,-0.108927202493625,-0.1158419418830861
low_tv_spectral_teacher,28,0.0,-0.0099296639442233,-0.0225492694527373,-0.0289238760058273,-0.0398911631916229,-0.0502005328981128,-0.0562270955892247,-0.0617638129908885,-0.0658074649876631,-0.0748825154219883,-0.0814119390502488,-0.0823117297131649,-0.0895331997928008,-0.0929719438110759,-0.0945758504300152,-0.1032405576773518,-0.0914444598587157,-0.1006623947572568,-0.0981892024251425,-0.1071346437076491,-0.1214984364941144,-0.1147638286448025,-0.1079488185419319,-0.1210652637588198,-0.1093879733659912
low_tv_spectral_teacher,29,0.0,-0.0124218974772331,-0.0245324972902883,-0.0352458104356615,-0.0425515347651798,-0.0503054374179881,-0.053271826783347,-0.0639639791836332,-0.0673390940346318,-0.0731207132888512,-0.0810347649957851,-0.0803212462987084,-0.0840948096317935,-0.088145585030146,-0.0853332651928632,-0.0986145804807151,-0.0967268559519219,-0.1008448275665198,-0.1089756789424198,-0.1084019782228716,-0.1039762111004563,-0.1060879765713878,-0.1115728571686715,-0.1145095575895754,-0.1173516397345271
low_tv_spectral_teacher,30,0.0,-0.0120827782573625,-0.0228147277193165,-0.0339226476880923,-0.0440901669407746,-0.0481693792215143,-0.0517183335644948,-0.0590871790807663,-0.0689815871632371,-0.0712551860507641,-0.0801668346403063,-0.0834381759061619,-0.0838904207110986,-0.0825885702747989,-0.0913704916052928,-0.1006139280861885,-0.094533848089102,-0.0953901105435036,-0.1010334226371424,-0.1003712568040753,-0.1135684329504315,-0.1072454627439841,-0.1135708161716357,-0.1114479796263426,-0.1169436980404463
low_tv_spectral_teacher,31,0.0,-0.0129477531894851,-0.0256684609407178,-0.0370754385464868,-0.0452148316665024,-0.0507935275328399,-0.0598881509521198,-0.0619888162414004,-0.0652927535240749,-0.0754132943693645,-0.0758956675565261,-0.0808647965023044,-0.0786631991723482,-0.0870291063335628,-0.0879800885840031,-0.0957185206742596,-0.0982669949477006,-0.0972790346101993,-0.0975644895327398,-0.106759395715927,-0.1105110455461714,-0.1023546007409577,-0.1023727141304167,-0.1088651299740535,-0.1195308302772695
low_tv_spectral_teacher,32,0.0,-0.0135471361355437,-0.0260057820753328,-0.038598716057022,-0.0407737363861697,-0.0457583017815433,-0.060259690939106,-0.0607569669133428,-0.0665036562456852,-0.0699388031863445,-0.0690497023504823,-0.0773833350019546,-0.0862506685382613,-0.0856666375030348,-0.0948058824924204,-0.0920467315149163,-0.1033206591072902,-0.1008933495231552,-0.0899485914291659,-0.1053226613208884,-0.0945413481691885,-0.1135641190218845,-0.1084609167909435,-0.1029960178934765,-0.1170665152441388
low_tv_spectral_teacher,33,0.0,-0.0138576623323607,-0.0265751679367956,-0.0336833687275566,-0.0462124022055223,-0.0510861397333585,-0.053136538081005,-0.0627579521876826,-0.0675204303033341,-0.0708317965326898,-0.0752974928216522,-0.0859019511161105,-0.0842665433475455,-0.0845426106715705,-0.0911614147428247,-0.0856365334172557,-0.0974289457772396,-0.0865358071791685,-0.1013393316790678,-0.1059870094342664,-0.1038080377105465,-0.1050547938091139,-0.1136559606980366,-0.1046450252155829,-0.1150890881532148
low_tv_spectral_teacher,34,0.0,-0.0128232054341304,-0.0261194417484439,-0.0304292451212293,-0.0424311833493387,-0.0426593719358189,-0.0544320394165903,-0.0559226286976793,-0.0572783783062468,-0.0733584225162477,-0.0720187291909705,-0.0781629017589854,-0.0817265251858867,-0.0796009840716175,-0.0904606462326122,-0.0922213813776586,-0.0906350717099319,-0.0950667859348247,-0.1034184134101127,-0.1040848525050258,-0.1043842413465438,-0.099628006316065,-0.0956409202461092,-0.1161089090502498,-0.1191232239836799
low_tv_spectral_teacher,35,0.0,-0.011495416424569,-0.0219346739559292,-0.0349269421096807,-0.0426251142074433,-0.047314706569465,-0.0557402352463878,-0.0613215376467798,-0.0672195743165689,-0.0711959409617271,-0.0796098040261667,-0.0750068573287422,-0.0863043356173996,-0.0903097075143268,-0.092693634741807,-0.0922381371030939,-0.0977254678774225,-0.1052808574752248,-0.1061069290988382,-0.1076440891098755,-0.1150003426163457,-0.1119893091813862,-0.1151723934251493,-0.1219579437068976,-0.1098583380677278
low_tv_spectral_teacher,36,0.0,-0.0142241387352347,-0.0252542394757119,-0.0352199541453856,-0.0438913287622285,-0.0464787398267141,-0.0507745752067751,-0.0572863235147338,-0.0602420672139608,-0.0750543265593455,-0.0767088209820242,-0.0773750511172207,-0.0879917815134835,-0.0746288148789604,-0.0843775295053797,-0.0879665794348889,-0.0963951800233776,-0.0950161857084658,-0.0915318623579541,-0.0994811143160271,-0.095169551762979,-0.0976809538911792,-0.1108881820330534,-0.1069793966476684,-0.10675654981643
low_tv_spectral_teacher,37,0.0,-0.0145337755250899,-0.0273857605829045,-0.0376476717150009,-0.0472764623914664,-0.053003561759807,-0.0549772607183844,-0.0616594867270958,-0.0667297870129173,-0.072458715336733,-0.0815133301153728,-0.0875152949023297,-0.0774760161532421,-0.0902684829970586,-0.0916432526396784,-0.097423207298348,-0.0971279437706409,-0.1026308223333622,-0.1040447779215852,-0.1047984408613905,-0.1095426253582202,-0.1093731220093284,-0.1162346855899542,-0.1144641951129023,-0.1119985656131345
low_tv_spectral_teacher,38,0.0,-0.0125009690277664,-0.0232952884183923,-0.0359934773361533,-0.041556326937793,-0.0486900558700012,-0.0563055974859312,-0.0597100186082086,-0.062008462206503,-0.070122208062625,-0.0742264447588305,-0.0874377595891819,-0.0865302206985778,-0.0892120362705098,-0.0876056656477601,-0.0953436992656206,-0.102079806846912,-0.1033206226039854,-0.0950751584162121,-0.1086516267644391,-0.1141504465689806,-0.1108591545777113,-0.105750185387737,-0.1154507106257537,-0.1277910882868936
low_tv_spectral_teacher,39,0.0,-0.0118393774495926,-0.0258872696344544,-0.0334701887710943,-0.0424189070961468,-0.0482341888465541,-0.05486310547537,-0.0597033994101589,-0.0651936236796192,-0.0698651216753893,-0.0736939948753871,-0.0809881806438436,-0.0853376452172721,-0.0860211645055336,-0.0867154725763177,-0.0960019567293471,-0.0949410612713559,-0.0946559512180706,-0.1011291230747667,-0.1030872657940321,-0.1077065447547646,-0.112350561939033,-0.1075048570602968,-0.1145624766493863,-0.104071866617544
low_tv_spectral_teacher,40,0.0,-0.0086124577948152,-0.0184431849398653,-0.031768131536943,-0.0423718395890534,-0.0484600790675694,-0.0529090362564177,-0.0628369242460549,-0.0643335699906411,-0.0712949128809436,-0.0784331829126631,-0.076939094522326,-0.0894317970075863,-0.0872468767938515,-0.0883208290243748,-0.089888146155562,-0.1033846533801251,-0.104599483616299,-0.0912463856885025,-0.10711466886124,-0.1104942882824789,-0.1093486241930453,-0.109551568496952,-0.111878779487798,-0.1174378518867237
low_tv_spectral_teacher,41,0.0,-0.0100101959623585,-0.0226703370729317,-0.0318481883324736,-0.044864619623992,-0.0477881067476784,-0.0526556140167452,-0.0617836925468612,-0.0648813018023536,-0.0624122314157725,-0.075849106772226,-0.0805631704652586,-0.0810748471553878,-0.0880149415818078,-0.0941826264791501,-0.0936211403674693,-0.0946838148979258,-0.1084550679606407,-0.1055948911508051,-0.1053138518229164,-0.0950542638274012,-0.1084146964652866,-0.1105352814891157,-0.1209163537918295,-0.1233174025608759
low_tv_spectral_teacher,42,0.0,-0.0141461125133515,-0.0274853700278434,-0.0384041533859172,-0.044670285264437,-0.0531014257727829,-0.0564192662549411,-0.0593193764197473,-0.0677895453291935,-0.0742537451993827,-0.0796178619038956,-0.0821220681694532,-0.0836015072104673,-0.090231068342322,-0.0889060885889468,-0.0929472218589079,-0.0988686563282064,-0.1025686243611512,-0.1078019638154892,-0.1038992939761566,-0.1053404750103656,-0.1135885711595366,-0.1281720613286628,-0.124286179333037,-0.1208074561022046
low_tv_spectral_teacher,43,0.0,-0.0122975301433732,-0.0246302688952361,-0.0386901605435727,-0.044847289974975,-0.0471281798315852,-0.0532315415042769,-0.0620981211367463,-0.0677696871435151,-0.0697955962033655,-0.075315849235302,-0.0814166411006746,-0.0932715606170084,-0.0866503736463313,-0.0941698512431223,-0.088688477142496,-0.0954881936307777,-0.0976540459991743,-0.0964983245819479,-0.1052779824599169,-0.1136254987712054,-0.1129564063238207,-0.1095735541191403,-0.1271464459677254,-0.1019890898898468
low_tv_spectral_teacher,44,0.0,-0.0135030771192848,-0.0266388157574636,-0.0360694642104334,-0.0412791182226438,-0.0544586762030663,-0.0546182645722106,-0.065660770789403,-0.0596465204227247,-0.0684988857814855,-0.0781790662962352,-0.0832548257972526,-0.0842434892341961,-0.0871105561345692,-0.0913022335700291,-0.0952518329098996,-0.1003023842831797,-0.1027999898664008,-0.1052967518868087,-0.1017858800223834,-0.1036394938424751,-0.1080572076255685,-0.1149023479439428,-0.1145914175376813,-0.1105190018026815
low_tv_spectral_teacher,45,0.0,-0.0129091956097171,-0.0255111477779275,-0.0360837197296309,-0.0443065978255157,-0.0483593344042124,-0.0539205195076629,-0.0604785960334926,-0.0645990856558192,-0.0639552887095906,-0.0751099599725181,-0.0789518827179903,-0.078767550916607,-0.0957155219332144,-0.0899590614425907,-0.0926020788254572,-0.0934272412175946,-0.0992711837894897,-0.1080642217156228,-0.1019550020304248,-0.1158025140877835,-0.1089007178658715,-0.1110514457668242,-0.1180874732317131,-0.1031504323532812
low_tv_spectral_teacher,46,0.0,-0.0103471886224316,-0.0208369987272016,-0.0332095543130157,-0.0424012050121377,-0.0491478157479245,-0.0552501334441681,-0.0574377146110553,-0.0655175937677757,-0.0698723814461494,-0.08004454482953,-0.0829686343596386,-0.084851806140833,-0.0889734238304474,-0.0990035620452135,-0.0989174383984264,-0.0981990223055452,-0.1006193118341334,-0.0979853244653587,-0.1050871304732849,-0.1146729646929199,-0.1090742823999738,-0.1180399237457616,-0.1150374952036099,-0.1052881660543785
low_tv_spectral_teacher,47,0.0,-0.0124858504402695,-0.0259252991846632,-0.0353319817561107,-0.0423087435829974,-0.0477086664380747,-0.0553312633957278,-0.063999562734766,-0.0699771192185569,-0.073082280966657,-0.0786458623025649,-0.0724424476617738,-0.0814216733919325,-0.0799297153375776,-0.0901892221957747,-0.0910309893520689,-0.0950880184384145,-0.0905892546993451,-0.0980794019466155,-0.1048871145317888,-0.0973910195686686,-0.1098468530899263,-0.1128291109218021,-0.1102358875487047,-0.1100877148032871
low_tv_spectral_teacher,48,0.0,-0.0124687446471052,-0.0263945401929513,-0.0368125505806212,-0.0430370362590788,-0.0524292956095378,-0.0570658137519099,-0.058627823359154,-0.0700128251312655,-0.0761860990380639,-0.0769668397425947,-0.0803111912651826,-0.0810297092991441,-0.0883397511732398,-0.0950298051925729,-0.0932841553180095,-0.0980564655451938,-0.1012680973759374,-0.0922510786584725,-0.1020668405721422,-0.1121682059212669,-0.1053686214573287,-0.1080958285316615,-0.1056639019184691,-0.119997792882023
low_tv_spectral_teacher,49,0.0,-0.0112031788159279,-0.0238977785660241,-0.0357002685033028,-0.0433129039824377,-0.0533125547830076,-0.0591276069425348,-0.063961360395029,-0.0713494792842966,-0.0746671637048746,-0.0790023506183342,-0.0851964172250157,-0.0857489801763836,-0.0866711766463701,-0.0879186629568738,-0.0916486388392084,-0.1024345279823698,-0.1015366068811531,-0.1001795682858593,-0.1038672945831983,-0.1024147604418775,-0.1107851440173016,-0.1098342166572068,-0.1129539683270687,-0.1252888978738058
