rule,ref_id,phi_curve_cluster,pc1,pc2,pc3,mean_delta_phi,final_delta_phi
low_tv_spectral_teacher,0,0,4.209686117944898,0.24787297234747707,-0.43626212536204945,-0.07219585362892304,-0.1088063053953221
low_tv_spectral_teacher,1,1,-1.2827336571971373,-0.3817190582447841,0.7553687888141363,-0.07677846687027282,-0.1125158050189013
low_tv_spectral_teacher,2,1,-2.6290727456445118,0.6809752385164246,-0.8295848487258952,-0.07732403756848077,-0.1182557552500337
low_tv_spectral_teacher,3,1,0.7502340872669352,2.7027138242531206,-1.9438211039221867,-0.07530954050348612,-0.1164213012005892
low_tv_spectral_teacher,4,0,1.6433365492989955,0.22340290904748064,2.757681142015271,-0.07491831117965027,-0.1148616228443615
low_tv_spectral_teacher,5,0,1.545052679823846,3.5075285588679765,0.9858703071210522,-0.07466193601983631,-0.1171352154472428
low_tv_spectral_teacher,6,0,1.5516826059686715,-2.0986042224925527,-2.4575353467699386,-0.07379494630558732,-0.1114731454457481
low_tv_spectral_teacher,7,0,3.5631712206946755,-1.9093758640976155,-0.9388532650197061,-0.07246116109415471,-0.1081433008608056
low_tv_spectral_teacher,8,1,-0.7507281766232264,-0.8420498106248725,-0.1441974827085721,-0.07625270668115931,-0.1173653791092619
low_tv_spectral_teacher,9,1,-3.8462413214982463,-1.5819240989402927,-1.0508189155379817,-0.07810615952890307,-0.1080622710191014
low_tv_spectral_teacher,10,0,2.7631599267040308,0.27649466800340616,1.0688873570886621,-0.07422103578883892,-0.1192870530232358
low_tv_spectral_teacher,11,0,2.460060033674188,-0.05743911566228703,-0.10201367893702389,-0.07380622248832429,-0.1201741852140071
low_tv_spectral_teacher,12,0,0.8800242664589099,-0.9672341309415472,-2.6085220252675803,-0.07516465187468566,-0.1025755393486512
low_tv_spectral_teacher,13,1,-1.7879322348349482,0.6808594842031318,0.14197845531798056,-0.07675752860342051,-0.1236438943800093
low_tv_spectral_teacher,14,1,-0.7807614091107009,1.7769625463088639,3.0612328021969857,-0.07667434464205695,-0.1239034811738788
low_tv_spectral_teacher,15,1,-1.5257191502470322,-2.724504577978121,0.706332091940006,-0.07608050001150359,-0.106389086905943
