rule,radius,d0,target_ref_count,observed_ref_count,missing_ref_count,finite_unit_count,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,max_split_dlogZ_dr_per_P_diff,max_ce_replay_abs_diff,bootstrap_sd_delta_phi_energy,qc_diagnostic_pass,sampling_status,missing_ref_ids
random_label,0.01,0.1,30,30,0,30,1.0,0.8111195966367921,2.0164619748930576e-05,0.0020082915189886794,0.0,0.000653316835133827,True,complete,
random_label,0.02,0.1,30,30,0,30,1.0,0.5560732693997553,3.791421120846265e-05,0.005486902875120187,0.0,0.0005974725814542159,True,complete,
random_label,0.03,0.1,30,30,0,30,1.0,0.5359250183866681,0.00015110966215160746,0.01530446096274884,0.0,0.0005546435278263348,True,complete,
random_label,0.04,0.1,30,30,0,30,1.0,0.5538827294154696,0.0001751981196549277,0.018122768861663623,0.0,0.0005375874715958553,True,complete,
random_label,0.05,0.1,30,30,0,30,1.0,0.5767946377484472,0.000907565416977035,0.08453972517116025,0.0,0.0004421270951240313,True,complete,
random_label,0.06,0.1,30,30,0,30,1.0,0.5698655176387545,0.001112690311939451,0.05954917637329673,0.0,0.0003860561566098998,True,complete,
random_label,0.07,0.1,30,30,0,30,1.0,0.6078384479456375,0.0030822954086548735,0.09284782131550282,0.0,0.0003316259711036152,True,complete,
random_label,0.08,0.1,30,30,0,30,1.0,0.6257491401150831,0.002315803121812396,0.09887253181208343,0.0,0.00033391893771927067,True,complete,
random_label,0.09,0.1,30,30,0,30,1.0,0.6160306145750959,0.004074862061833314,0.17418621549332466,0.0,0.0003374217249464195,False,complete,
random_label,0.1,0.1,30,30,0,30,1.0,0.5521006022839814,0.0062017214033416096,0.2201189004841793,0.0,0.0,False,complete,
random_label,0.11,0.1,30,30,0,30,1.0,0.6129478364278576,0.006383919718645272,0.17083438104206128,0.0,0.00037051144456014273,False,complete,
random_label,0.12,0.1,30,30,0,30,1.0,0.6399064869141883,0.007098365771367543,0.20164716364843652,0.0,0.00044544946648171924,False,complete,
random_label,0.13,0.1,30,30,0,30,1.0,0.6148900421508581,0.009895325595695737,0.14980699936737843,0.0,0.0004782878938870856,False,complete,
random_label,0.14,0.1,30,30,0,30,1.0,0.5714145417105416,0.013409096535672606,0.25582088771990774,0.0,0.0009088609325945235,False,complete,
random_label,0.15,0.1,30,30,0,30,1.0,0.6278059434851543,0.0091953393380727,0.19788891067650233,0.0,0.000723953773387472,False,complete,
random_label,0.16,0.1,30,30,0,30,1.0,0.5640307186087785,0.015040025909631305,0.1505539971032084,0.0,0.0007702670428771537,False,complete,
random_label,0.17,0.1,30,30,0,30,1.0,0.5558077201443865,0.009715825013033157,0.1830562965354534,0.0,0.0009975311351578318,False,complete,
random_label,0.18,0.1,30,30,0,30,1.0,0.603367046822182,0.017532498425739403,0.1930840907386294,0.0,0.0010511462351871894,False,complete,
random_label,0.19,0.1,30,30,0,30,1.0,0.6507489725329271,0.011833687610518286,0.21055509732628194,0.0,0.0012744928941483622,False,complete,
random_label,0.2,0.1,30,30,0,30,1.0,0.6571735402213318,0.018586037431634832,0.21466682197596815,0.0,0.0014267507777841588,False,complete,
random_label,0.21,0.1,30,30,0,30,1.0,0.6416223383788566,0.014116709284012888,0.3220271796870938,0.0,0.0014324453856164408,False,complete,
random_label,0.22,0.1,30,30,0,30,1.0,0.6093465874983548,0.014019409797765312,0.16479804145812638,0.0,0.0016729433227950271,False,complete,
random_label,0.23,0.1,30,30,0,30,1.0,0.589743215216158,0.02526149415497906,0.23955979184390902,0.0,0.0012418862859240134,False,complete,
random_label,0.24,0.1,30,30,0,30,1.0,0.6011806892701687,0.016084715830571937,0.21497408265515405,0.0,0.001441221035332327,False,complete,
random_label,0.25,0.1,30,30,0,30,1.0,0.6208931704156778,0.010708151343996258,0.17628833974684985,0.0,0.0017432292917345308,False,complete,
random_label,0.26,0.1,30,30,0,30,1.0,0.6002756727539829,0.019939503514726974,0.20712780101545022,0.0,0.0018853745997783483,False,complete,
random_label,0.27,0.1,30,30,0,30,1.0,0.6649355670051039,0.017955964015113266,0.21215320309327912,0.0,0.0014582690781653864,False,complete,
random_label,0.28,0.1,30,30,0,30,1.0,0.5809646549069896,0.015371753534135021,0.18864777466996407,0.0,0.0016661483973250109,False,complete,
random_label,0.29,0.1,30,30,0,30,1.0,0.6674435427017478,0.017277726376780714,0.16395013114337562,0.0,0.0014835486247613534,False,complete,
random_label,0.3,0.1,30,30,0,30,1.0,0.6499349739056915,0.019451116819801013,0.13693289059773145,0.0,0.0015695013210947207,False,complete,
random_label,0.31,0.1,30,30,0,30,1.0,0.5754491964226919,0.014327440707926834,0.1847701563188245,0.0,0.0016825209088052544,False,complete,
random_label,0.32,0.1,30,30,0,30,1.0,0.6006192974785539,0.018082512575345638,0.22317133366355746,0.0,0.0012485326507351367,False,complete,
random_label,0.33,0.1,30,30,0,30,1.0,0.6767478818118434,0.018293782467703447,0.15701330972835104,0.0,0.001451387980791306,False,complete,
random_label,0.34,0.1,30,30,0,30,1.0,0.6571262045736191,0.022759760545005513,0.22406936361588162,0.0,0.0012427283799506933,False,complete,
random_label,0.35,0.1,30,30,0,30,1.0,0.6451676592424499,0.018065940631461393,0.15303335993958353,0.0,0.001346789385309977,False,complete,
random_label,0.36,0.1,30,30,0,30,1.0,0.5783298487190812,0.02439597433407306,0.11839103133063957,0.0,0.0014710319923105291,False,complete,
random_label,0.37,0.1,30,30,0,30,1.0,0.6387854698526185,0.023915875111150807,0.16320040959046242,0.0,0.0015805844663987535,False,complete,
random_label,0.38,0.1,30,30,0,30,1.0,0.6203827220803425,0.029084353213887387,0.13286186748621442,0.0,0.0013984596995843031,False,complete,
random_label,0.39,0.1,30,30,0,30,1.0,0.6394871889750973,0.016117788257299082,0.1092299801770338,0.0,0.0014345971046884603,False,complete,
random_label,0.4,0.1,30,30,0,30,1.0,0.6707266262944628,0.013769065133335666,0.10111586416772739,0.0,0.0011819062083692415,False,complete,
random_label,0.41,0.1,30,30,0,30,1.0,0.6255082333234931,0.01879314831403465,0.10488944279826873,0.0,0.0012044595364595113,False,complete,
random_label,0.42,0.1,30,30,0,30,1.0,0.6425768580266917,0.019614817879848756,0.14532730117227163,0.0,0.0012413449078976864,False,complete,
random_label,0.43,0.1,30,30,0,30,1.0,0.6693830143630751,0.012077879768599828,0.0982396034058917,0.0,0.001333490024948904,False,complete,
random_label,0.44,0.1,30,30,0,30,1.0,0.6490913939144366,0.014900852391769102,0.097515657545272,0.0,0.0013834392256824631,False,complete,
