run,rule,field,radii_count,qc_pass_radii,phi_range,dy_abs_median,second_diff_abs_median,bootstrap_sd_median,bootstrap_sd_max
old_n_train_1024_dense,low_tv_spectral_teacher,delta_phi_energy,250,16,0.2313129471811231,0.0017812012020123058,0.0022840356622592026,0.00164038216022465,0.0034612943706048
old_n_train_1024_dense,low_tv_spectral_teacher,delta_phi_full,250,16,5.291776239295461,0.008339661932412312,0.0026018677742114527,0.00164038216022465,0.0034612943706048
old_n_train_1024_dense,random_label,delta_phi_energy,250,2,0.9125556807588115,0.010937543067498168,0.015533474048702589,0.016928229865671753,0.0461204055573435
old_n_train_1024_dense,random_label,delta_phi_full,250,2,4.759007023013986,0.015826727543617025,0.016297076382851383,0.016928229865671753,0.0461204055573435
old_n_train_1024_dense,real_even_odd,delta_phi_energy,250,9,0.2440730915711322,0.0017574334257674101,0.0023501406946837,0.0016615593537162498,0.0488205700094516
old_n_train_1024_dense,real_even_odd,delta_phi_full,250,9,5.2778806865638845,0.008283688195962036,0.0025816243408465223,0.0016615593537162498,0.0488205700094516
old_n_train_1024_dense,teacher_nn,delta_phi_energy,250,0,0.4062311373146038,0.003506850474572165,0.005415037045438061,0.06529539852542175,0.0803377943084145
old_n_train_1024_dense,teacher_nn,delta_phi_full,250,0,5.18074802913412,0.010024757070280721,0.006007055702328845,0.06529539852542175,0.0803377943084145
new_n_train_512_sparse_wide,low_tv_spectral_teacher,delta_phi_energy,19,8,0.1054078004995388,0.006131105664747807,0.0020885615235314847,0.0004230159330024,0.0008611329836964
new_n_train_512_sparse_wide,low_tv_spectral_teacher,delta_phi_full,19,8,5.413873306498964,0.27006547294983085,0.05746694185015677,0.0004230159330024,0.0008611329836964
new_n_train_512_sparse_wide,random_label,delta_phi_energy,19,4,0.1578292893840378,0.0016124478779050086,0.003191174358203902,0.000584761300566,0.0153332074485649
new_n_train_512_sparse_wide,random_label,delta_phi_full,19,4,5.361451817614465,0.25903163586377875,0.047236857447258584,0.000584761300566,0.0153332074485649
new_n_train_512_sparse_wide,real_even_odd,delta_phi_energy,19,1,0.1183379732695587,0.00963696178844955,0.005333004990636398,0.0179035733944195,0.0239261786998619
new_n_train_512_sparse_wide,real_even_odd,delta_phi_full,19,1,5.426407545791631,0.2778570127710156,0.05109641376299723,0.0179035733944195,0.0239261786998619
new_n_train_512_sparse_wide,teacher_nn,delta_phi_energy,19,5,0.13743295979244,0.007004670376532754,0.0021914756161765664,0.0005483362756277,0.0095425238890231
new_n_train_512_sparse_wide,teacher_nn,delta_phi_full,19,5,5.381848147206063,0.27015223389097254,0.06000834364507046,0.0005483362756277,0.0095425238890231
