eta,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem
0.02,0.01,30,-0.00043901297443786337,0.00024894034251730186,4.545008035659621e-05
0.02,0.02,30,-0.0004796635538651633,0.0002639893372482327,4.819763831723194e-05
0.02,0.03,30,-0.0005658980481326933,0.0002908442857175301,5.310065866965628e-05
0.02,0.04,30,-0.0007291169672824232,0.0003318979748869048,6.05960025452803e-05
0.02,0.05,30,-0.00100794755330373,0.00038808256447091835,7.085385824505831e-05
0.02,0.06,30,-0.0014183486600195833,0.0004591637921197794,8.383145551120534e-05
0.02,0.07,30,-0.00198097126670563,0.000544794315499731,9.946537859992967e-05
0.02,0.08,30,-0.00267835838778772,0.0006337570460621249,0.00011570767670202216
0.02,0.09,30,-0.0035373518537593768,0.0007327968025569172,0.00013378977960936097
0.02,0.1,30,-0.004474478012610161,0.000821510441068255,0.00014998659993303387
0.02,0.11,30,-0.00552599194589271,0.0009612037421470638,0.00017549099064410867
0.02,0.12,30,-0.006651766731235046,0.000996814340761375,0.00018199256669321545
0.02,0.13,30,-0.007929025438429266,0.0011637478996226547,0.00021247032529086196
0.02,0.14,30,-0.009275652811312743,0.0011734663704004449,0.00021424466718067875
0.02,0.15,30,-0.01065921355881494,0.0012818208249032348,0.0002340273934931272
0.02,0.16,30,-0.012268856669046736,0.0014404788776730536,0.00026299425830375215
0.02,0.17,30,-0.013624662968669115,0.0014765086978689452,0.00026957237339180043
0.02,0.18,30,-0.015027599682889104,0.0017353041575867167,0.0003168217437475815
0.02,0.19,30,-0.01669387855475894,0.0020693503601938415,0.0003778099572198691
0.02,0.2,30,-0.018234803967482945,0.0021141157989022492,0.0003859829707456057
0.02,0.21,30,-0.019902357415677464,0.0019948093081789756,0.0003642006853369665
0.02,0.22,30,-0.021568135438410373,0.0019530662004759059,0.0003565794714338534
0.02,0.23,30,-0.02321839218197562,0.0020936963458614206,0.00038225490573147935
0.02,0.24,30,-0.024539476865983848,0.0023400087360239633,0.00042722518982649197
0.02,0.25,30,-0.026339992714733394,0.001921194514342192,0.0003507605242868003
