eta,ref_id,radius,phi_energy_raw
0.02,0,0.01,-0.0002551375962759
0.02,0,0.02,-0.0002908267911523
0.02,0,0.03,-0.0003734353592994
0.02,0,0.04,-0.0005357452920253
0.02,0,0.05,-0.0008132716747512
0.02,0,0.06,-0.0012216038661755
0.02,0,0.07,-0.0017775692231588
0.02,0,0.08,-0.0024687045071667
0.02,0,0.09,-0.0032346422307668
0.02,0,0.1,-0.0042817708938158
0.02,0,0.11,-0.0054071933196664
0.02,0,0.12,-0.0065219120339962
0.02,0,0.13,-0.0074771261113575
0.02,0,0.14,-0.0089596488687782
0.02,0,0.15,-0.0104214365944272
0.02,0,0.16,-0.0125838918224759
0.02,0,0.17,-0.0139307841687912
0.02,0,0.18,-0.0154370963271933
0.02,0,0.19,-0.0148414172759129
0.02,0,0.2,-0.018772266807286
0.02,0,0.21,-0.0199867674186756
0.02,0,0.22,-0.022983669095066
0.02,0,0.23,-0.0239025154541517
0.02,0,0.24,-0.0246910902674825
0.02,0,0.25,-0.0265693220471288
0.02,0,0.26,-0.026251159109437
0.02,0,0.27,-0.0276395126091459
0.02,0,0.28,-0.0309464045018087
0.02,0,0.29,-0.0284560835293953
0.02,0,0.3,-0.0330544133469866
0.02,0,0.31,-0.0357883609516834
0.02,0,0.32,-0.0355798242359056
0.02,0,0.33,-0.0370741172362584
0.02,0,0.34,-0.039531033600479
0.02,0,0.35,-0.0414328203079297
0.02,0,0.36,-0.0406863978999785
0.02,0,0.37,-0.0421949491184719
0.02,0,0.38,-0.0429919383422237
0.02,0,0.39,-0.0435847156669611
0.02,0,0.4,-0.0452166361352305
0.02,0,0.41,-0.0500334188618175
0.02,0,0.42,-0.0450752421229832
0.02,0,0.43,-0.0511321169574089
0.02,0,0.44,-0.0500917601042293
0.02,0,0.45,-0.0505821665231552
0.02,0,0.46,-0.050586646518526
0.02,0,0.47,-0.0535088891982351
0.02,0,0.48,-0.0537306091776047
0.02,0,0.49,-0.0488093860201295
0.02,0,0.5,-0.056368692854947
