rule,radius,d0,target_ref_count,observed_ref_count,missing_ref_count,finite_unit_count,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_delta_phi_energy,qc_diagnostic_pass,sampling_status,missing_ref_ids,mean_logZ_inf_full,mean_phi_energy_raw,mean_delta_phi_energy,mean_delta_phi_full,weighted_ce_mean,weighted_error_mean
low_tv_spectral_teacher,0.1,0.1,60,60,0,60,1.0,0.5658651324024104,0.0007120936126367391,0.0,True,complete,,-14.323301990598534,-0.005820114583745847,0.0,0.0,0.02117604248460953,0.005200403078725315
low_tv_spectral_teacher,0.2,0.1,60,60,0,60,1.0,0.6065836005850458,0.0031928688933926985,0.00018189317672794096,True,complete,,-43.86030476420672,-0.017822147405203867,-0.012002032821458017,0.6808634950848668,0.05563665664650803,0.021251982877822952
low_tv_spectral_teacher,0.3,0.1,60,60,0,60,1.0,0.6150045203739256,0.00455254756486525,0.00026990631754145416,False,complete,,-74.51842286380626,-0.03027973298001067,-0.024459618396264822,1.0737062613776276,0.09484357744703041,0.03842656760802611
low_tv_spectral_teacher,0.4,0.1,60,60,0,60,1.0,0.5561331894583706,0.007584679725889871,0.00027898419660535425,False,complete,,-99.3117835440696,-0.04035423955468085,-0.03453412497093501,1.3511969308417147,0.12849073587553525,0.05284895903222934
low_tv_spectral_teacher,0.5,0.1,60,60,0,60,1.0,0.5924278372366415,0.0054773896954325866,0.0002483057604302708,False,complete,,-120.23740481668231,-0.04885713320466571,-0.04303701862091986,1.5657469166037394,0.15899439875596483,0.06573495895529843
low_tv_spectral_teacher,0.6,0.1,60,60,0,60,1.0,0.6142400374413932,0.01072755375221394,0.0003203531823674837,False,complete,,-136.90543423341902,-0.05563000172020276,-0.049809887136456926,1.7412215205437604,0.18392731152139527,0.07593531223028499
low_tv_spectral_teacher,0.7,0.1,60,60,0,60,1.0,0.590212578397493,0.010227245005316968,0.0003806894326905678,False,complete,,-150.48966549919228,-0.06114980312848124,-0.055329688544735384,1.889789761547126,0.20446080756341603,0.08434662098549009
low_tv_spectral_teacher,0.8,0.1,60,60,0,60,1.0,0.6123949279390525,0.01279684912511217,0.0004125459806074968,False,complete,,-166.2240723605644,-0.06754330449433743,-0.06172318991059158,2.016873393808383,0.22831353777937066,0.09513511976861386
low_tv_spectral_teacher,0.9,0.1,60,60,0,60,1.0,0.6358266695646088,0.011409545502308811,0.000455775084455331,False,complete,,-177.73372697976149,-0.07222012473781451,-0.06640001015406867,2.129931749393717,0.24738029998721747,0.10292565214183187
low_tv_spectral_teacher,1.0,0.1,60,60,0,60,1.0,0.5798693385970914,0.010983757661275077,0.00042817380620570756,False,complete,,-189.7708434930487,-0.07711127326007666,-0.0712911586763308,2.2303583044546538,0.26653899113965696,0.11123460666543893
low_tv_spectral_teacher,1.1,0.1,60,60,0,60,1.0,0.6057357266982467,0.010972259487095012,0.00046306706423674337,False,complete,,-202.64802475485521,-0.08234377275695051,-0.07652365817320467,2.320397256529758,0.2871572858464623,0.11973924885480898
low_tv_spectral_teacher,1.2,0.1,60,60,0,60,1.0,0.5911159976912356,0.01490203059271151,0.00048543813317037656,False,complete,,-210.5244573974242,-0.0855442736275596,-0.07972415904381376,2.4041727765427288,0.3010814830938143,0.12625500227066203
low_tv_spectral_teacher,1.3,0.1,60,60,0,60,1.0,0.5955726614368584,0.010768991731250364,0.0004766921792309119,False,complete,,-220.34251169216355,-0.08953373087857112,-0.08371361629482528,2.4801935025005344,0.31531649601674777,0.13271469362078467
low_tv_spectral_teacher,1.4,0.1,60,60,0,60,1.0,0.6149924568076028,0.013418543202009404,0.0005300090033491054,False,complete,,-229.35487187683293,-0.0931958032819313,-0.08737568869818545,2.5506092893000005,0.33101277963518105,0.14113268073031177
low_tv_spectral_teacher,1.5,0.1,60,60,0,60,1.0,0.6178518992942509,0.017251990420308793,0.00048238143586307896,False,complete,,-237.54901338180977,-0.09652540161796416,-0.09070528703421829,2.6162445279643336,0.3465963946995141,0.14587429827123835
low_tv_spectral_teacher,1.6,0.1,60,60,0,60,1.0,0.6083998680519603,0.015682023749455907,0.0007104115430012603,False,complete,,-244.18513994791192,-0.09922191789837949,-0.09340180331463363,2.6780603083106658,0.35827039930868465,0.1518651714995187
low_tv_spectral_teacher,1.7,0.1,60,60,0,60,1.0,0.6293526945886749,0.016038098288533236,0.0005016655563734866,False,complete,,-253.0103889356755,-0.1028079597463127,-0.09698784516256685,2.735074254137836,0.3711993653111197,0.15718097599408892
low_tv_spectral_teacher,1.8,0.1,60,60,0,60,1.0,0.5667732682466822,0.019868247389081176,0.0006397720702185066,False,complete,,-258.3003072661328,-0.104957459271082,-0.09913734468733612,2.790059942766774,0.3841376737546815,0.16323017857498573
low_tv_spectral_teacher,1.9,0.1,60,60,0,60,1.0,0.6486399603888419,0.0207193767938151,0.0006133352000908303,False,complete,,-262.22089603278727,-0.10655054694546415,-0.10073043236171829,2.842512106748173,0.39229774709540993,0.16672837182228337
low_tv_spectral_teacher,2.0,0.1,60,60,0,60,1.0,0.588455296699119,0.01657956575430171,0.0006175767836476841,False,complete,,-270.5651877788166,-0.10994115716327371,-0.10412104257952787,2.890393948457781,0.39913852378817777,0.17188717387205057
low_tv_spectral_teacher,2.1,0.1,60,60,0,60,1.0,0.62149505812058,0.022248013680266927,0.0007480794396215699,False,complete,,-278.0071703194512,-0.11296512406316586,-0.10714500947942,2.936140320386334,0.4165928633471598,0.1802343090150713
low_tv_spectral_teacher,2.2,0.1,60,60,0,60,1.0,0.6265305102647052,0.018882375273549492,0.0007623174173758832,False,complete,,-282.529582394116,-0.11480275595047379,-0.10898264136672794,2.98080380124256,0.4264571533476355,0.18411057025220995
low_tv_spectral_teacher,2.3,0.1,60,60,0,60,1.0,0.5952475453064042,0.030573731034276352,0.0007752148157946263,False,complete,,-287.1807432730093,-0.11669270348354704,-0.1108725888998012,3.0233475538006087,0.4325123883087682,0.18587037983831617
low_tv_spectral_teacher,2.4,0.1,60,60,0,60,1.0,0.5656540025578323,0.021185007137076755,0.0008545734091264093,False,complete,,-293.8214575117626,-0.1193910839137597,-0.11357096933001384,3.063191494162853,0.4432601713143022,0.18860333140938773
low_tv_spectral_teacher,2.5,0.1,60,60,0,60,1.0,0.5721142225164203,0.027001703583321424,0.0007454854370150922,False,complete,,-295.748844087004,-0.12017425602885168,-0.11435414144510586,3.1032137290042128,0.4471532346260028,0.19345993433989694
random_label,0.1,0.1,60,60,0,60,1.0,0.5563758679380446,0.0062017214033416096,0.0,False,complete,,-66.62091667540676,-0.027070669108251417,0.0,0.0,0.0708230391648936,0.026779804086139114
random_label,0.2,0.1,60,60,0,60,1.0,0.6201953743384936,0.018586037431634832,0.001102265685122743,False,complete,,-230.88258216968597,-0.0938165713814246,-0.06674590227317319,0.6261196256331516,0.28917530673941794,0.11386445914708228
random_label,0.3,0.1,60,60,0,60,1.0,0.6331876552553007,0.025517080538876236,0.001125390538507255,False,complete,,-350.24138720402846,-0.14231669532873972,-0.11524602622048832,0.9829198535534042,0.4883613068722645,0.20059300403196778
random_label,0.4,0.1,60,60,0,60,1.0,0.6406852313675503,0.016253131395898953,0.0009879756031413434,False,complete,,-387.0815110473217,-0.15728627023458822,-0.13021560112633682,1.2555154546863128,0.5713735878814868,0.2737495547506793
random_label,0.5,0.1,60,60,0,60,1.0,0.6066809234831587,0.022125273602833718,0.0006586668090003155,False,complete,,-388.5227303649096,-0.15787189368748863,-0.13080122457923724,1.4779827106454222,0.613509558508132,0.32237465203355326
random_label,0.6,0.1,60,60,0,60,1.0,0.5982843217978572,0.01430661269131265,0.0007467598254946032,False,complete,,-389.85955214429566,-0.15841509636094908,-0.13134442725269763,1.6596869804275198,0.6383795515935167,0.35147321477944865
random_label,0.7,0.1,60,60,0,60,1.0,0.6087545221875816,0.009253055763699511,0.0007089481778262697,False,complete,,-391.3261033018603,-0.15901101312550195,-0.13194034401725055,1.8131791060746107,0.6544845220862848,0.3697783919191172
random_label,0.8,0.1,60,60,0,60,1.0,0.5640705305444965,0.009370884750776397,0.0006623344535071142,False,complete,,-391.6289944874079,-0.15913408959260789,-0.1320634204843564,1.9465331632346181,0.661856230141643,0.37906706567838694
random_label,0.9,0.1,60,60,0,60,1.0,0.5888813018240281,0.011570234451086734,0.0005810446575008544,False,complete,,-393.63066086785904,-0.159947444481048,-0.13287677537279657,2.0634549841749887,0.6707729740787935,0.3918962007210175
random_label,1.0,0.1,60,60,0,60,1.0,0.6271621892849427,0.009598277472447436,0.0006203687867542271,False,complete,,-395.72099043316337,-0.16079682666930648,-0.1337261575610551,2.1679233055699294,0.676294098733367,0.39904926564855814
random_label,1.1,0.1,60,60,0,60,1.0,0.6066428969799321,0.007867386285521527,0.000601989988700136,False,complete,,-397.53559087225216,-0.16153416939140686,-0.1344635002831554,2.2624574144198073,0.6788171012735805,0.40019414200016434
random_label,1.2,0.1,60,60,0,60,1.0,0.5818685833379633,0.007753322236794356,0.0005333849178494594,False,complete,,-400.59795776464074,-0.16277852814491706,-0.13570785903666563,2.3481890765498767,0.6862023558207592,0.41102400227979885
random_label,1.3,0.1,60,60,0,60,1.0,0.5983355950606862,0.006852943110409958,0.0004952872550208698,False,complete,,-402.942662955254,-0.16373127304154977,-0.13666060393329835,2.427246514862061,0.6917585524138735,0.4155733679775715
random_label,1.4,0.1,60,60,0,60,1.0,0.6043722592109944,0.009532454305342542,0.0006020846220881992,False,complete,,-406.5742399207131,-0.16520692398241085,-0.1381362548741594,2.4998487231240265,0.6935746075618108,0.41584450112057963
random_label,1.5,0.1,60,60,0,60,1.0,0.5936274553938535,0.0076634365062563945,0.0005952105429299199,False,complete,,-409.27303554263784,-0.16630354959066956,-0.13923288048241816,2.5677169345161337,0.6970173218756498,0.4209119102305176
random_label,1.6,0.1,60,60,0,60,1.0,0.5976466432748573,0.00936401754909106,0.0005129378566988118,False,complete,,-410.5445158194937,-0.16682020147074106,-0.13974953236248966,2.6317125792628095,0.702019937535537,0.4244566318839545
random_label,1.7,0.1,60,60,0,60,1.0,0.6151953167086492,0.010884755173527098,0.0006360148865769667,False,complete,,-413.8506184734181,-0.16816359954222593,-0.14109293043397456,2.6909691688664283,0.7063438433938692,0.42913695505985405
random_label,1.8,0.1,60,60,0,60,1.0,0.5565017259655793,0.009924282478029487,0.0005927524945985452,False,complete,,-417.0840440595281,-0.1694774660948915,-0.1424067969866401,2.74679049046747,0.7089867504926934,0.4316077063788414
random_label,1.9,0.1,60,60,0,60,1.0,0.6770374249964755,0.007795110010870185,0.0005725076217897355,False,complete,,-418.8824100027998,-0.1702082121100365,-0.14313754300178508,2.8001049961081064,0.7110357897516273,0.4302810617661346
random_label,2.0,0.1,60,60,0,60,1.0,0.6140549954658231,0.012791465529620332,0.0006759124546095019,False,complete,,-421.761507880462,-0.17137810153614869,-0.14430743242789726,2.8502075586094118,0.7141044389228579,0.43205539335016074
random_label,2.1,0.1,60,60,0,60,1.0,0.6162515573572129,0.00923093696831576,0.0006940512390666497,False,complete,,-426.0828477460952,-0.1731340299659062,-0.14606336085765478,2.897221969008099,0.719445749434539,0.43375296566300475
random_label,2.2,0.1,60,60,0,60,1.0,0.6093890468302099,0.010352686871653805,0.0006102213247560132,False,complete,,-428.4397032196447,-0.17409171199497953,-0.14702104288672813,2.94276539972256,0.7223515498971799,0.43684259036005363
random_label,2.3,0.1,60,60,0,60,1.0,0.6074349459119598,0.01586587338262893,0.0006257787102847439,False,complete,,-431.3014801472881,-0.17525456324554575,-0.14818389413729435,2.9860362485631153,0.7264246634306489,0.43770895732779613
random_label,2.4,0.1,60,60,0,60,1.0,0.6603466948951111,0.010852857607790369,0.0006585774487560519,False,complete,,-433.5371883273696,-0.17616301841827292,-0.1490923493100215,3.0276701141828455,0.7292278222985856,0.441833590709595
random_label,2.5,0.1,60,60,0,60,1.0,0.6183346733544496,0.014639358624691555,0.0005684428791330271,False,complete,,-438.1419870713166,-0.1780341272130502,-0.15096345810479878,3.0666044123445197,0.7339184303395255,0.44097088658433276
