run,beta,radius,dataset_count,dphi_energy_dr,dphi_energy_dr_sem,dphi_energy_dr_ci95_half_width,source
30 dataset,0.35,0.3,30,-0.0010656594381788034,7.429313406779442e-05,0.0001519465200023921,final_proxy_summary
30 dataset,0.37,0.01,30,-3.915222129890012e-05,3.856607440205162e-06,7.887647854777123e-06,final_proxy_summary
30 dataset,0.37,0.02,30,-9.81093628075821e-05,1.0261840356539315e-05,2.0987820080027833e-05,final_proxy_summary
30 dataset,0.37,0.03,30,-0.0001647989009317916,1.709034710599809e-05,3.495368449552415e-05,final_proxy_summary
30 dataset,0.37,0.04,30,-0.00023035645745522767,2.3331338558191557e-05,4.771794520984705e-05,final_proxy_summary
30 dataset,0.37,0.05,30,-0.00029320928728310893,2.8657281962253876e-05,5.8610722532156457e-05,final_proxy_summary
30 dataset,0.37,0.06,30,-0.00035142626965799776,3.360123604730818e-05,6.872224397625258e-05,final_proxy_summary
30 dataset,0.37,0.07,30,-0.0004051180874699006,3.77400472344909e-05,7.718706329946912e-05,final_proxy_summary
30 dataset,0.37,0.08,30,-0.0004538228974889158,4.122059308438298e-05,8.430557884247037e-05,final_proxy_summary
30 dataset,0.37,0.09,30,-0.0004991856455246169,4.496262288152969e-05,9.195888910533864e-05,final_proxy_summary
30 dataset,0.37,0.1,30,-0.0005396602965391661,4.797885693643154e-05,9.812778040203403e-05,final_proxy_summary
30 dataset,0.37,0.11,30,-0.0005785517334223098,5.08510231103697e-05,0.00010400201979810323,final_proxy_summary
30 dataset,0.37,0.12,30,-0.0006143675115467574,5.3624492185402264e-05,0.0001096744009618982,final_proxy_summary
30 dataset,0.37,0.13,30,-0.0006477693442326274,5.617484735289828e-05,0.00011489046294842736,final_proxy_summary
