run,small_d_range,cell_count,median_dataset_count,mean_ci95_half_width,median_ci95_half_width,min_ci95_half_width,max_ci95_half_width
30 dataset,0.01_to_0.10,60,30.0,6.368319325330554e-05,6.906557636512696e-05,7.887647854777123e-06,0.00010944939228159622
30 dataset,0.01_to_0.30,180,30.0,0.00010896596396868927,0.00011064741145257802,7.887647854777123e-06,0.0001673626599453276
60 dataset,0.01_to_0.10,60,60.0,3.8183753157226984e-05,4.1006618729228205e-05,4.563604904468031e-06,6.529809051408288e-05
60 dataset,0.01_to_0.30,180,60.0,6.673591965581205e-05,6.821171458014393e-05,4.563604904468031e-06,0.0001048800020914759
90 dataset partial,0.01_to_0.10,60,90.0,3.05076806263976e-05,3.358426029360937e-05,3.6028702022425135e-06,5.28205711083502e-05
90 dataset partial,0.01_to_0.30,180,90.0,5.303369923515351e-05,5.44863465593344e-05,3.6028702022425135e-06,8.346486670224487e-05
