rule,radius,n_units,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_phi,mean_logZ,mean_delta_phi_energy,weighted_ce_mean,qc_pass,claim_status
low_tv_spectral_teacher,0.01,30,1.0,0.9962184194408089,3.474368964558185e-06,0.0,-1.6902312716975347,0.0,0.0016168022186821781,True,claimable_rule_radius
low_tv_spectral_teacher,0.02,30,1.0,0.9748858288506066,8.554861528920454e-06,5.41497253075425e-06,-1.8138278543880368,-4.879454508112977e-05,0.0017314172521758532,True,claimable_rule_radius
low_tv_spectral_teacher,0.03,30,1.0,0.8841997835627264,1.6388992928072553e-05,1.637407573028625e-05,-2.091316481315844,-0.00015834394378930487,0.0019692403717225184,True,claimable_rule_radius
low_tv_spectral_teacher,0.04,30,1.0,0.7713812407872243,2.8572653748631744e-05,3.194855937582109e-05,-2.61818541914401,-0.0003663458931885018,0.0023781533065690965,True,claimable_rule_radius
low_tv_spectral_teacher,0.05,30,1.0,0.8665988646822207,7.426873494372011e-05,5.174388836687305e-05,-3.48417260699667,-0.000708227925503014,0.002978727732420879,True,claimable_rule_radius
low_tv_spectral_teacher,0.06,30,1.0,0.8200656573545225,0.00011139796501480472,7.851303053891103e-05,-4.754181345691236,-0.001209613136199646,0.003785644038492508,True,claimable_rule_radius
low_tv_spectral_teacher,0.07,30,1.0,0.8094927259241649,0.0002110357060397762,9.993238873305668e-05,-6.450979957153447,-0.0018794902034962146,0.004795089452031874,True,claimable_rule_radius
low_tv_spectral_teacher,0.08,30,1.0,0.8086644772558662,0.0004049854432100598,0.00012411512039760267,-8.536620115252775,-0.0027028775537130834,0.005957883944853463,True,claimable_rule_radius
low_tv_spectral_teacher,0.09,30,1.0,0.8351495091271395,0.0004840739953529398,0.00015897804647836418,-10.960240442826882,-0.0036596956854043996,0.007314660312907195,True,claimable_rule_radius
low_tv_spectral_teacher,0.1,30,1.0,0.844125901520533,0.0010216787483449529,0.00018869572269127052,-13.835334399510193,-0.004794750543944989,0.009065403140127841,True,claimable_rule_radius
low_tv_spectral_teacher,0.11,30,1.0,0.8599919254166367,0.00181891414578044,0.0002448034782800612,-17.01613909176486,-0.0060504965732598994,0.011281104845723535,True,claimable_rule_radius
low_tv_spectral_teacher,0.12,30,1.0,0.8649262923054977,0.002313497131254147,0.00023951593562143435,-20.258271408285957,-0.007330454061029775,0.013658165277027918,True,claimable_rule_radius
low_tv_spectral_teacher,0.13,30,1.0,0.841691561811711,0.0030110863531796826,0.0002695509195309242,-24.588885591878565,-0.009040131985859071,0.016854863266111207,True,claimable_rule_radius
low_tv_spectral_teacher,0.14,30,1.0,0.8592818214322208,0.002724236922631461,0.0003560247082385686,-29.58300129047042,-0.011011752869630041,0.020477826809793445,True,claimable_rule_radius
low_tv_spectral_teacher,0.15,30,1.0,0.8644956049457501,0.003920480578399421,0.00035726900197495775,-34.88393371200631,-0.013104501555589726,0.024644086956359033,True,claimable_rule_radius
low_tv_spectral_teacher,0.16,30,1.0,0.8778892912483574,0.006083505573508076,0.00032762522587119437,-38.68368059933132,-0.014604599023937539,0.027659300874122612,False,no_claim
low_tv_spectral_teacher,0.17,30,1.0,0.8678077631693855,0.0038606508931611967,0.0004759841307562495,-45.28054322916947,-0.017208966426163416,0.03306028447938166,True,claimable_rule_radius
low_tv_spectral_teacher,0.18,30,1.0,0.878306867007404,0.004271429801111732,0.0004059673365458856,-50.790553288476694,-0.019384256619336418,0.03689948671540386,False,no_claim
low_tv_spectral_teacher,0.19,30,1.0,0.8493604507790798,0.004700715047280932,0.0005511322086321077,-56.78977596821742,-0.0217526824700039,0.04142077810301043,False,no_claim
low_tv_spectral_teacher,0.2,30,1.0,0.8536303291694546,0.007612173517998271,0.0005977361674824262,-61.915919827312024,-0.023776426591241417,0.045568500321568416,False,no_claim
low_tv_spectral_teacher,0.21,30,1.0,0.8623272009832249,0.008759584178598078,0.0006426505729599492,-68.28472501375411,-0.026290759471794933,0.05054466160594287,False,no_claim
low_tv_spectral_teacher,0.22,30,1.0,0.8597016439980574,0.004832292763888617,0.0007435432192092872,-74.87142462382545,-0.028891114627764673,0.05605246505528883,False,no_claim
low_tv_spectral_teacher,0.23,30,1.0,0.8755650138598391,0.004387106664384911,0.0007610043494132597,-79.8768023687198,-0.03086718164114578,0.05971445712039485,False,no_claim
low_tv_spectral_teacher,0.24,30,1.0,0.8873004569146585,0.009059743340016685,0.0007349604962602879,-84.21228881291832,-0.03257878307983449,0.06399319397574095,False,no_claim
low_tv_spectral_teacher,0.25,30,1.0,0.8667954799051363,0.0076925519125629485,0.0006770086294786888,-90.94915461721834,-0.03523842216562211,0.06942168257287563,False,no_claim
low_tv_spectral_teacher,0.26,30,1.0,0.8617158630234372,0.011035858215228357,0.0006982989587137149,-95.93978607214571,-0.03720866750905968,0.07370153188146004,False,no_claim
low_tv_spectral_teacher,0.27,30,1.0,0.9092810020458681,0.007499776566200143,0.0008155991530467551,-102.06268358206792,-0.039625918796040424,0.07744255952556692,False,no_claim
low_tv_spectral_teacher,0.28,30,1.0,0.8831215232055282,0.009824443176123274,0.0007643836916691757,-107.04554359152594,-0.041593096059940146,0.08145721460717378,False,no_claim
