source,source_label,run_root,rule,radius,d0,delta_phi_energy,bootstrap_sd_phi,n_units,qc_pass,claim_status
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,low_tv_spectral_teacher,0.013,0.01,-2.117572294907376e-05,1.9679181850983744e-06,60,True,formal_qc_pass
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,low_tv_spectral_teacher,0.014,0.01,-2.9385447941817676e-05,2.4707432701586852e-06,60,True,formal_qc_pass
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,random_label,0.01,0.01,0.0,0.0,60,True,formal_qc_pass
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,random_label,0.011,0.01,-2.8324250053949323e-05,1.1610214894690878e-06,60,True,formal_qc_pass
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,random_label,0.012,0.01,-6.0310637080444263e-05,2.4676926871565685e-06,60,True,formal_qc_pass
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,random_label,0.013,0.01,-9.475987030025528e-05,3.901866682567948e-06,60,True,formal_qc_pass
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,random_label,0.014,0.01,-0.00013341149021135943,5.049815016699097e-06,60,True,formal_qc_pass
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,real_even_odd,0.01,0.01,0.0,0.0,60,True,formal_qc_pass
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,real_even_odd,0.011,0.01,-1.5662467702189197e-06,1.5113858411363896e-07,60,True,formal_qc_pass
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,real_even_odd,0.012,0.01,-3.242306117074175e-06,3.0679173351560414e-07,60,True,formal_qc_pass
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,real_even_odd,0.013,0.01,-5.167708211264355e-06,5.081430922049347e-07,60,True,formal_qc_pass
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,real_even_odd,0.014,0.01,-7.277120790406902e-06,7.252224441084958e-07,60,True,formal_qc_pass
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,teacher_nn,0.01,0.01,0.0,0.0,60,True,formal_qc_pass
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,teacher_nn,0.011,0.01,-1.1699684128576742e-05,7.162357223828466e-07,60,True,formal_qc_pass
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,teacher_nn,0.012,0.01,-2.4697657651384574e-05,1.4949033952425502e-06,60,True,formal_qc_pass
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,teacher_nn,0.013,0.01,-3.8871576538155115e-05,2.338609272385655e-06,60,True,formal_qc_pass
microline_formal_pass,formal all-QC microline,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_microline_4rule_lowtv,teacher_nn,0.014,0.01,-5.430437364358196e-05,3.2954880317216114e-06,60,True,formal_qc_pass
