rule,radius,phi_energy_raw,phi_energy_raw_sd,phi_energy_raw_sem,n_units,target_ref_count,sampling_status,qc_diagnostic_pass
very_low_tv_spectral_teacher,0.1,-0.004414630139509569,0.0009313313979566653,9.817094913239165e-05,90,90,complete,True
very_low_tv_spectral_teacher,0.2,-0.01260656671363554,0.0014841521067653829,0.00015644336838386685,90,90,complete,True
very_low_tv_spectral_teacher,0.3,-0.020625268897174736,0.0017160078004309692,0.00018088310439925108,90,90,complete,False
very_low_tv_spectral_teacher,0.4,-0.027578532226318328,0.0019513474305526955,0.00020569007956212522,90,90,complete,False
very_low_tv_spectral_teacher,0.5,-0.03306846998729307,0.0019361135616911074,0.00020408428878949407,90,90,complete,False
very_low_tv_spectral_teacher,0.6,-0.03867477043256929,0.0018671481113142693,0.00019681469202115654,90,90,complete,False
very_low_tv_spectral_teacher,0.7,-0.043270711415166266,0.002597358503262036,0.00027378562567713046,90,90,complete,False
very_low_tv_spectral_teacher,0.8,-0.0480110952589853,0.002623754529389013,0.0002765680111350825,90,90,complete,False
very_low_tv_spectral_teacher,0.9,-0.052505724510071336,0.0026679308950535476,0.0002812246089433621,90,90,complete,False
very_low_tv_spectral_teacher,1.0,-0.05603277196681275,0.0032831324953310754,0.0003460725515119442,90,90,complete,False
very_low_tv_spectral_teacher,1.1,-0.06042828471020357,0.0033176314966098484,0.000349709065546677,90,90,complete,False
very_low_tv_spectral_teacher,1.2,-0.06344005246846111,0.0030419206714849714,0.0003206465927813774,90,90,complete,False
very_low_tv_spectral_teacher,1.3,-0.06659002861606256,0.0035604711050377237,0.00037530660783786056,90,90,complete,False
very_low_tv_spectral_teacher,1.4,-0.06999612575572048,0.0037250099123971887,0.00039265052099598006,90,90,complete,False
very_low_tv_spectral_teacher,1.5,-0.07287167138441973,0.004097696534089386,0.00043193514026334206,90,90,complete,False
very_low_tv_spectral_teacher,1.6,-0.07622909712631222,0.004632242281893755,0.0004882812094840006,90,90,complete,False
very_low_tv_spectral_teacher,1.7,-0.0786249494940357,0.004086258134929498,0.0004307294271256286,90,90,complete,False
very_low_tv_spectral_teacher,1.8,-0.08130138090225787,0.004613332748265855,0.0004862879696254769,90,90,complete,False
very_low_tv_spectral_teacher,1.9,-0.08403514331318838,0.00408778588077169,0.00043089046567720124,90,90,complete,False
very_low_tv_spectral_teacher,2.0,-0.08621464407627866,0.0050753938612154315,0.0005349934874625764,90,90,complete,False
very_low_tv_spectral_teacher,2.1,-0.08880025384573471,0.0044595302936018075,0.00047007576741003767,90,90,complete,False
very_low_tv_spectral_teacher,2.2,-0.09013496375869284,0.005351270856459393,0.0005640734760963882,90,90,complete,False
very_low_tv_spectral_teacher,2.3,-0.09360496499090909,0.004775941484274721,0.0005034284353997787,90,90,complete,False
very_low_tv_spectral_teacher,2.4,-0.09547194049870071,0.005580463385270092,0.0005882324898875739,90,90,complete,False
very_low_tv_spectral_teacher,2.5,-0.09741288803255663,0.005737322679195152,0.0006047669112532074,90,90,complete,False
