rule,ref_id,example_kind,umap_1,umap_2,dist_to_rule_umap_centroid
random_label,1000,centroid,12.488279342651367,-2.900062322616577,0.022801384153412558
random_label,1027,left_edge,11.704526901245117,-3.2193443775177,0.8690851662001927
random_label,1025,right_edge,13.403639793395996,-2.7390027046203613,0.9070265752861462
real_even_odd,13,centroid,-6.0878825187683105,5.652081489562988,0.19033932928036212
real_even_odd,17,left_edge,-7.131382942199707,5.562610626220703,0.9316704749051695
real_even_odd,1008,right_edge,-4.892050266265869,6.0961689949035645,1.4392426653599113
teacher_nn,42,centroid,-9.161975860595703,4.770602703094482,0.0434575403665371
teacher_nn,15,left_edge,-10.000839233398438,5.0701375007629395,0.8666370901664421
teacher_nn,1022,right_edge,-8.264836311340332,4.9454665184021,0.9182077240478421
very_low_tv_spectral_teacher,77,centroid,-5.306519031524658,5.566220283508301,0.10543070039003463
very_low_tv_spectral_teacher,70,left_edge,-6.410491466522217,7.117533206939697,1.8253939816782896
very_low_tv_spectral_teacher,60,right_edge,-4.264030456542969,4.894275665283203,1.2924137065378196
