rule,ref_id,neighbor_rank,neighbor_rule,neighbor_ref_id,feature_distance
random_label,24,4,random_label,1017,9.048196026508498
random_label,24,5,random_label,20,9.215263783286565
random_label,25,1,random_label,50,8.539547642553853
random_label,25,2,random_label,23,8.630266080862464
random_label,25,3,random_label,5,8.850349955286697
random_label,25,4,random_label,35,9.261842484909476
random_label,25,5,random_label,47,9.429459564694122
random_label,26,1,random_label,29,7.180650044241292
random_label,26,2,random_label,1028,7.283275205256779
random_label,26,3,random_label,19,7.615274237281979
random_label,26,4,random_label,35,7.706821090787871
random_label,26,5,random_label,59,7.858395320277057
random_label,27,1,random_label,53,6.987382955880546
random_label,27,2,random_label,1015,7.029596687957851
random_label,27,3,random_label,1028,7.489953122350211
random_label,27,4,random_label,54,7.493612500676256
random_label,27,5,random_label,1017,7.519934367153066
random_label,28,1,random_label,1028,7.547084381352287
random_label,28,2,random_label,29,7.82828374858649
random_label,28,3,random_label,26,8.70036386898075
random_label,28,4,random_label,1009,8.748736812837068
random_label,28,5,random_label,27,8.756843342278163
random_label,29,1,random_label,1009,6.527630993979341
random_label,29,2,random_label,26,7.180650044241292
random_label,29,3,random_label,59,7.267055032737329
random_label,29,4,random_label,1028,7.538044862997848
random_label,29,5,random_label,28,7.82828374858649
random_label,30,1,random_label,52,7.504301703118782
random_label,30,2,random_label,1017,7.781601700912268
random_label,30,3,random_label,1018,7.864343695565926
random_label,30,4,random_label,1006,7.941150830015382
random_label,30,5,random_label,4,7.995549471738239
random_label,31,1,random_label,43,9.584502687865127
random_label,31,2,random_label,4,9.736044702210105
random_label,31,3,random_label,37,9.763150445139596
random_label,31,4,random_label,25,9.79890687945469
random_label,31,5,random_label,56,9.922651466115976
random_label,32,1,random_label,0,7.816285712966947
random_label,32,2,random_label,35,8.138842194105724
random_label,32,3,random_label,1000,8.163384227698831
random_label,32,4,random_label,15,8.842273811025732
random_label,32,5,random_label,41,8.894474613559415
random_label,33,1,random_label,51,7.538769061372388
random_label,33,2,random_label,8,8.125494453858144
random_label,33,3,random_label,23,8.14628209750691
random_label,33,4,random_label,18,8.246227518301069
random_label,33,5,random_label,1006,8.269128960085414
random_label,34,1,random_label,23,7.1907326236098275
random_label,34,2,random_label,4,7.409025065356773
random_label,34,3,random_label,58,7.991939766222402
random_label,34,4,random_label,18,7.994315144778209
random_label,34,5,random_label,27,8.144176569266879
random_label,35,1,random_label,38,6.852581610160133
random_label,35,2,random_label,53,7.02572548429041
random_label,35,3,random_label,15,7.34153593732259
random_label,35,4,random_label,1021,7.63855401247053
random_label,35,5,random_label,26,7.706821090787871
random_label,36,1,random_label,8,8.453066666483931
random_label,36,2,random_label,13,8.756940695368032
random_label,36,3,random_label,1000,8.93180756284168
random_label,36,4,random_label,1006,8.939801692020726
random_label,36,5,random_label,44,9.055514000681212
random_label,37,1,random_label,4,7.741985904563117
random_label,37,2,random_label,18,8.069406734472466
random_label,37,3,random_label,56,8.549936404354183
random_label,37,4,random_label,23,8.762282640513185
random_label,37,5,random_label,30,9.00432250067228
random_label,38,1,random_label,35,6.852581610160133
random_label,38,2,random_label,53,7.361389937789295
random_label,38,3,random_label,1017,7.5676803602210745
random_label,38,4,random_label,15,7.932678803829374
random_label,38,5,random_label,27,7.934665001253933
random_label,39,1,random_label,16,7.0869197472093655
random_label,39,2,random_label,19,8.26405503596053
random_label,39,3,random_label,29,8.538848323098621
random_label,39,4,random_label,1028,8.655285087571889
random_label,39,5,random_label,1017,8.682288228182777
random_label,40,1,random_label,1020,6.8989363808134305
random_label,40,2,random_label,1022,7.39328229432564
random_label,40,3,random_label,46,7.5047034319225645
random_label,40,4,random_label,15,8.15787917602783
random_label,40,5,random_label,35,8.1876762062031
random_label,41,1,random_label,1005,8.0135040531615
random_label,41,2,random_label,1000,8.077121007927625
random_label,41,3,random_label,35,8.729439419944779
random_label,41,4,random_label,1001,8.730776433675937
random_label,41,5,random_label,32,8.894474613559415
random_label,42,1,random_label,26,8.176112668288644
random_label,42,2,random_label,1028,8.524539597046635
random_label,42,3,random_label,1009,8.712331144136357
random_label,42,4,random_label,23,8.85024172988516
random_label,42,5,random_label,29,8.905858092854897
random_label,43,1,random_label,1028,7.942824986372153
random_label,43,2,random_label,17,8.097628999493867
random_label,43,3,random_label,26,8.147698690174824
random_label,43,4,random_label,1000,8.744590389630147
random_label,43,5,random_label,48,8.946564768246779
random_label,44,1,random_label,1021,5.0454279925701355
random_label,44,2,random_label,54,6.055347438152238
random_label,44,3,random_label,1017,6.914229994023192
random_label,44,4,random_label,48,7.258466514792321
random_label,44,5,random_label,13,7.557112106084404
random_label,45,1,random_label,16,7.379947320373856
random_label,45,2,random_label,1013,7.511940778121616
random_label,45,3,random_label,1015,7.540790457365521
random_label,45,4,random_label,1010,7.8091514427343744
random_label,45,5,random_label,11,7.94027451353874
random_label,46,1,random_label,40,7.5047034319225645
random_label,46,2,random_label,1020,8.431990975826857
random_label,46,3,random_label,15,8.934791236207548
random_label,46,4,random_label,52,9.599128312516713
random_label,46,5,random_label,55,9.813874668431312
random_label,47,1,random_label,50,7.668568715756501
random_label,47,2,random_label,4,7.885292082412597
random_label,47,3,random_label,1008,8.201368651623165
random_label,47,4,random_label,2,8.37618877971831
random_label,47,5,random_label,48,8.395313457860276
random_label,48,1,random_label,49,6.933158222467393
random_label,48,2,random_label,54,7.218211703346553
random_label,48,3,random_label,44,7.258466514792321
random_label,48,4,random_label,1,7.533400618709233
random_label,48,5,random_label,53,7.628389382042905
random_label,49,1,random_label,48,6.933158222467393
random_label,49,2,random_label,54,7.015911250963918
random_label,49,3,random_label,1028,7.27415684043463
random_label,49,4,random_label,1017,7.528651342233276
random_label,49,5,random_label,1002,7.868926353658143
random_label,50,1,random_label,2,6.399059789076986
random_label,50,2,random_label,16,6.765854303962742
random_label,50,3,random_label,5,6.8614325346006915
random_label,50,4,random_label,19,6.956520754879501
random_label,50,5,random_label,11,7.622717876629589
random_label,51,1,random_label,1005,6.157889447263006
random_label,51,2,random_label,33,7.538769061372388
random_label,51,3,random_label,13,7.9518240513796465
random_label,51,4,random_label,53,7.997503029125475
random_label,51,5,random_label,23,8.056555599290533
random_label,52,1,random_label,30,7.504301703118782
random_label,52,2,random_label,35,8.116392350811864
random_label,52,3,random_label,4,8.20629118435858
random_label,52,4,random_label,57,8.346973406717726
random_label,52,5,random_label,11,8.405787534548816
random_label,53,1,random_label,1017,6.800294350371528
random_label,53,2,random_label,27,6.987382955880546
random_label,53,3,random_label,35,7.02572548429041
random_label,53,4,random_label,1014,7.196144120288926
random_label,53,5,random_label,8,7.315796813371861
random_label,54,1,random_label,44,6.055347438152238
random_label,54,2,random_label,1017,6.5178009498968805
random_label,54,3,random_label,49,7.015911250963918
random_label,54,4,random_label,48,7.218211703346553
random_label,54,5,random_label,13,7.419631886239208
random_label,55,1,random_label,1020,8.392858395998804
random_label,55,2,random_label,1022,8.732672398540345
random_label,55,3,random_label,40,9.204756349172937
random_label,55,4,random_label,15,9.72258690801679
random_label,55,5,random_label,46,9.813874668431312
random_label,56,1,random_label,30,8.171143900893341
random_label,56,2,random_label,37,8.549936404354183
random_label,56,3,random_label,4,9.000472835572518
random_label,56,4,random_label,35,9.122689890197492
random_label,56,5,random_label,0,9.187170392167832
random_label,57,1,random_label,14,7.198305554591523
random_label,57,2,random_label,1017,7.247450068904617
random_label,57,3,random_label,1013,7.611609246500431
random_label,57,4,random_label,1015,8.095664195291855
random_label,57,5,random_label,4,8.13163819694086
random_label,58,1,random_label,27,7.53893814669192
random_label,58,2,random_label,4,7.547876537174629
random_label,58,3,random_label,1014,7.621966424942351
random_label,58,4,random_label,1009,7.903831000340935
random_label,58,5,random_label,34,7.991939766222402
random_label,59,1,random_label,29,7.267055032737329
random_label,59,2,random_label,26,7.858395320277057
random_label,59,3,random_label,49,7.970278331199483
random_label,59,4,random_label,48,7.981284679923338
random_label,59,5,random_label,1,8.314507739400478
random_label,1000,1,random_label,1005,7.210091305140829
random_label,1000,2,random_label,48,8.016158700046335
random_label,1000,3,random_label,41,8.077121007927625
random_label,1000,4,random_label,32,8.163384227698831
random_label,1000,5,random_label,26,8.223409531811663
random_label,1001,1,random_label,19,7.574847904349533
random_label,1001,2,random_label,41,8.730776433675937
random_label,1001,3,random_label,1000,9.029651228757285
random_label,1001,4,random_label,1005,9.157803905944705
random_label,1001,5,random_label,50,9.214057548365448
random_label,1002,1,random_label,49,7.868926353658143
random_label,1002,2,random_label,58,8.187393233940385
random_label,1002,3,random_label,1021,8.240310882581024
random_label,1002,4,random_label,48,8.290533274169738
random_label,1002,5,random_label,54,8.316121965995764
random_label,1003,1,random_label,38,8.811844740408999
random_label,1003,2,random_label,44,8.821760661607756
random_label,1003,3,random_label,35,8.947509035080603
random_label,1003,4,random_label,53,9.080441007868368
random_label,1003,5,random_label,1017,9.128510617353383
random_label,1004,1,random_label,29,8.186603931282379
random_label,1004,2,random_label,1009,8.252314955360522
random_label,1004,3,random_label,17,9.570686660002057
random_label,1004,4,random_label,26,9.631562194774853
random_label,1004,5,random_label,58,9.654207255007268
random_label,1005,1,random_label,51,6.157889447263006
random_label,1005,2,random_label,1000,7.210091305140829
random_label,1005,3,random_label,1010,7.236942990168138
random_label,1005,4,random_label,41,8.0135040531615
random_label,1005,5,random_label,16,8.121352136968024
random_label,1006,1,random_label,1017,6.51739890103457
random_label,1006,2,random_label,44,7.5671612069444105
random_label,1006,3,random_label,1,7.8473108107884375
random_label,1006,4,random_label,1013,7.854498311971809
random_label,1006,5,random_label,30,7.941150830015382
random_label,1007,1,random_label,1021,8.552126094082508
random_label,1007,2,random_label,35,8.89920609630399
random_label,1007,3,random_label,36,9.20529592942939
random_label,1007,4,random_label,44,9.435003256533939
random_label,1007,5,random_label,1011,9.479528603839492
random_label,1008,1,random_label,13,7.706520180624365
random_label,1008,2,random_label,48,7.902466917976168
random_label,1008,3,random_label,1023,8.069034888500898
random_label,1008,4,random_label,47,8.201368651623165
random_label,1008,5,random_label,1005,8.337474234750049
random_label,1009,1,random_label,29,6.527630993979341
random_label,1009,2,random_label,17,7.490400560355032
random_label,1009,3,random_label,1017,7.677455410191509
random_label,1009,4,random_label,27,7.741190539533439
random_label,1009,5,random_label,4,7.855024431134248
random_label,1010,1,random_label,1005,7.236942990168138
random_label,1010,2,random_label,1015,7.606955345208464
random_label,1010,3,random_label,45,7.8091514427343744
random_label,1010,4,random_label,19,8.028769136831166
random_label,1010,5,random_label,16,8.27592727128328
random_label,1011,1,random_label,30,8.472808896603599
random_label,1011,2,random_label,38,8.635692862013421
random_label,1011,3,random_label,54,8.727956807280922
random_label,1011,4,random_label,4,8.990285416307762
random_label,1011,5,random_label,44,9.0920395956207
random_label,1012,1,random_label,1021,8.529973028737706
random_label,1012,2,random_label,1018,8.546339078571346
random_label,1012,3,random_label,52,8.657739296905623
random_label,1012,4,random_label,21,9.291499156810149
random_label,1012,5,random_label,20,9.344678101186457
random_label,1013,1,random_label,1017,7.38255228742976
random_label,1013,2,random_label,45,7.511940778121616
random_label,1013,3,random_label,57,7.611609246500431
random_label,1013,4,random_label,1006,7.854498311971809
random_label,1013,5,random_label,14,8.032680295679418
random_label,1014,1,random_label,53,7.196144120288926
random_label,1014,2,random_label,58,7.621966424942351
random_label,1014,3,random_label,26,7.972824812045808
random_label,1014,4,random_label,35,8.145913763543453
random_label,1014,5,random_label,23,8.190356095756664
random_label,1015,1,random_label,27,7.029596687957851
random_label,1015,2,random_label,1017,7.512006504467475
random_label,1015,3,random_label,45,7.540790457365521
random_label,1015,4,random_label,23,7.562251045743687
random_label,1015,5,random_label,1010,7.606955345208464
random_label,1016,1,random_label,1026,8.348140162506139
random_label,1016,2,random_label,1005,8.513302367800266
random_label,1016,3,random_label,29,8.695101975026859
random_label,1016,4,random_label,15,8.726581088804478
random_label,1016,5,random_label,35,8.759317742828994
random_label,1017,1,random_label,1006,6.51739890103457
random_label,1017,2,random_label,54,6.5178009498968805
random_label,1017,3,random_label,53,6.800294350371528
random_label,1017,4,random_label,44,6.914229994023192
random_label,1017,5,random_label,1021,7.021180499500273
random_label,1018,1,random_label,1021,7.733509775388588
random_label,1018,2,random_label,30,7.864343695565926
random_label,1018,3,random_label,44,8.060416073229726
random_label,1018,4,random_label,1017,8.222843247679053
random_label,1018,5,random_label,53,8.351158512759332
random_label,1019,1,random_label,48,8.039546704684392
random_label,1019,2,random_label,49,8.062043117283247
random_label,1019,3,random_label,1029,9.120514870790009
random_label,1019,4,random_label,1,9.397691477900894
random_label,1019,5,random_label,1015,9.771406686497379
random_label,1020,1,random_label,40,6.8989363808134305
random_label,1020,2,random_label,21,7.615272733672441
random_label,1020,3,random_label,35,7.939488620268432
random_label,1020,4,random_label,50,8.185147061960567
random_label,1020,5,random_label,15,8.299302993344977
random_label,1021,1,random_label,44,5.0454279925701355
random_label,1021,2,random_label,1017,7.021180499500273
random_label,1021,3,random_label,54,7.553334088541641
random_label,1021,4,random_label,35,7.63855401247053
random_label,1021,5,random_label,1018,7.733509775388588
random_label,1022,1,random_label,40,7.39328229432564
random_label,1022,2,random_label,1020,8.460664313490215
random_label,1022,3,random_label,55,8.732672398540345
random_label,1022,4,random_label,1,9.423845496217142
random_label,1022,5,random_label,11,9.446616074270029
random_label,1023,1,random_label,1008,8.069034888500898
random_label,1023,2,random_label,16,8.473219007878884
random_label,1023,3,random_label,50,9.08656662750741
random_label,1023,4,random_label,1020,9.099843530723803
random_label,1023,5,random_label,2,9.322310731624324
random_label,1024,1,random_label,1000,9.257610652827221
random_label,1024,2,random_label,30,9.936325105672774
random_label,1024,3,random_label,1011,10.208385403166613
random_label,1024,4,random_label,1003,10.253489211209965
random_label,1024,5,random_label,7,10.696672010607767
random_label,1025,1,random_label,5,8.149706379769828
random_label,1025,2,random_label,1020,8.623643407966247
random_label,1025,3,random_label,1013,8.649028343419138
random_label,1025,4,random_label,40,9.274169221745971
random_label,1025,5,random_label,23,9.388139680569743
random_label,1026,1,random_label,13,8.320693351470275
random_label,1026,2,random_label,1,8.335859470329286
random_label,1026,3,random_label,1016,8.348140162506139
random_label,1026,4,random_label,48,9.263451916268561
random_label,1026,5,random_label,1008,9.377076186961059
random_label,1027,1,random_label,4,8.981218150095344
random_label,1027,2,random_label,58,9.002568698557775
random_label,1027,3,random_label,23,9.121089036547643
random_label,1027,4,random_label,12,9.754325176566361
random_label,1027,5,random_label,47,10.026688531552178
random_label,1028,1,random_label,18,6.98174998249864
random_label,1028,2,random_label,17,7.158354957726152
random_label,1028,3,random_label,23,7.242199457927939
random_label,1028,4,random_label,49,7.27415684043463
random_label,1028,5,random_label,26,7.283275205256779
random_label,1029,1,random_label,49,8.962767927330784
random_label,1029,2,random_label,1019,9.120514870790009
random_label,1029,3,random_label,1028,9.266414390761476
random_label,1029,4,random_label,48,9.317435794297985
random_label,1029,5,random_label,47,9.560221817792248
real_even_odd,0,1,real_even_odd,25,9.517197593601036
real_even_odd,0,2,real_even_odd,8,9.545807767380676
real_even_odd,0,3,very_low_tv_spectral_teacher,28,9.667342244834668
real_even_odd,0,4,real_even_odd,38,10.122382412718125
real_even_odd,0,5,very_low_tv_spectral_teacher,52,10.168463629099326
real_even_odd,1,1,real_even_odd,1018,11.058307443104479
real_even_odd,1,2,very_low_tv_spectral_teacher,83,11.697560384080923
real_even_odd,1,3,real_even_odd,58,11.989322433093001
real_even_odd,1,4,very_low_tv_spectral_teacher,19,12.405028083247721
real_even_odd,1,5,very_low_tv_spectral_teacher,69,12.492401493882522
real_even_odd,2,1,real_even_odd,19,9.218296178379322
real_even_odd,2,2,real_even_odd,37,9.54713697818315
real_even_odd,2,3,real_even_odd,1001,9.810831070027186
real_even_odd,2,4,very_low_tv_spectral_teacher,15,9.994957363547362
real_even_odd,2,5,very_low_tv_spectral_teacher,16,10.114879931316848
real_even_odd,3,1,real_even_odd,38,10.862465342310758
real_even_odd,3,2,real_even_odd,1013,10.935411222240337
real_even_odd,3,3,very_low_tv_spectral_teacher,38,11.05516004523553
real_even_odd,3,4,real_even_odd,49,11.073446110869597
real_even_odd,3,5,very_low_tv_spectral_teacher,6,11.227983866652918
real_even_odd,4,1,real_even_odd,44,9.164349103999779
real_even_odd,4,2,very_low_tv_spectral_teacher,24,10.32418127426052
real_even_odd,4,3,real_even_odd,54,10.503391123846535
real_even_odd,4,4,real_even_odd,21,10.631910930865516
real_even_odd,4,5,real_even_odd,34,10.757855316326987
real_even_odd,5,1,real_even_odd,1026,9.198421617651416
real_even_odd,5,2,very_low_tv_spectral_teacher,36,9.469184186701304
real_even_odd,5,3,very_low_tv_spectral_teacher,11,9.65549733497603
real_even_odd,5,4,very_low_tv_spectral_teacher,85,9.825068406949876
real_even_odd,5,5,real_even_odd,20,9.94916915627269
real_even_odd,6,1,real_even_odd,28,9.172610976726416
real_even_odd,6,2,real_even_odd,20,9.241064497062098
real_even_odd,6,3,real_even_odd,40,9.473179535684304
real_even_odd,6,4,real_even_odd,15,9.746642661263435
real_even_odd,6,5,very_low_tv_spectral_teacher,85,9.93261889672625
real_even_odd,7,1,real_even_odd,1019,9.337279069042486
real_even_odd,7,2,very_low_tv_spectral_teacher,15,9.676500525395666
real_even_odd,7,3,real_even_odd,39,10.117818851909119
real_even_odd,7,4,very_low_tv_spectral_teacher,28,10.40064361120106
real_even_odd,7,5,very_low_tv_spectral_teacher,8,10.63551166618625
real_even_odd,8,1,real_even_odd,1015,9.0743982876166
real_even_odd,8,2,real_even_odd,0,9.545807767380676
real_even_odd,8,3,real_even_odd,1014,9.798049676240801
real_even_odd,8,4,very_low_tv_spectral_teacher,52,10.040682901662812
real_even_odd,8,5,real_even_odd,58,10.444803656651956
real_even_odd,9,1,real_even_odd,37,10.039736566611674
real_even_odd,9,2,real_even_odd,1025,10.93806898500027
real_even_odd,9,3,real_even_odd,13,11.69002172758638
real_even_odd,9,4,very_low_tv_spectral_teacher,5,12.051324084892746
real_even_odd,9,5,very_low_tv_spectral_teacher,81,12.07778184489691
real_even_odd,10,1,real_even_odd,39,8.641280790070514
real_even_odd,10,2,real_even_odd,1000,9.3703637244906
real_even_odd,10,3,real_even_odd,1020,9.859235405160002
real_even_odd,10,4,very_low_tv_spectral_teacher,55,10.047556430376119
real_even_odd,10,5,real_even_odd,20,10.099769286424706
real_even_odd,11,1,real_even_odd,20,10.038229288480023
real_even_odd,11,2,real_even_odd,6,10.676241458198517
real_even_odd,11,3,real_even_odd,2,11.10658808299495
real_even_odd,11,4,very_low_tv_spectral_teacher,33,11.138409215015619
real_even_odd,11,5,very_low_tv_spectral_teacher,15,11.389558487245175
real_even_odd,12,1,very_low_tv_spectral_teacher,28,11.456744003582239
real_even_odd,12,2,real_even_odd,54,11.465327730908525
real_even_odd,12,3,real_even_odd,21,11.485711643680888
