pair_id,pair,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
pair_0_2,0/2,2461,0.15,7.743269711670875e-05,7.74327e-05
pair_0_2,0/2,2461,0.15,2.9425338501856425e-05,2.94253e-05
pair_0_2,0/2,2461,0.15,6.648321558131745e-05,-6.64832e-05
pair_0_2,0/2,2461,0.15,7.267471481008956e-06,7.26747e-06
pair_0_2,0/2,2461,0.15,2.825167931788428e-05,2.82517e-05
pair_0_2,0/2,2461,0.15,1.7383670935444033e-05,1.73837e-05
pair_0_2,0/2,2461,0.15,2.276022936007456e-05,-2.27602e-05
pair_0_2,0/2,2461,0.15,6.738928172926703e-05,-6.73893e-05
pair_0_2,0/2,2461,0.15,2.8865389725734776e-05,2.88654e-05
pair_0_2,0/2,2461,0.15,1.739793327302723e-05,1.73979e-05
pair_0_2,0/2,2461,0.15,1.9258408802662912e-05,-1.92584e-05
pair_0_2,0/2,2461,0.15,2.830165900265725e-05,2.83017e-05
pair_0_2,0/2,2461,0.15,1.659416099107237e-05,-1.65942e-05
pair_0_2,0/2,2461,0.15,4.950538293061575e-05,4.95054e-05
pair_0_2,0/2,2461,0.15,6.07362400674762e-05,6.07362e-05
pair_0_2,0/2,2461,0.15,4.663514828091229e-05,4.66351e-05
pair_0_2,0/2,2461,0.15,6.864856692723286e-05,-6.86486e-05
pair_0_2,0/2,2461,0.15,7.588617750032688e-06,-7.58862e-06
pair_0_2,0/2,2461,0.2,7.491395388564302e-05,7.4914e-05
pair_0_2,0/2,2461,0.2,0.0001718312320788,-0.000171831
pair_0_2,0/2,2461,0.2,7.907559271754903e-06,7.90756e-06
pair_0_2,0/2,2461,0.2,0.0001091509544234,-0.000109151
pair_0_2,0/2,2461,0.2,0.0002459237410701,0.000245924
pair_0_2,0/2,2461,0.2,4.716109121942485e-05,-4.71611e-05
pair_0_2,0/2,2461,0.2,8.568011231308545e-06,-8.56801e-06
pair_0_2,0/2,2461,0.2,0.0001882177916488,-0.000188218
pair_0_2,0/2,2461,0.2,4.079139017733087e-05,4.07914e-05
pair_0_2,0/2,2461,0.2,0.0001071918590054,0.000107192
pair_0_2,0/2,2461,0.2,0.000186085727369,0.000186086
pair_0_2,0/2,2461,0.2,6.902444432254566e-05,-6.90244e-05
pair_0_2,0/2,2461,0.2,0.0001404761385576,-0.000140476
pair_0_2,0/2,2461,0.2,0.0001471728266488,0.000147173
pair_0_2,0/2,2461,0.2,9.495308571819292e-05,-9.49531e-05
pair_0_2,0/2,2461,0.2,0.0001586758802339,0.000158676
pair_0_2,0/2,2461,0.2,0.0001558904053299,0.00015589
pair_0_2,0/2,2461,0.2,0.0001998183538516,-0.000199818
pair_0_2,0/2,2461,0.2,0.0001261790400896,0.000126179
pair_0_2,0/2,2461,0.2,0.0001109452025108,0.000110945
pair_0_2,0/2,2461,0.2,3.3492506466518745e-05,3.34925e-05
pair_0_2,0/2,2461,0.2,5.561934548600804e-05,-5.56193e-05
pair_0_2,0/2,2461,0.2,9.095647573716624e-05,9.09565e-05
pair_0_2,0/2,2461,0.2,2.6018104639449768e-05,-2.60181e-05
pair_0_2,0/2,2461,0.2,9.017324682657336e-05,-9.01732e-05
pair_0_2,0/2,2461,0.2,8.698728440601535e-05,8.69873e-05
pair_0_2,0/2,2461,0.2,0.0001406368851783,-0.000140637
pair_0_2,0/2,2461,0.2,0.0001293526796174,0.000129353
pair_0_2,0/2,2461,0.2,7.325700149155255e-05,7.3257e-05
pair_0_2,0/2,2461,0.2,1.7106662614205765e-05,-1.71067e-05
pair_0_2,0/2,2461,0.25,0.0001912342054316,-0.000191234
pair_0_2,0/2,2461,0.25,0.0001250290908273,0.000125029
pair_0_2,0/2,2461,0.25,0.0001695506683385,0.000169551
pair_0_2,0/2,2461,0.25,0.0002971315494685,0.000297132
pair_0_2,0/2,2461,0.25,5.185287600120672e-05,-5.18529e-05
pair_0_2,0/2,2461,0.25,0.0002132054923543,0.000213205
pair_0_2,0/2,2461,0.25,0.0001083863392586,-0.000108386
pair_0_2,0/2,2461,0.25,6.83599401451237e-05,6.83599e-05
pair_0_2,0/2,2461,0.25,3.9743852819991406e-05,3.97439e-05
pair_0_2,0/2,2461,0.25,5.481052620981162e-05,5.48105e-05
pair_0_2,0/2,2461,0.25,5.349235977250457e-05,-5.34924e-05
pair_0_2,0/2,2461,0.25,0.0005046690682001,0.000504669
pair_0_2,0/2,2461,0.25,6.530322102784653e-05,6.53032e-05
pair_0_2,0/2,2461,0.25,8.464980082880607e-05,-8.46498e-05
