pair_id,pair,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
pair_5_7,5/7,2461,0.05,2.857550652654066e-06,-2.85755e-06
pair_5_7,5/7,2461,0.05,2.7011128859447843e-06,-2.70111e-06
pair_5_7,5/7,2461,0.05,1.3645068852571602e-06,1.36451e-06
pair_5_7,5/7,2461,0.05,4.007632291747347e-06,4.00763e-06
pair_5_7,5/7,2461,0.05,2.4190586581318246e-06,2.41906e-06
pair_5_7,5/7,2461,0.05,1.5000595364005342e-07,1.50006e-07
pair_5_7,5/7,2461,0.05,5.489577505731818e-06,-5.48958e-06
pair_5_7,5/7,2461,0.05,2.976688062984225e-06,2.97669e-06
pair_5_7,5/7,2461,0.05,2.523798938757489e-07,-2.5238e-07
pair_5_7,5/7,2461,0.05,2.1406072265500654e-06,-2.14061e-06
pair_5_7,5/7,2461,0.05,3.2944658105570184e-06,-3.29447e-06
pair_5_7,5/7,2461,0.05,6.037433119351913e-06,-6.03743e-06
pair_5_7,5/7,2461,0.05,3.5709282976191087e-06,3.57093e-06
pair_5_7,5/7,2461,0.05,4.987790149925399e-06,-4.98779e-06
pair_5_7,5/7,2461,0.05,6.379674075021804e-07,-6.37967e-07
pair_5_7,5/7,2461,0.05,2.2757358531320736e-06,-2.27574e-06
pair_5_7,5/7,2461,0.05,4.221749144301512e-06,-4.22175e-06
pair_5_7,5/7,2461,0.05,1.480047921365985e-05,-1.48005e-05
pair_5_7,5/7,2461,0.05,1.0792112140601444e-05,-1.07921e-05
pair_5_7,5/7,2461,0.05,7.351108831393122e-06,7.35111e-06
pair_5_7,5/7,2461,0.05,1.6442748087384045e-05,-1.64427e-05
pair_5_7,5/7,2461,0.05,6.861463180616868e-06,-6.86146e-06
pair_5_7,5/7,2461,0.05,6.625050457660174e-06,-6.62505e-06
pair_5_7,5/7,2461,0.05,1.2213116404927892e-05,-1.22131e-05
pair_5_7,5/7,2461,0.05,4.233187060240379e-06,4.23319e-06
pair_5_7,5/7,2461,0.05,7.385523179457347e-06,7.38552e-06
pair_5_7,5/7,2461,0.05,1.1503941849540707e-06,1.15039e-06
pair_5_7,5/7,2461,0.05,1.6769301215182106e-06,1.67693e-06
pair_5_7,5/7,2461,0.05,7.509866638831532e-06,-7.50987e-06
pair_5_7,5/7,2461,0.05,3.983823599687446e-06,3.98382e-06
pair_5_7,5/7,2461,0.1,6.567085785271127e-07,6.56709e-07
pair_5_7,5/7,2461,0.1,1.0644828141429794e-06,-1.06448e-06
pair_5_7,5/7,2461,0.1,4.115985174440431e-06,4.11599e-06
pair_5_7,5/7,2461,0.1,7.41335922046199e-07,7.41336e-07
pair_5_7,5/7,2461,0.1,1.7099398044106468e-05,-1.70994e-05
pair_5_7,5/7,2461,0.1,2.233273074376459e-05,-2.23327e-05
pair_5_7,5/7,2461,0.1,6.298532708866908e-06,6.29853e-06
