pair_id,pair,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
pair_4_5,4/5,2461,0.05,7.469088547421487e-06,-7.46909e-06
pair_4_5,4/5,2461,0.05,5.155077583034532e-06,-5.15508e-06
pair_4_5,4/5,2461,0.05,4.756383846905048e-06,-4.75638e-06
pair_4_5,4/5,2461,0.05,5.959528724173258e-06,5.95953e-06
pair_4_5,4/5,2461,0.05,1.1495315256338142e-05,1.14953e-05
pair_4_5,4/5,2461,0.05,1.560907000386385e-05,-1.56091e-05
pair_4_5,4/5,2461,0.05,2.3745669800907458e-06,-2.37457e-06
pair_4_5,4/5,2461,0.05,1.2923163319128734e-06,1.29232e-06
pair_4_5,4/5,2461,0.05,3.137462440716834e-06,-3.13746e-06
pair_4_5,4/5,2461,0.05,2.8345121731108024e-07,2.83451e-07
pair_4_5,4/5,2461,0.05,4.455252941284928e-06,-4.45525e-06
pair_4_5,4/5,2461,0.05,1.1515120726957216e-06,1.15151e-06
pair_4_5,4/5,2461,0.05,2.766502975398293e-06,-2.7665e-06
pair_4_5,4/5,2461,0.05,1.013699526443213e-05,-1.0137e-05
pair_4_5,4/5,2461,0.05,7.468179844385513e-06,7.46818e-06
pair_4_5,4/5,2461,0.05,1.0009967440035116e-05,1.001e-05
pair_4_5,4/5,2461,0.05,2.551798527634203e-06,-2.5518e-06
pair_4_5,4/5,2461,0.05,9.583410023198556e-06,-9.58341e-06
pair_4_5,4/5,2461,0.05,7.143095050819115e-06,-7.1431e-06
pair_4_5,4/5,2461,0.05,1.713313371950773e-07,1.71331e-07
pair_4_5,4/5,2461,0.05,6.285010922712461e-06,6.28501e-06
pair_4_5,4/5,2461,0.05,1.3587490053305525e-06,1.35875e-06
pair_4_5,4/5,2461,0.05,5.6410910029992095e-06,5.64109e-06
pair_4_5,4/5,2461,0.05,1.4033111417518337e-06,-1.40331e-06
pair_4_5,4/5,2461,0.05,2.8134593814747465e-06,-2.81346e-06
pair_4_5,4/5,2461,0.05,3.5013816028713187e-06,3.50138e-06
pair_4_5,4/5,2461,0.05,1.821765779548856e-06,-1.82177e-06
pair_4_5,4/5,2461,0.05,7.027250813199148e-07,7.02725e-07
pair_4_5,4/5,2461,0.05,1.9581312356032406e-06,-1.95813e-06
pair_4_5,4/5,2461,0.05,6.833101589088181e-07,-6.8331e-07
pair_4_5,4/5,2461,0.1,3.856974832501299e-05,3.85697e-05
pair_4_5,4/5,2461,0.1,4.036375031982021e-06,4.03638e-06
pair_4_5,4/5,2461,0.1,1.114910512263419e-05,1.11491e-05
