rule,radius,d0,target_ref_count,observed_ref_count,missing_ref_count,finite_unit_count,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_delta_phi_energy,qc_diagnostic_pass,sampling_status,missing_ref_ids
random_label,1.8,0.1,90,90,0,90,1.0,0.5659088475797324,0.009924282478029487,0.0004334056423393473,False,complete,
random_label,1.9,0.1,90,90,0,90,1.0,0.6136374602916264,0.0116150408115564,0.0005160582488851732,False,complete,
random_label,2.0,0.1,90,90,0,90,1.0,0.6125304926669815,0.012791465529620332,0.0004985073294313561,False,complete,
random_label,2.1,0.1,90,90,0,90,1.0,0.6182686973069926,0.00923093696831576,0.00046941639494545173,False,complete,
random_label,2.2,0.1,90,90,0,90,1.0,0.6049013014728563,0.012881788336040381,0.0005066541839095642,False,complete,
random_label,2.3,0.1,90,90,0,90,1.0,0.606462563156948,0.01586587338262893,0.0005031435288361967,False,complete,
random_label,2.4,0.1,90,90,0,90,1.0,0.62468159458602,0.011061491107639486,0.00046902649448231847,False,complete,
random_label,2.5,0.1,90,90,0,90,1.0,0.6151713877172065,0.014639358624691555,0.000577250151835944,False,complete,
real_even_odd,0.1,0.1,90,90,0,90,1.0,0.5537029673683289,0.0005593509292632011,0.0,True,complete,
real_even_odd,0.2,0.1,90,90,0,90,1.0,0.6083203560002075,0.0029020670527526637,0.00012875589476809413,True,complete,
real_even_odd,0.3,0.1,90,90,0,90,1.0,0.5934412887790839,0.004856968846112199,0.0002227301150664267,False,complete,
real_even_odd,0.4,0.1,90,90,0,90,1.0,0.6168687706076902,0.007514216905582025,0.0002553860600037721,False,complete,
real_even_odd,0.5,0.1,90,90,0,90,1.0,0.6541949837422892,0.008215246385598677,0.00025589858558421085,False,complete,
real_even_odd,0.6,0.1,90,90,0,90,1.0,0.6419303351930694,0.008457214993164966,0.00024530186032414023,False,complete,
real_even_odd,0.7,0.1,90,90,0,90,1.0,0.5978864705945582,0.011330148324353752,0.000261828514972795,False,complete,
real_even_odd,0.8,0.1,90,90,0,90,1.0,0.6095508758860669,0.010799652036224992,0.00026485674337387813,False,complete,
real_even_odd,0.9,0.1,90,90,0,90,1.0,0.6143421951999722,0.011725801938475196,0.0002913855867514274,False,complete,
real_even_odd,1.0,0.1,90,90,0,90,1.0,0.6173813617909502,0.014513955981715742,0.0003716678353953827,False,complete,
real_even_odd,1.1,0.1,90,90,0,90,1.0,0.6171005678006555,0.01697730680219334,0.00034950882335767707,False,complete,
real_even_odd,1.2,0.1,90,90,0,90,1.0,0.5625468625014937,0.01766580991871476,0.0003850883912315282,False,complete,
real_even_odd,1.3,0.1,90,90,0,90,1.0,0.6170495913315857,0.015062255234362856,0.0004315546168090858,False,complete,
real_even_odd,1.4,0.1,90,90,0,90,1.0,0.6200451988085103,0.016987185007087586,0.0004214708998520541,False,complete,
real_even_odd,1.5,0.1,90,90,0,90,1.0,0.6265259548517419,0.01982622452873279,0.00047398789242844764,False,complete,
real_even_odd,1.6,0.1,90,90,0,90,1.0,0.608028667128647,0.02079226886298578,0.0005362947787969432,False,complete,
