rule,radius,d0,target_ref_count,observed_ref_count,missing_ref_count,finite_unit_count,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_delta_phi_energy,qc_diagnostic_pass,sampling_status,missing_ref_ids
random_label,0.1,0.1,90,90,0,90,1.0,0.5658880220262799,0.0062017214033416096,0.0,False,complete,
random_label,0.15,0.1,90,90,0,90,1.0,0.5908994532263019,0.010096362577512981,0.0005533611446490901,False,complete,
random_label,0.2,0.1,90,90,0,90,1.0,0.5898029291233032,0.018586037431634832,0.0008642487181498709,False,complete,
random_label,0.25,0.1,90,90,0,90,1.0,0.6132034322265045,0.01921536452944246,0.0009581922219334361,False,complete,
random_label,0.3,0.1,90,90,0,90,1.0,0.6350109524532991,0.025517080538876236,0.0008515675311177874,False,complete,
random_label,0.35,0.1,90,90,0,90,1.0,0.6293633637444164,0.024849031019311876,0.0008143736003663128,False,complete,
random_label,0.4,0.1,90,90,0,90,1.0,0.5842064850341973,0.016253131395898953,0.0007623281958265828,False,complete,
random_label,0.45,0.1,90,90,0,90,1.0,0.6053347733201686,0.01498974760361698,0.000696244482380916,False,complete,
random_label,0.5,0.1,90,90,0,90,1.0,0.6075464851317267,0.022125273602833718,0.0006802237332230726,False,complete,
random_label,0.55,0.1,90,90,0,90,1.0,0.5695602153871527,0.018880037891598738,0.0006630221828080183,False,complete,
random_label,0.6,0.1,90,90,0,90,1.0,0.5960763689592605,0.01430661269131265,0.0006468622662405491,False,complete,
random_label,0.65,0.1,90,90,0,90,1.0,0.6273963554273666,0.011659064340451194,0.000601700949667757,False,complete,
random_label,0.7,0.1,90,90,0,90,1.0,0.6165674084160513,0.01192323213219273,0.0006242687453722804,False,complete,
random_label,0.75,0.1,90,90,0,90,1.0,0.6039543905296108,0.011507455556865415,0.0005628327390901712,False,complete,
random_label,0.8,0.1,90,90,0,90,1.0,0.5721600074561721,0.009370884750776397,0.0004554600088844368,False,complete,
random_label,0.85,0.1,90,90,0,90,1.0,0.6027838006347398,0.011005837833840085,0.0004682582833530804,False,complete,
random_label,0.9,0.1,90,90,0,90,1.0,0.5938399527601979,0.011570234451086734,0.0005609965265320982,False,complete,
random_label,0.95,0.1,90,90,0,90,1.0,0.6130011798139491,0.009709912350800135,0.0004952948295992561,False,complete,
random_label,1.0,0.1,90,90,0,90,1.0,0.6440293920362274,0.009917092264594684,0.0004909589176742853,False,complete,
random_label,1.05,0.1,90,90,0,90,1.0,0.6475990822170435,0.010866475732484143,0.00048047001445997644,False,complete,
random_label,1.1,0.1,90,90,0,90,1.0,0.6043306031085287,0.0102077913857369,0.0005227730820309725,False,complete,
random_label,1.15,0.1,90,90,0,90,1.0,0.6522334997700963,0.007579665735828208,0.0004537565349897874,False,complete,
random_label,1.2,0.1,90,90,0,90,1.0,0.5847452639876961,0.007753322236794356,0.0004371045537900787,False,complete,
random_label,1.25,0.1,90,90,0,90,1.0,0.6350580510378572,0.012619492305514167,0.0004302298226466673,False,complete,
random_label,1.3,0.1,90,90,0,90,1.0,0.5863431275505703,0.00787392713550487,0.00046580060196333795,False,complete,
random_label,1.35,0.1,90,90,0,90,1.0,0.5903631818995237,0.009881983278432904,0.0004386319718100186,False,complete,
random_label,1.4,0.1,90,90,0,90,1.0,0.6221699032617717,0.009532454305342542,0.0005103707857058279,False,complete,
random_label,1.45,0.1,90,90,0,90,1.0,0.5842389051445467,0.010305528484359394,0.0004642880022580829,False,complete,
random_label,1.5,0.1,90,90,0,90,1.0,0.6078057102209959,0.0076634365062563945,0.0005585400239616535,False,complete,
random_label,1.55,0.1,90,90,0,90,1.0,0.6235653799400329,0.007834021822046401,0.00046376419614241776,False,complete,
random_label,1.6,0.1,90,90,0,90,1.0,0.5903753895010985,0.009758476275339326,0.0004607328819210284,False,complete,
random_label,1.65,0.1,90,90,0,90,1.0,0.6246992442402638,0.010069405652757246,0.0004939247343351853,False,complete,
random_label,1.7,0.1,90,90,0,90,1.0,0.6221070900160782,0.010884755173527098,0.000496984394067476,False,complete,
random_label,1.75,0.1,90,90,0,90,1.0,0.5941864000771752,0.010864943049704102,0.0004759495945515227,False,complete,
random_label,1.8,0.1,90,90,0,90,1.0,0.5659088475797324,0.009924282478029487,0.0004334056423393473,False,complete,
random_label,1.85,0.1,90,90,0,90,1.0,0.6111297336107073,0.009601395811198553,0.0004921299318461816,False,complete,
random_label,1.9,0.1,90,90,0,90,1.0,0.6136374602916264,0.0116150408115564,0.0005160582488851732,False,complete,
random_label,1.95,0.1,90,90,0,90,1.0,0.6092848813110409,0.011773285647214497,0.000538795383917393,False,complete,
random_label,2.0,0.1,90,90,0,90,1.0,0.6125304926669815,0.012791465529620332,0.0004985073294313561,False,complete,
random_label,2.05,0.1,90,90,0,90,1.0,0.5921392573125523,0.012146430247436652,0.0005018889141410658,False,complete,
random_label,2.1,0.1,90,90,0,90,1.0,0.6182686973069926,0.00923093696831576,0.00046941639494545173,False,complete,
random_label,2.15,0.1,90,90,0,90,1.0,0.5743740767126834,0.013285479031021065,0.0005490604899850813,False,complete,
random_label,2.2,0.1,90,90,0,90,1.0,0.6049013014728563,0.012881788336040381,0.0005066541839095642,False,complete,
random_label,2.25,0.1,90,90,0,90,1.0,0.5864746760928619,0.01140029740642447,0.00048268832374412656,False,complete,
