source,group,label,nmstv,n_refs,positive_curvature_mass_mean,positive_curvature_mass_sd,positive_curvature_mass_sem,negative_curvature_mass_mean,negative_curvature_mass_sem,min_second_derivative_mean,min_second_derivative_sem,min_second_derivative_radius_mean,max_second_derivative_mean,max_second_derivative_radius_mean
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,30,0.15500839903402824,0.01547142584892502,0.0028246829780749156,0.18344265962518227,0.002728311578637883,-0.9772372333816101,0.020310216259773164,0.32133333333333336,1.0474838588730142,0.6133333333333333
flip,eta_0.05,flip eta=0.05,0.430574457903612,30,0.3370857329402651,0.028355305246699852,0.0051769467695207,0.3679868999621186,0.005816120379271231,-2.3728881249639757,0.051577247929277495,0.09433333333333334,2.2499425513716504,0.375
advanced,real_even_odd,rule: even odd,0.4932864276461805,30,0.20982555453801804,0.02171691697165996,0.003964948434948314,0.2476703380549588,0.0038495990929100685,-1.328070124696742,0.035672570348020065,0.19333333333333333,1.3307655563508793,0.5576666666666666
flip,eta_0.15,flip eta=0.15,0.6551292914748983,30,0.6033209153550899,0.04118443619107062,0.007519214906660505,0.6165024965900628,0.007409164096786194,-4.644396786728358,0.07962869363492649,0.083,4.789560392714881,0.2876666666666667
advanced,teacher_nn,rule: teacher nn,0.6843772639598127,16,0.2829359382355734,0.08304685682356892,0.02076171420589223,0.336265472662063,0.026570620894535706,-2.192903645014218,0.048175441744482156,0.063125,1.7420545041822493,0.411875
flip,eta_0.25,flip eta=0.25,0.8111369149742439,30,0.7655385141399086,0.07058178862699342,0.012886412593355292,0.7656103869279678,0.01288329986700725,-6.3579307689813565,0.15288851756821265,0.09466666666666666,6.374259953044258,0.26366666666666666
