source,group,label,nmstv,radius,n_refs,d_phi_energy_direct_dd_mean,d_phi_energy_direct_dd_sem,d2_phi_energy_direct_dd2_mean,d2_phi_energy_direct_dd2_sem,positive_curvature_mean,negative_curvature_mean
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.01,30,-0.005010406595456009,0.00021715856904175402,-0.597112038777562,0.024565661371018125,0.0,0.597112038777562
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.02,30,-0.010981526983231628,0.0004574193304102093,-0.6708530176889396,0.025136416081561936,0.0,0.6708530176889396
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.03,30,-0.0184274669492348,0.0007130420635333239,-0.8067495011608383,0.025552580594591322,0.0,0.8067495011608383
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.04,30,-0.027116517006448394,0.0009544094504418543,-0.8815585232887255,0.021657467916382567,0.0,0.8815585232887255
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.05,30,-0.036058637415009316,0.001097075445724786,-0.880208720591629,0.018684949021530547,0.0,0.880208720591629
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.06,30,-0.044720691418280965,0.001230816537402983,-0.8251919541860899,0.01387889867653483,0.0,0.8251919541860899
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.07,30,-0.052562476498731116,0.0012440178469841573,-0.7419042166634131,0.01735030440808888,0.0,0.7419042166634131
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.08,30,-0.059558775751549234,0.0013431462095645271,-0.6618056217232036,0.021003924173587332,0.0,0.6618056217232036
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.09,30,-0.06579858893319518,0.0012956934919726478,-0.5715496142117973,0.03176478948239421,0.0,0.5715496142117973
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.1,30,-0.07098976803578519,0.001419283788148185,-0.477695066711834,0.044955722220830906,0.014183738110599024,0.491878804822433
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.11,30,-0.07535249026743185,0.0014381171587892485,-0.402459966997113,0.06309638536432861,0.03500046328018305,0.43746043027729603
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.12,30,-0.07903896737572744,0.0011965512412521672,-0.33291896124882453,0.056237235318185835,0.009500032933123344,0.3424189941819479
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.13,30,-0.08201086949240835,0.0013027672862985884,-0.25486368189663744,0.04624981128088776,0.015060696871471801,0.26992437876810926
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.14,30,-0.08413624101366018,0.0014472250042088495,-0.24022408490705552,0.045759735824766785,0.032400565370763613,0.2726246502778192
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.15,30,-0.08681535119054945,0.0009974523993158215,-0.06218452753917585,0.06033915839528785,0.0997894101054159,0.16197393764459175
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.16,30,-0.08537993156444369,0.0013263678008461686,-0.05529012363637329,0.047798596177075894,0.06696480691705253,0.12225493055342582
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.17,30,-0.08792115366327692,0.0010572820597078635,-0.10053159638731339,0.05787330305104721,0.08215146161429397,0.18268305800160736
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.18,30,-0.08739056349218997,0.0013477281603411723,0.036987119806733366,0.0612056867659433,0.1512289633499823,0.11424184354324893
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.19,30,-0.08718141126714227,0.0013153909476392727,0.0023526732288221995,0.05874888336400271,0.13382862973685097,0.13147595650802876
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.2,30,-0.08734351002761352,0.0011917338573350642,0.15667407008146547,0.07047062987132774,0.2442069560575513,0.08753288597608579
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.21,30,-0.08404792986551296,0.0011688971988795319,0.13652599499204326,0.05068983896861554,0.19020654626899383,0.05368055127695056
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.22,30,-0.08461299012777267,0.000887946121802812,0.09186068694504387,0.04993291521108937,0.1662284327465777,0.07436774580153384
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.23,30,-0.08221071612661209,0.0009414171792107404,0.21498603415726128,0.05705456079101117,0.2571720733928718,0.04218603923561052
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.24,30,-0.08031326944462745,0.0010985584844907343,0.09823335422980782,0.05377321529077735,0.17097656331635747,0.07274320908654965
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.25,30,-0.08024604904201592,0.0009666177358018454,0.010485416166743262,0.06575377249138431,0.15213540193116973,0.1416499857644265
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.26,30,-0.08010356112129259,0.0010611680976414795,0.10814584631875794,0.05915716031464486,0.1853146265224526,0.07716878020369465
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.27,30,-0.07808313211564077,0.0011449603900237557,0.23211694421309756,0.06514390662413266,0.28926158105084726,0.057144636837749715
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.28,30,-0.07546122223703063,0.0010594290873332049,0.12194150558667025,0.06775565101581457,0.2045647366993212,0.08262323111265096
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.29,30,-0.07564430200390734,0.0011063484622876364,0.09654629612492877,0.05907591950608009,0.17974366772629438,0.08319737160136562
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.3,30,-0.07353029631453206,0.0007153422245431468,0.16922517017654082,0.05444281665035564,0.20259908359726703,0.03337391342072622
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.31,30,-0.07225979860037653,0.0011543596090527416,0.1033654854402239,0.05844625469527521,0.17885928499906192,0.07549379955883803
