source,group,label,nmstv,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem,d_phi_energy_direct_dd_mean,d_phi_energy_direct_dd_sd,d_phi_energy_direct_dd_sem,d_phi_energy_fd_dd_mean,d_phi_energy_fd_dd_sd,d_phi_energy_fd_dd_sem,ess_fraction_min,split_logZ_per_P_diff_max,split_dlogZ_dr_per_P_diff_max,ce_replay_max_abs_diff_max
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.01,30,-0.0009585889851335904,0.00034299634322047876,6.262227810788012e-05,-0.005010406595456009,0.001189426468197117,0.00021715856904175402,-0.007867268482614518,0.00189099774877215,0.00034524737439799787,0.9879887014784766,5.2475984481636805e-06,0.0005072204215160505,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.02,30,-0.0010372616699597355,0.000358099870160657,6.537979224222099e-05,-0.010981526983231628,0.002505388855045804,0.0004574193304102093,-0.011228645638454795,0.0025778717008434165,0.00047065282696871617,0.9459955382139341,1.0521092449193776e-05,0.0009211817282156048,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.03,30,-0.001183161897902686,0.0003837614941617065,7.00649423514179e-05,-0.0184274669492348,0.0039054922264723326,0.0007130420635333239,-0.01866718249123934,0.003894169264836761,0.0007109747830314675,0.8368841802656029,2.3547772528800906e-05,0.001264861393968303,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.04,30,-0.001410605319784522,0.0004209434806210442,7.685341325696153e-05,-0.027116517006448394,0.005227515851031125,0.0009544094504418543,-0.02712574908416474,0.0049331149949255245,0.0009006594538292308,0.6843307999587572,2.7835749820011044e-05,0.002168329597783036,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.05,30,-0.0017256768795859809,0.00046478034084927635,8.485689232269615e-05,-0.036058637415009316,0.006008929689084999,0.001097075445724786,-0.0360288548128562,0.006129013366534565,0.0011189996253672195,0.526910425693832,3.888784293573498e-05,0.002870623622967684,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.06,30,-0.002131182416041646,0.0005251696289080233,9.588241742318052e-05,-0.044720691418280965,0.006741459816860146,0.001230816537402983,-0.04457795089017017,0.0067047401724852265,0.001224112478227079,0.5104021424381251,7.354645768348079e-05,0.004105107672738942,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.07,30,-0.002617235897389385,0.0005826060207633413,0.00010636881990346842,-0.052562476498731116,0.006813766367322331,0.0012440178469841573,-0.051828748914777276,0.007088862299318915,0.0012942432627949692,0.6465181736729033,0.00011198152804628696,0.005989848194365687,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.08,30,-0.003167757394337191,0.00064547129539811,0.00011784639623720846,-0.059558775751549234,0.007356714770060527,0.0013431462095645271,-0.05973011833417978,0.007676735020028518,0.001401573646153164,0.5237580501464392,0.00013566398874642453,0.006909981162702582,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.09,30,-0.0038118382640729797,0.0007212786263039415,0.0001316868579576693,-0.06579858893319518,0.007096805531660582,0.0012956934919726478,-0.06572305513478781,0.008336084704783496,0.001521953878027905,0.6393118791242726,0.0003818262202496675,0.017132202509661233,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.1,30,-0.004482218497032948,0.0007837800025536878,0.0001430979958400372,-0.07098976803578519,0.007773737462701442,0.001419283788148185,-0.07031894327181268,0.010047494630858935,0.0018344131519111597,0.5800835472984436,0.00029334498335276664,0.011860316808645573,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.11,30,-0.005218217129509233,0.0008452033879561126,0.0001543123204211177,-0.07535249026743185,0.007876892082041101,0.0014381171587892485,-0.07573425911429275,0.009834004409555761,0.0017954353485729877,0.5551911641252086,0.0003461970956040884,0.013123346536684935,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0.12,30,-0.005996903679318803,0.0008769047661219132,0.00016010017372958794,-0.07903896737572744,0.006553781060446178,0.0011965512412521672,-0.07862601780600707,0.012778612167103643,0.00233304471251088,0.549508890496033,0.000622310218400203,0.028597454035304042,0.0
