source,group,label,nmstv,ref_id,radius,d_phi_energy_direct_dd,d2_phi_energy_direct_dd2,positive_curvature,negative_curvature
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.01,-0.006912568399069219,-0.7967231154333291,0.0,0.7967231154333291
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.02,-0.01487979955340251,-0.8806101853024173,0.0,0.8806101853024173
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.03,-0.02452477210511756,-0.9234971108495567,0.0,0.9234971108495567
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.04,-0.03334974177039364,-0.9249115127432173,0.0,0.9249115127432173
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.05,-0.04302300235998191,-0.7979644436190649,0.0,0.7979644436190649
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.06,-0.049309030642774934,-0.7056718777999911,0.0,0.7056718777999911
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.07,-0.057136439915981746,-0.8305508692082055,0.0,0.8305508692082055
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.08,-0.06592004802693904,-0.9213372765480585,0.0,0.9213372765480585
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.09,-0.0755631854469429,-0.43847510309433435,0.0,0.43847510309433435
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.1,-0.07468955008882572,0.4255121433179707,0.4255121433179707,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.11,-0.06705294258058349,-0.5714476644790212,0.0,0.5714476644790212
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.12,-0.08611850337840612,-1.0697872063715423,0.0,1.0697872063715423
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.13,-0.08844868670801433,-0.007489077369059238,0.0,0.007489077369059238
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.14,-0.08626828492578731,0.0466966861504341,0.0466966861504341,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.15,-0.08751475298500563,0.1798537488036498,0.1798537488036498,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.16,-0.08267120994971432,-0.37873287424799074,0.0,0.37873287424799074
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.17,-0.09508941046996545,-0.2585271832422169,0.0,0.2585271832422169
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.18,-0.0878417536145587,0.9806032514213725,0.9806032514213725,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.19,-0.07547734544153802,-0.17041678624170942,0.0,0.17041678624170942
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.2,-0.09125008933939291,-0.5669659763545045,0.0,0.5669659763545045
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.21,-0.08681666496862817,0.5364299500987899,0.5364299500987899,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.22,-0.0805214903374171,0.42298908627422893,0.42298908627422893,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.23,-0.07835688324314358,0.3555209619619908,0.3555209619619908,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.24,-0.0734110710981773,-0.12798817793987238,0.0,0.12798817793987238
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.25,-0.08091664680194105,-0.5837336285717227,0.0,0.5837336285717227
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.26,-0.08508574366961176,-0.0751975456319105,0.0,0.0751975456319105
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.27,-0.08242059771457926,1.0120995824409071,1.0120995824409071,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.28,-0.0648437520207936,0.38705274227620334,0.38705274227620334,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.29,-0.07467954286905504,-0.7152792071706777,0.0,0.7152792071706777
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.3,-0.0791493361642071,-0.07934177055679825,0.0,0.07934177055679825
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.31,-0.076266378280191,0.09578059194676891,0.09578059194676891,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.32,-0.07723372432527173,0.5094533282494922,0.5094533282494922,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.33,-0.06607731171520115,-0.4320125885688184,0.0,0.4320125885688184
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.34,-0.0858739760966481,-0.24379909736042338,0.0,0.24379909736042338
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.35,-0.0709532936624098,0.5008655150515486,0.5008655150515486,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.36,-0.07585666579561727,0.7070089346733712,0.7070089346733712,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.37,-0.056813114968942355,0.6618390079669085,0.6618390079669085,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.38,-0.06261988563627909,-0.5555464143635769,0.0,0.5555464143635769
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.39,-0.0679240432562139,-0.10246220393124306,0.0,0.10246220393124306
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.4,-0.06466912971490395,-0.2649745363748832,0.0,0.2649745363748832
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.41,-0.07322353398371148,-0.023337619270435095,0.0,0.023337619270435095
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.42,-0.06513588210031256,0.41566529083824477,0.41566529083824477,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.43,-0.06491022816694658,0.08422193181302484,0.08422193181302484,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.44,-0.06345144346405206,-0.05266334011275342,0.0,0.05266334011275342
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.45,-0.06596349496920165,0.30955467427690886,0.30955467427690886,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.46,-0.05726034997851387,0.07585507737815345,0.07585507737815345,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.47,-0.06444639342163849,-0.23789294530922422,0.0,0.23789294530922422
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.48,-0.0620182088846983,0.8495908525852198,0.8495908525852198,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.49,-0.047454576369934075,0.6641635716159779,0.6641635716159779,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.5,-0.048734937452378724,-0.753531498515752,0.0,0.753531498515752
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.51,-0.06252520634024913,0.18337491582472287,0.18337491582472287,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.52,-0.04506743913588427,0.24368546640292355,0.24368546640292355,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.53,-0.057651497012190654,-0.48269807259370623,0.0,0.48269807259370623
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.54,-0.0547214005877584,-0.03994254000588393,0.0,0.03994254000588393
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.55,-0.05845034781230833,0.05711663378886778,0.05711663378886778,0.0
