rule,radius,phi_energy_raw,n_units,target_ref_count,sampling_status
very_low_tv_spectral_teacher,0.88,-0.052127916829204576,30,30,complete
very_low_tv_spectral_teacher,0.89,-0.0522493023724166,30,30,complete
very_low_tv_spectral_teacher,0.9,-0.052766355427968294,30,30,complete
very_low_tv_spectral_teacher,0.91,-0.0527795596647708,30,30,complete
very_low_tv_spectral_teacher,0.92,-0.053887616099812616,30,30,complete
very_low_tv_spectral_teacher,0.93,-0.05330505792306987,30,30,complete
very_low_tv_spectral_teacher,0.94,-0.054159288520710044,30,30,complete
very_low_tv_spectral_teacher,0.95,-0.05376367578332853,30,30,complete
very_low_tv_spectral_teacher,0.96,-0.05492261043588655,30,30,complete
very_low_tv_spectral_teacher,0.97,-0.05619638827642646,30,30,complete
very_low_tv_spectral_teacher,0.98,-0.05559428137940843,30,30,complete
very_low_tv_spectral_teacher,0.99,-0.056214017342542916,30,30,complete
very_low_tv_spectral_teacher,1.0,-0.05640724151895084,30,30,complete
real_even_odd,0.01,-0.00034708019314791,30,30,complete
real_even_odd,0.02,-0.00037226021167360667,30,30,complete
real_even_odd,0.03,-0.0004241551041437633,30,30,complete
real_even_odd,0.04,-0.0005213192240881567,30,30,complete
real_even_odd,0.05,-0.0006926657881800734,30,30,complete
real_even_odd,0.06,-0.0009561261829070568,30,30,complete
real_even_odd,0.07,-0.00132167486023532,30,30,complete
real_even_odd,0.08,-0.0018129591623284034,30,30,complete
real_even_odd,0.09,-0.0024002805961629565,30,30,complete
real_even_odd,0.1,-0.003105953618003787,30,30,complete
real_even_odd,0.11,-0.003915648655337837,30,30,complete
real_even_odd,0.12,-0.004873212690071893,30,30,complete
real_even_odd,0.13,-0.005746484446106524,30,30,complete
real_even_odd,0.14,-0.0067810809233788535,30,30,complete
real_even_odd,0.15,-0.007908643283205051,30,30,complete
real_even_odd,0.16,-0.00900253075272923,30,30,complete
real_even_odd,0.17,-0.010095968910135558,30,30,complete
real_even_odd,0.18,-0.01150811690326322,30,30,complete
real_even_odd,0.19,-0.012742672628103774,30,30,complete
real_even_odd,0.2,-0.014046416703093933,30,30,complete
