beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.05,0.01,2700,-2.3013984571871666,0.00028188724381675377,-2.3013984571871666,0.00028188724381675377,0.0,-2.3016803444309835,pass
0.05,0.02,2700,-1.608528491845676,0.0002770284813778559,-1.608528491845676,0.0002770284813778559,0.0,-1.6088055203270537,pass
0.05,0.03,2700,-1.203234182864227,0.0002655476682606064,-1.203234182864227,0.0002655476682606064,0.0,-1.2034997305324877,pass
0.05,0.04,2700,-0.9156845181272317,0.0002461780958922703,-0.9156845181272317,0.0002461780958922703,0.0,-0.915930696223124,pass
0.05,0.05,2700,-0.6926557914373626,0.00021903266656694574,-0.6926557914373626,0.00021903266656694574,0.0,-0.6928748241039295,pass
0.05,0.06,2700,-0.5104399684782738,0.0001849379502842404,-0.5104399684782738,0.0001849379502842404,0.0,-0.5106249064285581,pass
0.05,0.07,2700,-0.3563898561837487,0.00014494042927095622,-0.3563898561837487,0.00014494042927095622,0.0,-0.3565347966130196,pass
0.05,0.08,2700,-0.2229556959740025,0.00010017614519192123,-0.2229556959740025,0.00010017614519192124,-1.3552527156068805e-20,-0.22305587211919442,pass
0.05,0.09,2700,-0.10526750464330104,5.161199069124492e-05,-0.10526750464330104,5.161199069124492e-05,0.0,-0.10531911663399228,pass
0.05,0.1,2700,0.0,0.0,0.0,0.0,0.0,0.0,pass
0.05,0.11,2700,0.09521878548174119,-5.394435016533921e-05,0.09521878548174119,-5.394435016533921e-05,0.0,0.09527272983190653,pass
0.05,0.12,2700,0.1821405691254885,-0.00010934854988297518,0.1821405691254885,-0.0001093485498829752,1.3552527156068805e-20,0.1822499176753715,pass
0.05,0.13,2700,0.2620951903572327,-0.00016598402598824434,0.2620951903572327,-0.00016598402598824434,0.0,0.26226117438322094,pass
0.05,0.14,2700,0.3361165962217697,-0.00022343126914025504,0.3361165962217697,-0.00022343126914025504,0.0,0.33634002749090997,pass
0.05,0.15,2700,0.4050245355504599,-0.00028125424410580495,0.4050245355504599,-0.00028125424410580495,0.0,0.4053057897945657,pass
0.05,0.16,2700,0.46947984305941043,-0.00033910892532474854,0.46947984305941043,-0.00033910892532474854,0.0,0.46981895198473517,pass
0.05,0.17,2700,0.5300227812948815,-0.00039697143681258434,0.5300227812948815,-0.00039697143681258434,0.0,0.5304197527316941,pass
0.05,0.18,2700,0.5871011087778717,-0.0004545986920656606,0.5871011087778717,-0.0004545986920656606,0.0,0.5875557074699373,pass
0.05,0.19,2700,0.6410900362586847,-0.0005116479937993974,0.6410900362586847,-0.0005116479937993974,0.0,0.6416016842524841,pass
0.05,0.2,2700,0.6923064089973237,-0.0005684151066058685,0.6923064089973237,-0.0005684151066058685,0.0,0.6928748241039295,pass
0.05,0.21,2700,0.7410216600457905,-0.0006241572396850166,0.7410216600457905,-0.0006241572396850166,0.0,0.7416458172854755,pass
0.05,0.22,2700,0.7874679139495068,-0.0006796399863293218,0.7874679139495068,-0.0006796399863293218,0.0,0.7881475539358361,pass
0.05,0.23,2700,0.8318477619442004,-0.0007340882510468433,0.8318477619442004,-0.0007340882510468433,0.0,0.8325818501952472,pass
0.05,0.24,2700,0.8743368736550624,-0.0007878681242386212,0.8743368736550624,-0.0007878681242386212,0.0,0.875124741779301,pass
0.05,0.25,2700,0.9150899079251698,-0.0008407882979541657,0.9150899079251698,-0.0008407882979541657,0.0,0.915930696223124,pass
0.05,0.26,2700,0.954243156032989,-0.0008928424541614109,0.954243156032989,-0.0008928424541614109,0.0,0.9551359984871505,pass
0.05,0.27,2700,0.9919169334307982,-0.0009445638337050597,0.9919169334307982,-0.0009445638337050597,0.0,0.9928614972645033,pass
0.05,0.28,2700,1.0282198802344773,-0.0009949713603623332,1.0282198802344773,-0.0009949713603623332,0.0,1.0292148515948396,pass
0.05,0.29,2700,1.063247774890059,-0.0010446081782071223,1.063247774890059,-0.0010446081782071223,0.0,1.0642923830682662,pass
