run,beta,radius,dataset_count,phi_energy_mean,phi_energy_ci95_low,phi_energy_ci95_high,phi_energy_ci95_half_width
gaussian_random_90_dataset,0.05,0.01,90,-0.0010368939839428728,-0.0010594869790824192,-0.0010143009888033264,2.2592995139546386e-05
gaussian_random_90_dataset,0.05,0.02,90,-0.0010417527463817708,-0.0010644663320577715,-0.00101903916070577,2.2713585676000696e-05
gaussian_random_90_dataset,0.05,0.03,90,-0.0010532335594990202,-0.0010763153045216629,-0.0010301518144763776,2.3081745022642637e-05
gaussian_random_90_dataset,0.05,0.04,90,-0.0010726031318673565,-0.001096334011826232,-0.001048872251908481,2.3730879958875533e-05
gaussian_random_90_dataset,0.05,0.05,90,-0.001099748561192681,-0.0011243885557507174,-0.0010751085666346448,2.4639994558036315e-05
gaussian_random_90_dataset,0.05,0.06,90,-0.0011338432774753862,-0.0011595952126041084,-0.001108091342346664,2.5751935128722142e-05
gaussian_random_90_dataset,0.05,0.07,90,-0.0011738407984886704,-0.0012008572607881023,-0.0011468243361892384,2.7016462299431958e-05
gaussian_random_90_dataset,0.05,0.08,90,-0.0012186050825677055,-0.0012469969572846456,-0.0011902132078507653,2.8391874716940163e-05
gaussian_random_90_dataset,0.05,0.09,90,-0.0012671692370683817,-0.0012970226346094653,-0.001237315839527298,2.9853397541083643e-05
gaussian_random_90_dataset,0.05,0.1,90,-0.0013187812277596267,-0.001350157316701169,-0.0012874051388180843,3.137608894154234e-05
gaussian_random_90_dataset,0.05,0.11,90,-0.001372725577924966,-0.0014056582870666959,-0.001339792868783236,3.2932709141729986e-05
gaussian_random_90_dataset,0.05,0.12,90,-0.0014281297776426018,-0.00146265822137452,-0.0013936013339106836,3.452844373191821e-05
gaussian_random_90_dataset,0.05,0.13,90,-0.0014847652537478711,-0.001520884632647087,-0.0014486458748486552,3.611937889921586e-05
gaussian_random_90_dataset,0.05,0.14,90,-0.0015422124968998815,-0.0015799275333604511,-0.001504497460439312,3.7715036460569604e-05
gaussian_random_90_dataset,0.05,0.15,90,-0.0016000354718654316,-0.0016393574815989156,-0.0015607134621319475,3.932200973348404e-05
gaussian_random_90_dataset,0.05,0.16,90,-0.0016578901530843752,-0.0016988041474613844,-0.001616976158707366,4.091399437700918e-05
gaussian_random_90_dataset,0.05,0.17,90,-0.0017157526645722111,-0.0017582509605252466,-0.0016732543686191757,4.249829595303549e-05
gaussian_random_90_dataset,0.05,0.18,90,-0.0017733799198252874,-0.0018174305419760093,-0.0017293292976745655,4.4050622150721905e-05
gaussian_random_90_dataset,0.05,0.19,90,-0.001830429221559024,-0.0018760318941339312,-0.0017848265489841166,4.560267257490728e-05
gaussian_random_90_dataset,0.05,0.2,90,-0.0018871963343654952,-0.0019343344274303199,-0.0018400582413006705,4.713809306482468e-05
gaussian_random_90_dataset,0.05,0.21,90,-0.001942938467444643,-0.0019915893964780507,-0.0018942875384112352,4.865092903340773e-05
gaussian_random_90_dataset,0.05,0.22,90,-0.0019984212140889486,-0.002048541339606154,-0.0019483010885717432,5.012012551720542e-05
gaussian_random_90_dataset,0.05,0.23,90,-0.0020528694788064703,-0.0021044798414560683,-0.0020012591161568723,5.161036264959796e-05
gaussian_random_90_dataset,0.05,0.24,90,-0.002106649351998248,-0.002159680580493746,-0.0020536181235027502,5.3031228495497955e-05
gaussian_random_90_dataset,0.05,0.25,90,-0.0021595695257137924,-0.002214029638114745,-0.00210510941331284,5.446011240095236e-05
gaussian_random_90_dataset,0.05,0.26,90,-0.0022116236819210377,-0.002267434362093828,-0.0021558130017482473,5.5810680172790374e-05
gaussian_random_90_dataset,0.05,0.27,90,-0.0022633450614646866,-0.0023205693191266485,-0.0022061208038027247,5.7224257661961896e-05
gaussian_random_90_dataset,0.05,0.28,90,-0.00231375258812196,-0.002372282687043625,-0.002255222489200295,5.853009892166491e-05
