q,beta,radius,H_q,H_q_numeric,mean_R_H_at_H_q,ref_count,claim
0.5,0.05,0.01,1.0,1.0,1.0,0,
0.9,0.05,0.01,1.0,1.0,1.0,0,
0.99,0.05,0.01,1.0,1.0,1.0,0,
0.5,0.05,0.02,1.0,1.0,1.0,0,
0.9,0.05,0.02,1.0,1.0,1.0,0,
0.99,0.05,0.02,1.0,1.0,1.0,0,
0.5,0.05,0.03,1.0,1.0,1.0,0,
0.9,0.05,0.03,1.0,1.0,1.0,0,
0.99,0.05,0.03,1.0,1.0,1.0,0,
0.5,0.05,0.04,1.0,1.0,1.0,0,
0.9,0.05,0.04,1.0,1.0,1.0,0,
0.99,0.05,0.04,1.0,1.0,1.0,0,
0.5,0.05,0.05,1.0,1.0,1.0,0,
0.9,0.05,0.05,1.0,1.0,1.0,0,
0.99,0.05,0.05,1.0,1.0,1.0,0,
0.5,0.05,0.06,1.0,1.0,0.992069044890722,0,
0.9,0.05,0.06,1.0,1.0,0.992069044890722,0,
0.99,0.05,0.06,1.0,1.0,0.992069044890722,0,
0.5,0.05,0.07,1.0,1.0,0.893184184698654,0,
0.9,0.05,0.07,1.0,1.0,0.926935385817509,0,
0.99,0.05,0.07,1.0,1.0,0.9977885788754479,0,
0.5,0.05,0.08,1.0,1.0,0.5137090936331782,0,
0.9,0.05,0.08,1.0,1.0,0.9683891786224533,0,
0.99,0.05,0.08,1.0,1.0,1.0,0,
0.5,0.05,0.09,1.0,1.0,0.9098972344315814,0,
0.9,0.05,0.09,1.0,1.0,0.9098972344315814,0,
0.99,0.05,0.09,1.0,1.0,0.9939255489880737,0,
0.5,0.05,0.1,1.0,1.0,0.6969948501368779,0,
0.9,0.05,0.1,1.0,1.0,0.9004446853677127,0,
0.99,0.05,0.1,1.0,1.0,0.9914026423462712,0,
0.5,0.05,0.11,1.0,1.0,0.5925447000230093,0,
0.9,0.05,0.11,1.0,1.0,0.9047566737709052,0,
0.99,0.05,0.11,2.0,2.0,1.0,0,
0.5,0.05,0.12,1.0,1.0,0.5569167073526738,0,
0.9,0.05,0.12,1.0,1.0,0.9154122582293047,0,
0.99,0.05,0.12,2.0,2.0,1.0,0,
0.5,0.05,0.13,1.0,1.0,0.7207298024050703,0,
0.9,0.05,0.13,2.0,2.0,0.9863170425638556,0,
0.99,0.05,0.13,2.0,2.0,0.999559780171072,0,
0.5,0.05,0.14,2.0,2.0,0.9495345798881181,0,
0.9,0.05,0.14,2.0,2.0,0.9495345798881181,0,
0.99,0.05,0.14,2.0,2.0,0.9986190407247468,0,
0.5,0.05,0.15,2.0,2.0,0.8344339332932538,0,
0.9,0.05,0.15,2.0,2.0,0.9328547948780462,0,
0.99,0.05,0.15,2.0,2.0,0.9956949750318946,0,
0.5,0.05,0.16,2.0,2.0,0.6504826377012615,0,
0.9,0.05,0.16,2.0,2.0,0.9917416610574872,0,
0.99,0.05,0.16,2.0,2.0,0.9917416610574872,0,
0.5,0.05,0.17,2.0,2.0,0.5922338046726745,0,
0.9,0.05,0.17,2.0,2.0,0.9072521624993928,0,
0.99,0.05,0.17,2.0,2.0,0.9961225253731117,0,
0.5,0.05,0.18,2.0,2.0,0.7999010160930412,0,
0.9,0.05,0.18,2.0,2.0,0.9914067656225914,0,
0.99,0.05,0.18,2.0,2.0,0.9914067656225914,0,
0.5,0.05,0.19,2.0,2.0,0.656846183684139,0,
0.9,0.05,0.19,2.0,2.0,0.987948725696108,0,
0.99,0.05,0.19,2.0,2.0,0.9991946618907064,0,
0.5,0.05,0.2,2.0,2.0,0.5174400695346661,0,
0.9,0.05,0.2,2.0,2.0,0.972160207323448,0,
0.99,0.05,0.2,2.0,2.0,0.9991670906991842,0,
0.5,0.05,0.21,2.0,2.0,0.9168182599270943,0,
0.9,0.05,0.21,2.0,2.0,0.9168182599270943,0,
0.99,0.05,0.21,2.0,2.0,1.0,0,
0.5,0.05,0.22,2.0,2.0,0.8429076789055162,0,
0.9,0.05,0.22,2.0,2.0,1.0,0,
0.99,0.05,0.22,2.0,2.0,1.0,0,
0.5,0.05,0.23,2.0,2.0,0.7825277708810636,0,
0.9,0.05,0.23,2.0,2.0,0.9103726656810365,0,
0.99,0.05,0.23,2.0,2.0,0.9940034493601843,0,
0.5,0.05,0.24,2.0,2.0,0.646320945632267,0,
0.9,0.05,0.24,2.0,2.0,0.9781918351920649,0,
0.99,0.05,0.24,2.0,2.0,0.9937506112791971,0,
0.5,0.05,0.25,2.0,2.0,0.5327385327429165,0,
0.9,0.05,0.25,2.0,2.0,0.957929206365629,0,
0.99,0.05,0.25,2.0,2.0,0.9923263766139903,0,
0.5,0.05,0.26,2.0,2.0,0.9321618226549917,0,
0.9,0.05,0.26,2.0,2.0,0.9321618226549917,0,
0.99,0.05,0.26,2.0,2.0,0.9990164105853712,0,
0.5,0.05,0.27,2.0,2.0,0.7661503277139408,0,
0.9,0.05,0.27,2.0,2.0,0.9089097760641743,0,
0.99,0.05,0.27,2.0,2.0,0.9974164095356518,0,
0.5,0.05,0.28,2.0,2.0,0.7095668289793328,0,
0.9,0.05,0.28,2.0,2.0,0.9428373381065941,0,
0.99,0.05,0.28,2.0,2.0,0.9923226588816554,0,
0.5,0.05,0.29,2.0,2.0,0.5410217372592468,0,
0.9,0.05,0.29,2.0,2.0,0.93997905849584,0,
0.99,0.05,0.29,4.0,4.0,1.0,0,
0.5,0.05,0.3,2.0,2.0,0.8943656225456051,0,
0.9,0.05,0.3,2.0,2.0,0.9698557857087056,0,
0.99,0.05,0.3,4.0,4.0,1.0,0,
0.5,0.05,0.31,2.0,2.0,0.568232247698584,0,
0.9,0.05,0.31,2.0,2.0,0.9444204936183461,0,
0.99,0.05,0.31,4.0,4.0,1.0,0,
