rule_id,rule_name,rule,n_refs,theta_present_count,dataset_present_count,train_error_zero_count,train_error_mean,train_error_max,test_error_mean,test_error_sd,test_error_min,test_error_max,theta_norm_mean,theta_norm_sd,theta_norm_min,theta_norm_max,test_error_sem,theta_norm_sem,all_payloads_present,all_train_error_zero
rule_001,very_low_tv_spectral_teacher,very_low_tv_spectral_teacher,30,30,30,30,0.0,0.0,0.09012044270833333,0.004588882371726679,0.080078125,0.0986328125,12.08849560679201,0.7823264041750786,10.596875502899136,13.372325572969988,0.0008378114629108363,0.14283260629953146,True,True
rule_002,real_even_odd,real_even_odd,30,30,30,30,0.0,0.0,0.12379557291666667,0.0038824650785415503,0.11474609375,0.1318359375,14.000510318367358,0.7887897219608812,12.419249817027291,15.832474804334154,0.0007088379007477579,0.1440126412820676,True,True
rule_003,teacher_nn,teacher_nn,30,30,30,30,0.0,0.0,0.122509765625,0.005539653388299357,0.11181640625,0.13330078125,13.18955930617371,0.9171059034193952,11.892452143026338,15.273887274271834,0.0010113977071771623,0.16743986364131905,True,True
rule_004,random_label,random_label,30,30,30,30,0.0,0.0,0.519677734375,0.006318642765905919,0.51123046875,0.53662109375,18.175472488819526,1.2280810958487614,15.106795229788295,19.853927612580495,0.0011536210585678342,0.2242159062140102,True,True
