rule,radius,d0,phi_energy_raw,delta_phi_energy,delta_phi_full,n_units,target_ref_count,sampling_status,qc_diagnostic_pass,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,d_delta_phi_energy_dd,d2_delta_phi_energy_dd2,d_delta_phi_full_dd,d2_delta_phi_full_dd2
random_label,0.1,0.1,-0.02689011161013107,0.0,0.0,90,90,complete,False,-0.6525292077861915,-0.3013500841306183,-0.6525292077861915,-0.30135008413061387,7.453477829565164,-23.848385249892722
random_label,0.15,0.1,-0.05951657199944063,-0.03262646038930957,0.3726738914782581,90,90,complete,False,-0.6675967119927224,0.047544700818412444,-0.6675967119927222,0.047544700818408,6.261058567070528,-29.950720127618446
random_label,0.2,0.1,-0.09364978280940331,-0.06675967119927222,0.6261058567070527,90,90,complete,False,-0.6477747377043502,1.740769518438336,-0.6477747377043507,1.7407695184383352,4.458405816803318,-27.01574808543738
random_label,0.25,0.1,-0.12429404576987567,-0.09740393415974463,0.81851447315859,90,90,complete,False,-0.4935197601488889,3.605077304868754,-0.49351976014888876,3.6050773048687605,3.559483758526789,-13.823176753487775
random_label,0.3,0.1,-0.14300175882429217,-0.11611164721416108,0.9820542325597313,90,90,complete,False,-0.287267007217475,3.459574584454168,-0.2872670072174748,3.459574584454165,3.076088141454541,-8.3139429984269
random_label,0.35,0.1,-0.15302074649162314,-0.1261306348814921,1.126123287304044,90,90,complete,False,-0.14756230170347218,2.3192228660997594,-0.1475623017034724,2.3192228660997616,2.7280894586840994,-6.193097675028
random_label,0.4,0.1,-0.1577579889946394,-0.1308678773845083,1.2548631784281414,90,90,complete,False,-0.055344720607499065,1.3960349500524065,-0.05534472060749862,1.3960349500524065,2.4567783739517406,-5.055194712622342
random_label,0.45,0.1,-0.15855521855237306,-0.13166510694224198,1.3718011246992186,90,90,complete,False,-0.007958806698231458,0.6212722821870156,-0.00795880669823168,0.6212722821870111,2.222569987421865,-4.441043147887651
random_label,0.5,0.1,-0.15855386966446253,-0.13166375805433148,1.477120177170328,90,90,complete,False,0.006782507611202471,0.05532718349382317,0.006782507611202471,0.05532718349382761,2.0126740591629755,-4.025213512151328
random_label,0.55,0.1,-0.1578769677912528,-0.1309868561811217,1.573068530615516,90,90,complete,False,-0.0024260883488491647,-0.17714701844008254,-0.0024260883488489426,-0.17714701844008254,1.8200486362067316,-3.5374421247181296
random_label,0.6,0.1,-0.15879647849934742,-0.13190636688921634,1.659125040791001,90,90,complete,False,-0.01093219423280578,-0.01634846731809504,-0.01093219423280578,-0.0163484673181017,1.6589298466911622,-2.8322914717094996
random_label,0.65,0.1,-0.15897018721453338,-0.13208007560440232,1.7389615152846325,90,90,complete,False,-0.004060935080658634,0.15532472983386786,-0.004060935080659078,0.15532472983387452,1.536819489035782,-2.2390260590865516
random_label,0.7,0.1,-0.15920257200741325,-0.13231246039728223,1.812806989694579,90,90,complete,False,0.0046002787505809994,0.009923961581182288,0.004600278750581666,0.00992396158118895,1.4350272407825067,-2.0511669168719173
random_label,0.75,0.1,-0.1585101593394753,-0.1316200477293442,1.8824642393628832,90,90,complete,False,-0.0030685389225404425,-0.17812913005085235,-0.0030685389225402204,-0.1781291300508679,1.3317027973485907,-1.971170320185001
random_label,0.8,0.1,-0.1595094258996673,-0.13261931428953624,1.9459772694294384,90,90,complete,False,-0.013212634254504252,-0.021250654046968853,-0.01321263425450514,-0.021250654046973294,1.2379102087640064,-1.595446433877255
random_label,0.85,0.1,-0.1598314227649257,-0.13294131115479468,2.0062552602392834,90,90,complete,False,-0.005193604327237367,0.07848025881452192,-0.005193604327237589,0.07848025881453746,1.172158153960865,-1.3147041904216668
random_label,0.9,0.1,-0.16002878633239107,-0.13313867472226001,2.0631930848255253,90,90,complete,False,-0.005364608373052082,-0.02396571088489903,-0.005364608373051416,-0.02396571088489681,1.1064397897218399,-1.2657129354460377
