rule,radius,phi_energy_raw,phi_energy_raw_sd,phi_energy_raw_sem,n_units,target_ref_count,sampling_status,qc_diagnostic_pass
very_low_tv_spectral_teacher,0.1,-0.004414630139509517,0.0009313313979566612,9.81709491323912e-05,90,90,complete,True
very_low_tv_spectral_teacher,0.15,-0.008346127804857285,0.0012575769996957858,0.0001325602550693186,90,90,complete,True
very_low_tv_spectral_teacher,0.2,-0.012606566713635489,0.0014841521067653818,0.0001564433683838667,90,90,complete,True
very_low_tv_spectral_teacher,0.25,-0.016811481919348135,0.00176956335737997,0.00018652835577650785,90,90,complete,True
very_low_tv_spectral_teacher,0.3,-0.020625268897174684,0.0017160078004309698,0.00018088310439925114,90,90,complete,False
very_low_tv_spectral_teacher,0.35,-0.023961965758403696,0.0020020677015286127,0.00021103646555628632,90,90,complete,False
very_low_tv_spectral_teacher,0.4,-0.02757853222631829,0.001951347430552691,0.00020569007956212478,90,90,complete,False
very_low_tv_spectral_teacher,0.45,-0.03052898534008479,0.002091355338918058,0.0002204482089244815,90,90,complete,False
very_low_tv_spectral_teacher,0.5,-0.03306846998729302,0.0019361135616911074,0.000204084288789494,90,90,complete,False
very_low_tv_spectral_teacher,0.55,-0.03606423686259787,0.002200118041438807,0.00023191280440584483,90,90,complete,False
very_low_tv_spectral_teacher,0.6,-0.03867477043256924,0.0018671481113142717,0.0001968146920211568,90,90,complete,False
very_low_tv_spectral_teacher,0.65,-0.04118038860829744,0.0022315934988105445,0.00023523060892885234,90,90,complete,False
very_low_tv_spectral_teacher,0.7,-0.043270711415166224,0.0025973585032620368,0.0002737856256771305,90,90,complete,False
very_low_tv_spectral_teacher,0.75,-0.045722085492898176,0.002395343520706529,0.00025249137679864424,90,90,complete,False
very_low_tv_spectral_teacher,0.8,-0.048011095258985254,0.002623754529389014,0.0002765680111350825,90,90,complete,False
very_low_tv_spectral_teacher,0.85,-0.04959926203909974,0.0030289423989717525,0.0003192785627401731,90,90,complete,False
very_low_tv_spectral_teacher,0.9,-0.05250572451007129,0.0026679308950535463,0.0002812246089433619,90,90,complete,False
very_low_tv_spectral_teacher,0.95,-0.0539477755945075,0.003039907292933973,0.00032043436404760123,90,90,complete,False
very_low_tv_spectral_teacher,1.0,-0.0560327719668127,0.003283132495331077,0.00034607255151194457,90,90,complete,False
very_low_tv_spectral_teacher,1.05,-0.05830280031095224,0.0033870244990699782,0.00035702373026173285,90,90,complete,False
very_low_tv_spectral_teacher,1.1,-0.06042828471020353,0.0033176314966098484,0.000349709065546677,90,90,complete,False
very_low_tv_spectral_teacher,1.15,-0.061484473515923156,0.0033795451870953738,0.00035623534155604223,90,90,complete,False
very_low_tv_spectral_teacher,1.2,-0.06344005246846106,0.003041920671484976,0.0003206465927813777,90,90,complete,False
very_low_tv_spectral_teacher,1.25,-0.06542034588595781,0.003749301607340031,0.0003952110904708257,90,90,complete,False
very_low_tv_spectral_teacher,1.3,-0.0665900286160625,0.003560471105037724,0.00037530660783786067,90,90,complete,False
very_low_tv_spectral_teacher,1.35,-0.06876930219780654,0.003506637389564091,0.0003696320359776562,90,90,complete,False
very_low_tv_spectral_teacher,1.4,-0.06999612575572044,0.0037250099123971917,0.0003926505209959803,90,90,complete,False
very_low_tv_spectral_teacher,1.45,-0.07178196489333097,0.0039112900477743075,0.00041228617135052046,90,90,complete,False
very_low_tv_spectral_teacher,1.5,-0.07287167138441969,0.004097696534089376,0.0004319351402633413,90,90,complete,False
very_low_tv_spectral_teacher,1.55,-0.07518619364419045,0.0037601632491251463,0.0003963560080431532,90,90,complete,False
very_low_tv_spectral_teacher,1.6,-0.07622909712631219,0.004632242281893764,0.00048828120948400146,90,90,complete,False
very_low_tv_spectral_teacher,1.65,-0.0777477090152747,0.004466980615152641,0.00047086110025674674,90,90,complete,False
very_low_tv_spectral_teacher,1.7,-0.07862494949403565,0.004086258134929496,0.0004307294271256288,90,90,complete,False
very_low_tv_spectral_teacher,1.75,-0.07962845530065876,0.00410909070462133,0.00043313619129431923,90,90,complete,False
very_low_tv_spectral_teacher,1.8,-0.08130138090225783,0.004613332748265854,0.00048628796962547644,90,90,complete,False
