rule,radius,name,replicates,n_samples_each,target_cess_fraction,mh_sweeps,move_kappa_factor,max_steps
teacher_nn,0.01,rep8_n2048_cess95_mh2,8,2048,0.95,2,80.0,240
teacher_nn,0.011,rep8_n2048_cess95_mh2,8,2048,0.95,2,80.0,240
teacher_nn,0.012,rep8_n2048_cess95_mh2,8,2048,0.95,2,80.0,240
teacher_nn,0.013,rep8_n2048_cess95_mh2,8,2048,0.95,2,80.0,240
teacher_nn,0.014,rep8_n2048_cess95_mh2,8,2048,0.95,2,80.0,240
random_label,0.01,rep16_n2048_cess95_mh2,16,2048,0.95,2,80.0,240
random_label,0.011,rep8_n2048_cess95_mh2,8,2048,0.95,2,80.0,240
random_label,0.012,rep8_n2048_cess95_mh2,8,2048,0.95,2,80.0,240
random_label,0.013,rep8_n2048_cess95_mh2,8,2048,0.95,2,80.0,240
random_label,0.014,rep8_n2048_cess95_mh2,8,2048,0.95,2,80.0,240
