source,group,label,nmstv,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem,d_phi_energy_direct_dd_mean,d_phi_energy_direct_dd_sd,d_phi_energy_direct_dd_sem,d_phi_energy_fd_dd_mean,d_phi_energy_fd_dd_sd,d_phi_energy_fd_dd_sem,ess_fraction_min,split_logZ_per_P_diff_max,split_dlogZ_dr_per_P_diff_max,ce_replay_max_abs_diff_max
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.01,30,-0.0009585889851335401,0.0003429963432204818,6.262227810788066e-05,-0.00501040659545597,0.0011894264681971206,0.0002171585690417546,-0.007867268482614336,0.0018909977487721551,0.00034524737439799874,0.9879887014784766,5.2475984481636805e-06,0.000507220421516,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.02,30,-0.0010372616699596833,0.0003580998701606554,6.53797922422207e-05,-0.01098152698323158,0.0025053888550458036,0.0004574193304102092,-0.011228645638454842,0.0025778717008437422,0.00047065282696877574,0.945995538213934,1.0521092449193776e-05,0.0009211817282156,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.03,30,-0.0011831618979026366,0.0003837614941617162,7.00649423514197e-05,-0.018427466949234753,0.003905492226472336,0.0007130420635333243,-0.01866718249123967,0.0038941692648366416,0.0007109747830314461,0.8368841802656029,2.3547772528800906e-05,0.0012648613939683,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.04,30,-0.0014106053197844766,0.0004209434806210389,7.685341325696057e-05,-0.02711651700644835,0.005227515851031129,0.0009544094504418549,-0.02712574908416416,0.004933114994924808,0.0009006594538291003,0.6843307999587572,2.7835749820011044e-05,0.002168329597783,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.05,30,-0.00172567687958592,0.00046478034084926914,8.485689232269484e-05,-0.03605863741500927,0.00600892968908501,0.001097075445724788,-0.036028854812856344,0.00612901336653441,0.0011189996253671917,0.526910425693832,3.888784293573498e-05,0.0028706236229676,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.06,30,-0.0021311824160416036,0.0005251696289080185,9.588241742317963e-05,-0.044720691418280924,0.006741459816860141,0.0012308165374029815,-0.04457795089017032,0.006704740172486016,0.0012241124782272229,0.5104021424381251,7.354645768348079e-05,0.0041051076727389,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.07,30,-0.0026172358973893264,0.0005826060207633551,0.00010636881990347092,-0.05256247649873107,0.0068137663673223225,0.0012440178469841556,-0.051828748914777,0.007088862299319413,0.0012942432627950607,0.6465181736729033,0.0001119815280462,0.0059898481943656,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.08,30,-0.0031677573943371434,0.0006454712953981188,0.00011784639623721004,-0.05955877575154919,0.007356714770060528,0.0013431462095645275,-0.059730118334180196,0.007676735020027844,0.001401573646153041,0.5237580501464392,0.0001356639887464,0.0069099811627025,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.09,30,-0.00381183826407293,0.0007212786263039399,0.000131686857957669,-0.06579858893319514,0.007096805531660588,0.0012956934919726491,-0.06572305513478748,0.008336084704783328,0.0015219538780278743,0.6393118791242726,0.0003818262202496,0.0171322025096612,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.1,30,-0.004482218497032894,0.0007837800025536933,0.0001430979958400382,-0.07098976803578513,0.007773737462701449,0.0014192837881481857,-0.07031894327181251,0.010047494630858696,0.001834413151911117,0.5800835472984436,0.0002933449833527,0.0118603168086455,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.11,30,-0.00521821712950918,0.0008452033879561053,0.00015431232042111638,-0.07535249026743181,0.007876892082041112,0.0014381171587892505,-0.07573425911429336,0.009834004409555237,0.0017954353485728919,0.5551911641252086,0.000346197095604,0.0131233465366849,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.12,30,-0.005996903679318761,0.0008769047661219088,0.00016010017372958713,-0.0790389673757274,0.006553781060446185,0.0011965512412521677,-0.07862601780600764,0.012778612167103761,0.002333044712510902,0.549508890496033,0.0006223102184002,0.028597454035304,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.13,30,-0.0067907374856293334,0.000963712670879979,0.00017594905626483885,-0.0820108694924083,0.007135550298855264,0.001302767286298586,-0.08107266678827559,0.014488546396813554,0.0026452345623316597,0.6337202517014537,0.0007102950615706,0.0177230885216126,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.14,30,-0.007618357015084273,0.0010812015399218632,0.0001973994908748423,-0.08413624101366014,0.007926777805906966,0.0014472250042088502,-0.08496206825346204,0.014557533324754787,0.0026578297945337916,0.5499305097137829,0.0010938532948682,0.0183650900152535,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.15,30,-0.008489978850698573,0.0010367628620489115,0.0001892861354426018,-0.08681535119054942,0.005463271791429259,0.0009974523993158213,-0.08457778721990739,0.022395119818588778,0.004088770767557358,0.5604273795534199,0.0011666462784697,0.0110157832904571,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.16,30,-0.00930991275948242,0.001126955449564644,0.00020575297367664367,-0.08537993156444366,0.007264815640719675,0.0013263678008461701,-0.08646440979896193,0.023259043675253048,0.004246500962311318,0.6086988818113686,0.0014407221105241,0.0179836775485652,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.17,30,-0.010219267046677813,0.0011735209937800944,0.00021425463999974584,-0.08792115366327688,0.005790972337475207,0.001057282059707863,-0.09099796827957903,0.023762365304766202,0.0043383944990328565,0.6187313119230186,0.0016206514006516,0.0147276837609116,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.18,30,-0.011129872125073999,0.0013372347047030224,0.0002441445374815349,-0.08739056349218992,0.007381811148037997,0.001347728160341173,-0.08543090908312455,0.03239077344707493,0.005913719090667435,0.5395388858149387,0.0015177958370517,0.0204359001791387,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.19,30,-0.011927885228340302,0.001339413794680147,0.00024454238305996986,-0.08718141126714221,0.007204692939601267,0.0013153909476392727,-0.08921011070335444,0.027643300835944386,0.005046953143916052,0.5840638173003232,0.0012441175159629,0.0169272356135871,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.2,30,-0.012914074339141091,0.0013737685385366264,0.0002508146724491384,-0.08734351002761348,0.006527395162050578,0.0011917338573350633,-0.07732278153146928,0.0390828282503092,0.007135515547931503,0.5340152501227646,0.0015775162342631,0.0195561163433648,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.21,30,-0.01347434085896969,0.0015313905958564927,0.0002795923912339595,-0.08404792986551292,0.006402313632309222,0.0011688971988795319,-0.08082678898895763,0.028976955065510776,0.005290443979064614,0.5385595977703425,0.0026146233343284,0.0222752671623712,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.22,30,-0.014530610118920243,0.0014085538625317432,0.00025716557465655553,-0.08461299012777264,0.004863481207606303,0.0008879461218028125,-0.0893873606260426,0.04334012688785681,0.00791278838053845,0.6048483140371593,0.0017601186571924,0.0216753164785807,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.23,30,-0.015262088071490543,0.0015459192786677657,0.00028224495366948335,-0.08221071612661204,0.005156354250766056,0.0009414171792107402,-0.07645523124114287,0.04224590447092828,0.007713011613645253,0.5578909077925475,0.002443733277479,0.0184754796429405,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.24,30,-0.0160597147437431,0.0014957411628876024,0.00027308372503418306,-0.08031326944462741,0.006017052626942646,0.0010985584844907341,-0.09028788209718952,0.04393043899231398,0.008020564132398296,0.5299163422359527,0.0020771115966832,0.0210316388809734,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.25,30,-0.017067845713434334,0.00147000227211016,0.0002683844680061939,-0.08024604904201588,0.0052943833838324005,0.0009666177358018458,-0.08179688134661145,0.046596479190131976,0.008507314250918446,0.6031701012716517,0.0021962817927068,0.0203702598408009,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.26,30,-0.01769565237067533,0.0015569196539515302,0.00028425333823079677,-0.08010356112129255,0.005812257043830819,0.0010611680976414775,-0.0680477222838336,0.05978028498967463,0.010914336860977427,0.5210777807684612,0.0029193928150321,0.0318920994521617,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.27,30,-0.018428800159111008,0.0017493366976850068,0.0003193837233312246,-0.07808313211564072,0.006271206330659238,0.0011449603900237553,-0.07352597236526509,0.04633258701459853,0.008459134351822186,0.5909784947277118,0.0041945433492205,0.022151320635368,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.28,30,-0.019166171817980634,0.0016125515143094913,0.000294410279842141,-0.07546122223703058,0.0058027320920950734,0.0010594290873332053,-0.08583070772067605,0.06072424248926879,0.011086679132928727,0.6283109207743718,0.0036250413223088,0.0248052110807695,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.29,30,-0.02014541431352452,0.0017204363996999562,0.0003141072749562135,-0.0756443020039073,0.006059720092560917,0.0011063484622876355,-0.08584183171682677,0.06268590879773289,0.011444828762076614,0.6146259859099122,0.0034914098800225,0.0245158808848332,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.3,30,-0.020883008452317168,0.0014295407057447604,0.00026099723046942,-0.07353029631453202,0.003918090727182068,0.0007153422245431462,-0.07501865080382623,0.04853246609589638,0.008860775484025708,0.5415596440648172,0.0029136023735948,0.0234057940022747,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.31,30,-0.021645787329601048,0.0016794741660337148,0.0003066286284946142,-0.0722597986003765,0.00632268797351031,0.0011543596090527412,-0.06467684428888913,0.07386769604361822,0.013486334464674937,0.5924786598276965,0.0020123016113672,0.0255101103207256,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.32,30,-0.02217654533809495,0.0016531834606726612,0.00030182862436829033,-0.07146298660572753,0.004821716458134973,0.000880320956671479,-0.06956520371942079,0.06237570023906429,0.01138819268703863,0.5776513907451343,0.0027533039963209,0.0298308814714657,0.0
