rule,radius,delta_phi_energy_mean,bootstrap_sd,ci95_low,ci95_high
low_tv_spectral_teacher,0.01,0.0,0.0,0.0,0.0
low_tv_spectral_teacher,0.02,-4.879454508112977e-05,5.388144502560458e-06,-5.935530830614827e-05,-3.823378185611127e-05
low_tv_spectral_teacher,0.03,-0.00015834394378930487,1.64414819140524e-05,-0.00019056924834084759,-0.00012611863923776216
low_tv_spectral_teacher,0.04,-0.0003663458931885018,3.378163670689129e-05,-0.00043255790113400875,-0.00030013388524299486
low_tv_spectral_teacher,0.05,-0.000708227925503014,5.273337227972662e-05,-0.0008115853351712782,-0.0006048705158347499
low_tv_spectral_teacher,0.06,-0.0012096131361996458,8.365700308359431e-05,-0.0013735808622434907,-0.0010456454101558008
low_tv_spectral_teacher,0.07,-0.0018794902034962146,9.206972393404786e-05,-0.0020599468624069484,-0.0016990335445854808
low_tv_spectral_teacher,0.08,-0.0027028775537130826,0.00012717505081563538,-0.002952140653311728,-0.0024536144541144373
low_tv_spectral_teacher,0.09,-0.0036596956854043996,0.00016489786094259822,-0.003982895492851892,-0.003336495877956907
low_tv_spectral_teacher,0.1,-0.004794750543944989,0.000185353525516684,-0.00515804345395769,-0.004431457633932288
low_tv_spectral_teacher,0.11,-0.0060504965732598994,0.00023047138158203336,-0.006502220481160685,-0.005598772665359114
low_tv_spectral_teacher,0.12,-0.007330454061029775,0.0002456962909962088,-0.007812018791382345,-0.006848889330677206
low_tv_spectral_teacher,0.13,-0.009040131985859071,0.00029111881613746754,-0.009610724865488508,-0.008469539106229634
low_tv_spectral_teacher,0.14,-0.011011752869630041,0.00031841812460105023,-0.0116358523938481,-0.010387653345411982
low_tv_spectral_teacher,0.15,-0.013104501555589726,0.0003883660301849264,-0.013865698974752183,-0.01234330413642727
low_tv_spectral_teacher,0.17,-0.017208966426163416,0.00048507670188008577,-0.018159716761848386,-0.016258216090478447
random_label,0.01,0.0,0.0,0.0,0.0
random_label,0.02,-0.0011785164434898712,6.570043654403959e-05,-0.0013072892991161887,-0.0010497435878635537
real_even_odd,0.01,0.0,0.0,0.0,0.0
real_even_odd,0.03,-0.0001839002807144177,1.6378521236513334e-05,-0.00021600218233798382,-0.00015179837909085156
real_even_odd,0.04,-0.0004876218905326751,3.277463480798948e-05,-0.0005518601747563344,-0.00042338360630901574
real_even_odd,0.05,-0.00103695270974343,7.093645792582097e-05,-0.0011759881672780393,-0.000897917252208821
real_even_odd,0.07,-0.002953894154213693,0.00013175016228118716,-0.0032121244722848196,-0.0026956638361425663
real_even_odd,0.08,-0.004382443796669364,0.00019543909194711124,-0.004765504416885702,-0.003999383176453026
real_even_odd,0.09,-0.006088748684052009,0.00026002563569476077,-0.006598398930013741,-0.005579098438090278
real_even_odd,0.1,-0.008197646817151422,0.0003748414722228336,-0.008932336102708176,-0.0074629575315946686
real_even_odd,0.11,-0.010571728083639407,0.0004357218387919423,-0.011425742887671614,-0.0097177132796072
