rule,radius,d0,delta_phi_energy,delta_phi_full,n_units,qc_pass,diagnostic_status,bootstrap_sd
low_tv_spectral_teacher,0.01,0.01,0.0,0.0,30,True,claimable_rule_radius,0.0
low_tv_spectral_teacher,0.02,0.01,-4.879454508112977e-05,0.6928247392795465,30,True,claimable_rule_radius,6.154364628335921e-06
low_tv_spectral_teacher,0.03,0.01,-0.00015834394378930487,1.098020224910397,30,True,claimable_rule_radius,1.5945536069190984e-05
low_tv_spectral_teacher,0.04,0.01,-0.0003663458931885018,1.3853807217560667,30,True,claimable_rule_radius,3.258571499652535e-05
low_tv_spectral_teacher,0.05,0.01,-0.000708227925503014,1.6080942964657887,30,True,claimable_rule_radius,5.618362304780503e-05
low_tv_spectral_teacher,0.06,0.01,-0.0012096131361996458,1.7898424895426142,30,True,claimable_rule_radius,8.237416732291547e-05
low_tv_spectral_teacher,0.07,0.01,-0.0018794902034962146,1.943262435342518,30,True,claimable_rule_radius,0.00010650649449741048
low_tv_spectral_teacher,0.08,0.01,-0.0027028775537130826,2.0759177239201696,30,True,claimable_rule_radius,0.0001366573886948653
low_tv_spectral_teacher,0.09,0.01,-0.0036596956854043996,2.1926974420229683,30,True,claimable_rule_radius,0.00016064588327779596
low_tv_spectral_teacher,0.1,0.01,-0.004794750543944989,2.2968813076719745,30,True,claimable_rule_radius,0.0001898535376647046
low_tv_spectral_teacher,0.11,0.01,-0.0060504965732598994,2.3908981140566157,30,True,claimable_rule_radius,0.00023475263355526746
low_tv_spectral_teacher,0.12,0.01,-0.007330454061029775,2.476595182442412,30,True,claimable_rule_radius,0.0002444398837050498
low_tv_spectral_teacher,0.13,0.01,-0.009040131985859071,2.554896612227568,30,True,claimable_rule_radius,0.00029234584658905657
low_tv_spectral_teacher,0.14,0.01,-0.011011752869630041,2.6270037065010117,30,True,claimable_rule_radius,0.00034064329869891566
low_tv_spectral_teacher,0.15,0.01,-0.013104501555589726,2.6938765916898886,30,True,claimable_rule_radius,0.0003696649844801989
low_tv_spectral_teacher,0.16,0.01,-0.014604599023937539,2.756889536274573,30,False,raw_no_claim,0.0003265215921922607
low_tv_spectral_teacher,0.17,0.01,-0.017208966426163416,2.814885856767812,30,True,claimable_rule_radius,0.00046000895356516485
low_tv_spectral_teacher,0.18,0.01,-0.01938425661933642,2.8698464149136633,30,False,raw_no_claim,0.00046835944280073245
low_tv_spectral_teacher,0.19,0.01,-0.0217526824700039,2.921523865200516,30,False,raw_no_claim,0.0005311933451762827
low_tv_spectral_teacher,0.2,0.01,-0.023776426591241417,2.9707731654493057,30,False,raw_no_claim,0.0006360073293159741
low_tv_spectral_teacher,0.21,0.01,-0.026290759471794933,3.017029734928405,30,False,raw_no_claim,0.000696058542956724
low_tv_spectral_teacher,0.22,0.01,-0.028891114627764673,3.0609310298267385,30,False,raw_no_claim,0.0007952162066767092
low_tv_spectral_teacher,0.23,0.01,-0.03086718164114578,3.103389176326721,30,False,raw_no_claim,0.000792690676634175
low_tv_spectral_teacher,0.24,0.01,-0.03257878307983449,3.1442203872482346,30,False,raw_no_claim,0.0007270983640615127
low_tv_spectral_teacher,0.25,0.01,-0.03523842216562211,3.1823666266169615,30,False,raw_no_claim,0.0007767029372112521
low_tv_spectral_teacher,0.26,0.01,-0.03720866750905968,3.2196016105289953,30,False,raw_no_claim,0.0006326942769074389
low_tv_spectral_teacher,0.27,0.01,-0.039625918796040424,3.2549097877665183,30,False,raw_no_claim,0.0008702928613998187
low_tv_spectral_teacher,0.28,0.01,-0.041593096059940146,3.289295897135329,30,False,raw_no_claim,0.0007822341723692383
low_tv_spectral_teacher,0.29,0.01,-0.044447714526297526,3.3215187448206236,30,False,raw_no_claim,0.000672160173116077
low_tv_spectral_teacher,0.3,0.01,-0.04627888600326662,3.353575741066839,30,False,raw_no_claim,0.0009566894479758955
low_tv_spectral_teacher,0.31,0.01,-0.04777482699888909,3.384856677839797,30,False,raw_no_claim,0.000854355132002328
low_tv_spectral_teacher,0.32,0.01,-0.049796899950348236,3.41457076917279,30,False,raw_no_claim,0.0010138637764313507
low_tv_spectral_teacher,0.33,0.01,-0.05146395862179025,3.4436632208622715,30,False,raw_no_claim,0.000900810342287769
low_tv_spectral_teacher,0.34,0.01,-0.05521115253179072,3.4697572044868124,30,False,raw_no_claim,0.0009126413210776514
low_tv_spectral_teacher,0.35,0.01,-0.05637587277548568,3.49756857716182,30,False,raw_no_claim,0.0008527644318515168
low_tv_spectral_teacher,0.36,0.01,-0.05824011249509495,3.5238640928625324,30,False,raw_no_claim,0.0009130656401759356
low_tv_spectral_teacher,0.37,0.01,-0.06037929613168269,3.549113066606247,30,False,raw_no_claim,0.0010402443199009344
low_tv_spectral_teacher,0.38,0.01,-0.06381063514322219,3.5723394463519256,30,False,raw_no_claim,0.0009786231149161854
low_tv_spectral_teacher,0.39,0.01,-0.06439853338665823,3.5977167796809555,30,False,raw_no_claim,0.0008445077676874309
low_tv_spectral_teacher,0.4,0.01,-0.06691382026420079,3.620509305600974,30,False,raw_no_claim,0.000904297194961727
low_tv_spectral_teacher,0.41,0.01,-0.06792401979598948,3.64418197029296,30,False,raw_no_claim,0.0009714538539268568
low_tv_spectral_teacher,0.42,0.01,-0.0693968126885299,3.666797215536298,30,False,raw_no_claim,0.0009291299099413846
low_tv_spectral_teacher,0.43,0.01,-0.07196328026483156,3.6877519557936367,30,False,raw_no_claim,0.0008899987413373906
low_tv_spectral_teacher,0.44,0.01,-0.07169452246164347,3.711001155817487,30,False,raw_no_claim,0.0011779561043965547
low_tv_spectral_teacher,0.45,0.01,-0.07365203778164972,3.7315076243180143,30,False,raw_no_claim,0.0010850006523208165
low_tv_spectral_teacher,0.46,0.01,-0.07651739477414066,3.750612497018354,30,False,raw_no_claim,0.0011226507606944196
low_tv_spectral_teacher,0.47,0.01,-0.0771014489337993,3.7715261576709653,30,False,raw_no_claim,0.0012291224053600676
low_tv_spectral_teacher,0.48,0.01,-0.08000338342177664,3.78966932073092,30,False,raw_no_claim,0.001030871848156919
low_tv_spectral_teacher,0.49,0.01,-0.08055757431184132,3.8097262767801867,30,False,raw_no_claim,0.0011626618291505693
low_tv_spectral_teacher,0.5,0.01,-0.08233877551385364,3.8281398070933577,30,False,raw_no_claim,0.0008783968259161538
low_tv_spectral_teacher,0.51,0.01,-0.08358359869580918,3.8466897933523523,30,False,raw_no_claim,0.0009542977790037479
low_tv_spectral_teacher,0.52,0.01,-0.08584204059840568,3.863841771264277,30,False,raw_no_claim,0.0010232742576801214
low_tv_spectral_teacher,0.53,0.01,-0.08624534655783966,3.882479140261731,30,False,raw_no_claim,0.0013963329781013975
low_tv_spectral_teacher,0.54,0.01,-0.08886949195318186,3.8985397484340045,30,False,raw_no_claim,0.0010420821322300418
low_tv_spectral_teacher,0.55,0.01,-0.09073758953589599,3.9150135454852717,30,False,raw_no_claim,0.001136928878294765
low_tv_spectral_teacher,0.56,0.01,-0.09036429770311524,3.9333982293167824,30,False,raw_no_claim,0.0010587065996700722
low_tv_spectral_teacher,0.57,0.01,-0.0924322567817747,3.9490228597429318,30,False,raw_no_claim,0.0011191450762306418
low_tv_spectral_teacher,0.58,0.01,-0.09463540380975403,3.9642045893617954,30,False,raw_no_claim,0.0008434048487160883
low_tv_spectral_teacher,0.59,0.01,-0.09516895444757886,3.9807587233926434,30,False,raw_no_claim,0.0010863538301634655
