radius,claim_status,rules_passed,rules_required
0.72,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.73,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.74,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.75,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.76,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.77,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.78,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.79,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.8,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.81,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.82,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.83,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.84,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.85,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.86,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.87,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.88,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.89,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.9,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.91,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.92,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.93,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.94,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.95,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.96,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.97,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.98,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
0.99,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.0,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.01,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.02,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.03,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.04,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.05,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.06,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.07,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.08,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.09,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.1,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.11,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.12,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.13,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.14,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.15,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.16,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.17,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.18,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.19,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.2,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.21,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.22,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.23,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.24,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.25,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.26,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.27,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.28,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.29,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.3,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.31,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.32,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.33,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.34,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.35,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.36,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.37,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.38,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.39,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.4,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.41,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.42,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.43,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.44,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.45,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.46,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.47,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.48,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.49,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.5,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.51,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.52,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
1.53,no_claim,,low_tv_spectral_teacher;real_even_odd;teacher_nn;random_label
