metric,run,beta,radius,dataset_count,mean,sem,ci95_half_width,ci95_low,ci95_high,source
phi_energy,30 dataset,0.29,0.18,30,-0.0005292691738556218,3.478030043570295e-05,7.113370141338064e-05,-0.0006004028752690024,-0.0004581354724422412,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.19,30,-0.0005374979277533482,3.5183927293491686e-05,7.195921102729104e-05,-0.0006094571387806392,-0.0004655387167260571,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.2,30,-0.0005458964438707952,3.558282438477786e-05,7.277504718255004e-05,-0.0006186714910533452,-0.00047312139668824514,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.21,30,-0.0005544748932168362,3.5957401171792375e-05,7.354114273060695e-05,-0.0006280160359474432,-0.00048093375048622927,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.22,30,-0.0005630694670726263,3.637874279870597e-05,7.440288311543505e-05,-0.0006374723501880613,-0.0004886665839571912,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.23,30,-0.0005718695935754657,3.677559896462013e-05,7.521454510962583e-05,-0.0006470841386850915,-0.0004966550484658399,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.24,30,-0.0005807542377460558,3.7154943654974505e-05,7.599039211492425e-05,-0.00065674462986098,-0.0005047638456311315,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.25,30,-0.0005896897404295929,3.7540832106348394e-05,7.67796226142308e-05,-0.0006664693630438237,-0.0005129101178153621,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.26,30,-0.0005987086368843346,3.791222392218016e-05,7.753920416481543e-05,-0.0006762478410491501,-0.0005211694327195192,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.27,30,-0.0006080113832703211,3.8335253650347896e-05,7.840439710436742e-05,-0.0006864157803746885,-0.0005296069861659537,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.28,30,-0.0006172146294733618,3.8726667362787206e-05,7.92049280313855e-05,-0.0006964195575047473,-0.0005380097014419763,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.29,30,-0.0006265038006730603,3.909826932540712e-05,7.996493938041045e-05,-0.0007064687400534708,-0.0005465388612926499,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.29,0.3,30,-0.0006360285630741131,3.9503956228064556e-05,8.079466225915043e-05,-0.0007168232253332636,-0.0005552339008149627,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.01,30,-0.00034297655131729595,2.575751449383584e-05,5.268003215045579e-05,-0.00039565658346775174,-0.00029029651916684016,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.02,30,-0.0003439115672224132,2.582911888160018e-05,5.282647956681818e-05,-0.0003967380467892314,-0.00029108508765559503,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.03,30,-0.0003457137193625636,2.5965257081801817e-05,5.310491344929716e-05,-0.00039881863281186075,-0.00029260880591326643,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.04,30,-0.0003483469821451758,2.6153791864636642e-05,5.3490510375724e-05,-0.0004018374925208998,-0.0002948564717694518,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.05,30,-0.0003517567974695845,2.6386776641994874e-05,5.396701774854274e-05,-0.00040572381521812725,-0.00029778977972104177,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.06,30,-0.0003558573596687494,2.6656935549387197e-05,5.4519554754027706e-05,-0.0004103769144227771,-0.00030133780491472167,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.07,30,-0.0003605203628720255,2.6953728503291638e-05,5.5126564500929196e-05,-0.00041564692737295467,-0.0003053937983710963,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.08,30,-0.00036579085027496405,2.728954516409122e-05,5.581338668991852e-05,-0.00042160423696488257,-0.00030997746358504553,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.09,30,-0.0003714217901382598,2.7628576402447765e-05,5.650678342821429e-05,-0.0004279285735664741,-0.0003149150067100455,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.1,30,-0.0003774308168218649,2.7975294938786436e-05,5.7215902456211e-05,-0.0004346467192780759,-0.0003202149143656539,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.11,30,-0.00038386044001293394,2.8346954094428984e-05,5.797603077810115e-05,-0.0004418364707910351,-0.0003258844092348328,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.12,30,-0.00039050781574363427,2.8731063572115047e-05,5.87616228676888e-05,-0.00044926943861132307,-0.00033174619287594547,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.13,30,-0.000397556594832349,2.9140275878603682e-05,5.959855600684485e-05,-0.00045715515083919383,-0.00033795803882550414,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.14,30,-0.0004048212103728584,2.9548167618387844e-05,6.043278828383249e-05,-0.00046525399865669087,-0.0003443884220890259,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.15,30,-0.0004122433580980291,2.9961889067165595e-05,6.127894365445883e-05,-0.00047352230175248794,-0.0003509644144435703,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.16,30,-0.0004199633206477059,3.0373620542074982e-05,6.212102907154253e-05,-0.00048208434971924843,-0.00035784229157616337,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.17,30,-0.0004279167747280229,3.081477919555497e-05,6.302329982652314e-05,-0.0004909400745545461,-0.0003648934749014998,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.18,30,-0.00043596784041036895,3.125106032955033e-05,6.391559493407374e-05,-0.0004998834353444427,-0.0003720522454762952,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.19,30,-0.00044423998691320906,3.169744935108982e-05,6.482856299284891e-05,-0.000509068549906058,-0.00037941142392036015,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.2,30,-0.000452754796312554,3.2160003763693435e-05,6.57745929886051e-05,-0.0005185293893011591,-0.0003869802033239489,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.21,30,-0.0004614881184589526,3.2613515753425185e-05,6.670212915306707e-05,-0.0005281902476120196,-0.0003947859893058855,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.22,30,-0.0004702674527825399,3.310022707437801e-05,6.769756557384134e-05,-0.0005379650183563813,-0.00040256988720869857,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.23,30,-0.00047928381111603675,3.3542011678627193e-05,6.860111654188964e-05,-0.0005478849276579264,-0.0004106826945741471,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.24,30,-0.0004885209697637083,3.400524365430744e-05,6.954853230973457e-05,-0.000558069502073443,-0.0004189724374539738,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.25,30,-0.000497784819992297,3.4500983572454696e-05,7.056243428511778e-05,-0.0005683472542774147,-0.0004272223857071792,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
