pair_id,pair_label,pair_order,pair_rank_complexity_desc,complexity_mean,ref_count,train_error_mean,test_error_mean,test_error_sem,CE_mean_train_mean,CE_mean_test_mean,theta_norm_mean,min_margin_mean,q05_margin_mean,median_margin_mean,mean_margin_mean
pair_7_9,7/9,1,1,0.10546875,30,0.0,0.07312825520833334,0.0005582910547562613,0.001830352121323793,0.35802966223842575,13.200957078454884,1.4762481259912656,5.293056392555948,8.692380398014027,8.206514848211835
pair_4_8,4/8,2,12,0.0390625,30,0.0,0.021419270833333334,0.00031298836734808006,0.0008025010926169915,0.10840960568681525,11.308855809902989,3.5648711544216,6.7937013345377215,7.726061090811687,7.681755280652584
pair_2_4,2/4,3,23,0.024739583333333332,30,0.0,0.03264973958333333,0.0005149065622130926,0.0013219411817768098,0.16436369045828844,12.36119756111677,1.5031484480721902,6.273505680162708,7.883243276351006,7.769198552728771
pair_2_9,2/9,4,34,0.015625,30,0.0,0.023014322916666666,0.00032501532228723293,0.0013146628514032785,0.11011878355317856,11.280551312997677,2.5742377363397817,6.411465468396076,7.301829472572433,7.326648182064935
pair_6_7,6/7,5,45,0.00390625,30,0.0,0.009098307291666666,0.0002404458810819265,0.0007149328431319307,0.043841429404715714,11.049358821538323,5.698576386043679,7.186642165371465,7.318156520609105,7.329643796653557
