cell_id,dataset_tag,width,ref_id,theta_norm,final_train_loss,theta_path,selected_refs_path
cell_beta_0p05_p_0p00,dataset_000_seed_001234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_000_seed_001234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_000_seed_001234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_001_seed_101234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_001_seed_101234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_001_seed_101234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_002_seed_201234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_002_seed_201234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_002_seed_201234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_003_seed_301234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_003_seed_301234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_003_seed_301234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_004_seed_401234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_004_seed_401234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_004_seed_401234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_005_seed_501234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_005_seed_501234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_005_seed_501234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_006_seed_601234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_006_seed_601234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_006_seed_601234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_007_seed_701234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_007_seed_701234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_007_seed_701234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_008_seed_801234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_008_seed_801234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_008_seed_801234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_009_seed_901234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_009_seed_901234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_009_seed_901234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_010_seed_1001234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_010_seed_1001234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_010_seed_1001234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_011_seed_1101234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_011_seed_1101234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_011_seed_1101234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_012_seed_1201234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_012_seed_1201234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_012_seed_1201234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_013_seed_1301234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_013_seed_1301234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_013_seed_1301234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_014_seed_1401234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_014_seed_1401234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_014_seed_1401234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_015_seed_1501234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_015_seed_1501234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_015_seed_1501234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_016_seed_1601234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_016_seed_1601234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_016_seed_1601234/width_048/selected_refs.json
cell_beta_0p05_p_0p00,dataset_017_seed_1701234,48,0,,,02_dnn/03_reference_search/raw_outputs/36_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_017_seed_1701234/width_048/selected_ref_payloads/ref_000/theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_90_dataset_30_reference/selected_references/cell_beta_0p05_p_0p00/dataset_017_seed_1701234/width_048/selected_refs.json
