phi_distance_rank,spin_beta,common_radius_count,rmse,mae,max_abs_diff,mean_signed_diff_gaussian_minus_spin,ci95_overlap_fraction
1,0.29,30,0.0013445250807091742,0.0012858030675161108,0.001942941437986452,-0.0012858030675161108,0.0
2,0.31,30,0.0013900105430636348,0.0013329810939599841,0.0019901332068303084,-0.0013329810939599841,0.0
3,0.33,30,0.0014294385327207402,0.001373613437944464,0.002031827306535076,-0.001373613437944464,0.0
4,0.35,30,0.0014362429795515821,0.0013821475902035046,0.002028782277020752,-0.0013821475902035046,0.0
5,0.37,30,0.0014586549752684814,0.0014049912868990574,0.0020545263692794994,-0.0014049912868990574,0.0
6,0.39,30,0.0014802452440077357,0.0014268278825284996,0.002079211559781806,-0.0014268278825284996,0.0
