rule,radius,d0,phi_energy_raw,delta_phi_energy,delta_phi_full,d_phi_energy_direct_dd,d_phi_energy_direct_dd_sem,n_units,target_ref_count,sampling_status,qc_diagnostic_pass,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,d_delta_phi_energy_dd,d2_delta_phi_energy_dd2,d_delta_phi_full_dd,d2_delta_phi_full_dd2
random_label,0.01,0.1,-0.0013593418999545588,0.025788870139138175,-2.2758605929918465,-0.02674459639931737,0.0019053587089356504,30,30,complete,True,-0.04486591887415672,-2.5217171316974434,-0.04486591887415646,-2.5217171316974665,69.24168687175836,-1440.3475973254842
random_label,0.02,0.1,-0.001808001088696126,0.02534021095039661,-1.583443724274263,-0.06653252269265547,0.003660387838211059,30,30,complete,True,-0.07008309019113115,-4.13627363295419,-0.07008309019113113,-4.136273632954193,54.83821089850352,-1736.300093398768
random_label,0.03,0.1,-0.0027610037037771812,0.024387208335315554,-1.1790963750217762,-0.12681783716515777,0.00547526143795333,30,30,complete,True,-0.12759139153324048,-6.203257085702194,-0.12759139153324028,-6.203257085702186,34.515685003783,-1475.0728178935171
random_label,0.04,0.1,-0.004359828919360935,0.0227883831197318,-0.8931300241986029,-0.19523611843024236,0.006968017465492509,30,30,complete,True,-0.194148231905175,-6.477418797276216,-0.19414823190517483,-6.477418797276211,25.336754540633166,-725.3903588941681
random_label,0.05,0.1,-0.006643968341880683,0.020504243697212057,-0.6723612842091128,-0.264743963615813,0.009304847404217454,30,30,complete,True,-0.2571397674787648,-6.393247125071241,-0.25713976747876455,-6.393247125071257,20.00787782589963,-442.0995985839834
random_label,0.06,0.1,-0.00950262426893623,0.01764558777015651,-0.49297246768061037,-0.32364782918484614,0.008944397683500877,30,30,complete,True,-0.32201317440659977,-6.046320588355622,-0.32201317440659993,-6.046320588355629,16.494762568953497,-300.3842601603833
random_label,0.07,0.1,-0.01308423183001268,0.014063980209080057,-0.34246603283004284,-0.38404410863873056,0.0095266628139285,30,30,complete,True,-0.3780661792458773,-5.2999554550307195,-0.37806617924587715,-5.299955455030716,14.000192622691968,-218.10796898322553
random_label,0.08,0.1,-0.017063947853853775,0.010084264185238966,-0.21296861522677088,-0.4360901837662003,0.009526005407518984,30,30,complete,True,-0.4280122835072142,-6.30735150080352,-0.42801228350721426,-6.307351500803552,12.132603189288984,-167.58809306767125
random_label,0.09,0.1,-0.02164447750015696,0.005503734538935777,-0.0998139690442633,-0.48570479570344316,0.009095336673858437,30,30,complete,False,-0.5042132092619477,-6.240169151336275,-0.5042132092619481,-6.240169151336271,10.648430761338544,-132.79805490320268
random_label,0.1,0.1,-0.027148212039092734,0.0,0.0,-0.5277311075421929,0.010365743665148058,30,30,complete,False,-0.5528156665339397,-3.716756708832584,-0.5528156665339397,-3.716756708832545,9.476642091224932,-105.73027409996183
