rule,radius,d0,phi_energy_raw,delta_phi_energy,delta_phi_full,d_phi_energy_direct_dd,d_phi_energy_direct_dd_sem,n_units,target_ref_count,sampling_status,qc_diagnostic_pass,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,d_delta_phi_energy_dd,d2_delta_phi_energy_dd2,d_delta_phi_full_dd,d2_delta_phi_full_dd2
random_label,0.11,0.1,-0.032700790830835755,-0.005552578791743017,0.08971887278023538,-0.5612219557051802,0.01049859985662875,30,30,complete,False,-0.5785483434385994,-2.82651687154927,-0.5785483434385991,-2.8265168715492877,8.533825279339307,-86.83389452850025
random_label,0.12,0.1,-0.038719178907864714,-0.011570966868771975,0.17067650558678604,-0.5869088886224301,0.011836989052231735,30,30,complete,False,-0.609346003964925,-3.241639081567744,-0.6093460039649253,-3.2416390815677545,7.739964200654928,-73.64021419135366
random_label,0.13,0.1,-0.04488771091013426,-0.017739498871041526,0.24451815679333394,-0.6269564399858165,0.010362658818291414,30,30,complete,False,-0.6433811250699544,-3.391488818838379,-0.6433811250699542,-3.39148881883834,7.061020995512234,-63.250258541850485
random_label,0.14,0.1,-0.05158680140926381,-0.02443858937017107,0.31189692549703085,-0.6437359690027249,0.013437006263491652,30,30,complete,False,-0.6771757803416927,-1.6513373153235733,-0.6771757803416922,-1.6513373153235804,6.474959029817917,-53.17860927665009
random_label,0.15,0.1,-0.058431226516968096,-0.03128301447787536,0.3740173373896923,-0.6503731952506588,0.011730781427283331,30,30,complete,False,-0.6764078713764259,-1.135049868617557,-0.6764078713764259,-1.135049868617557,5.9974488099792325,-45.961079621971066
random_label,0.16,0.1,-0.06511495883679232,-0.03796674679769958,0.43184590169661546,-0.6738740825192262,0.011941741003106916,30,30,complete,False,-0.699876777714044,-2.888097914702655,-0.6998767777140436,-2.8880979147026125,5.555737437378497,-42.242992410458555
random_label,0.17,0.1,-0.07242876207124899,-0.045280550032156246,0.48513208613726233,-0.6654208461760975,0.01316271838236705,30,30,complete,False,-0.7341698296704791,-3.060148224958546,-0.7341698296704782,-3.060148224958617,5.152588961770061,-37.889759455863555
random_label,0.18,0.1,-0.07979835543020189,-0.05265014339110914,0.5348976809320166,-0.6526153206657319,0.011850147568550786,30,30,complete,False,-0.761079742213215,3.0368984648055957,-0.7610797422132158,3.0368984648055743,4.797942248261226,-28.00678214922391
random_label,0.19,0.1,-0.08765035691551328,-0.060502144876420555,0.5810909311024868,-0.6339794334617118,0.011142234466598016,30,30,complete,False,-0.6734318603743668,8.53006137295095,-0.6734318603743663,8.53006137295106,4.592453318785584,-19.314061261115768
random_label,0.2,0.1,-0.09326699263768923,-0.06611878059859648,0.6267467473077284,-0.629443778120312,0.008505405368686778,30,30,complete,False,-0.5904785147541958,1.5757191834555186,-0.5904785147541944,1.5757191834554547,4.41166102303891,-23.539910844596108
random_label,0.21,0.1,-0.09945992721059718,-0.07231171517150443,0.669324151563265,-0.5884673844040474,0.009778727458126857,30,30,complete,False,-0.641917476705256,0.875512724116529,-0.6419174767052569,0.8755127241164402,4.121655101893662,-21.894432078899627
random_label,0.22,0.1,-0.10610534217179435,-0.07895713013270161,0.7091798493456016,-0.5660379075556926,0.010398815688942943,30,30,complete,False,-0.5729682602718649,6.789101514622146,-0.5729682602718653,6.789101514622168,3.9737723814609183,-13.949475206374188
random_label,0.23,0.1,-0.11091929241603449,-0.08377108037694175,0.7487995991924834,-0.5256686859629939,0.007473938166772501,30,30,complete,False,-0.5061354464128129,-5.134714685969925,-0.5061354464128134,-5.134714685969769,3.842665597766178,-24.10242740033516
random_label,0.24,0.1,-0.1162280511000506,-0.08907983906095787,0.786033161300925,-0.5012684813516883,0.008460634577205053,30,30,complete,False,-0.6756625539912626,-2.7536761277400217,-0.67566255399126,-2.753676127739908,3.491723833454216,-20.168270314646435
random_label,0.25,0.1,-0.12443254349585973,-0.09728433145676695,0.8186340758615677,-0.4549210393914153,0.010711699420891185,30,30,complete,False,-0.5612089689676125,17.373380232006348,-0.5612089689676107,17.37338023200608,3.439300191473251,1.3284830406298909
random_label,0.26,0.1,-0.12745223047940285,-0.1003040184403101,0.8548191651303901,-0.42792643434525196,0.009675390314058164,30,30,complete,False,-0.32819494935113536,8.25667223715957,-0.328194949351138,8.256672237159304,3.518293494266814,-6.574137777817754
random_label,0.27,0.1,-0.13099644248288245,-0.10384823044378971,0.888999945746904,-0.3987552842691963,0.00984807073435019,30,30,complete,False,-0.39607552422442094,-3.2143389130335933,-0.3960755242244245,-3.2143389130334192,3.3078174359168955,-16.963942528229126
random_label,0.28,0.1,-0.1353737409638913,-0.10822552892479859,0.9209755138487281,-0.3455761517799436,0.00824979014175287,30,30,complete,False,-0.39248172761180733,2.4827784969981757,-0.39248172761180644,2.482778496998396,3.1790146437022315,-10.299777009153019
random_label,0.29,0.1,-0.1388460770351186,-0.11169786499602583,0.9525802386209483,-0.3137949487149664,0.00969660483754972,30,30,complete,False,-0.3464199542844577,3.954427178958813,-0.3464199542844568,3.9544271789587224,3.101821895733835,-7.9597033872165355
random_label,0.3,0.1,-0.14230214004958044,-0.11515392801048772,0.9830119517634047,-0.2840289595117005,0.009944837272582682,30,30,complete,False,-0.3133931840326314,6.358925645936068,-0.3133931840326323,6.35892564593607,3.019820575957901,-4.772425288109616
random_label,0.31,0.1,-0.14511394071577122,-0.11796572867667848,1.0129766501401063,-0.2547622605458656,0.009699455803898487,30,30,complete,False,-0.2192414413657362,7.927896634804324,-0.2192414413657353,7.9278966348044575,3.0063733899716425,-2.4954100420064265
random_label,0.32,0.1,-0.14668696887689517,-0.11953875683780243,1.0431394195628376,-0.2118825859149043,0.008748381549833342,30,30,complete,False,-0.15483525133654474,0.05866578930109334,-0.15483525133654297,0.05866578930109334,2.9699123751177723,-9.722106589809329
random_label,0.33,0.1,-0.14821064574250212,-0.12106243370340934,1.0723748976424619,-0.18231862110405786,0.011799170670193928,30,30,complete,False,-0.21806812557971433,-0.6806951379830108,-0.21806812557971345,-0.6806951379831885,2.8119312581754556,-9.87659936153591
random_label,0.34,0.1,-0.15104833138848947,-0.1239001193493967,1.0993780447263468,-0.16426031753621714,0.010732623796497583,30,30,complete,False,-0.16844915409620498,2.5381378522755593,-0.16844915409620675,2.5381378522753817,2.772380387887054,-6.123860951215221
random_label,0.35,0.1,-0.1515796288244262,-0.12443141678533347,1.1278225054002027,-0.13644778567523533,0.009913853610252892,30,30,complete,False,-0.16730536853420297,-1.0151190279177698,-0.16730536853420563,-1.0151190279175477,2.689454039151151,-9.188418718674313
random_label,0.36,0.1,-0.15439443875917355,-0.12724622672008082,1.1531671255093698,-0.12015912212391533,0.008098510195854267,30,30,complete,False,-0.18875153465456052,6.53602292244852,-0.18875153465455785,6.536022922448787,2.5886120135135684,-1.188818322365364
random_label,0.37,0.1,-0.1553546595175174,-0.12820644747842463,1.179594745670474,-0.10072481220425614,0.008612007686188918,30,30,complete,False,-0.03658491008523246,7.618639363688866,-0.036584910085229794,7.618639363688599,2.6656776727038434,0.30631767870517024
random_label,0.38,0.1,-0.1551261369608782,-0.12797792492178542,1.2064806789634468,-0.09254973437395306,0.008790303601071756,30,30,complete,False,-0.03637874738078306,-5.104303296566077,-0.036378747380785725,-5.104303296566299,2.594738367087672,-12.036302617476125
random_label,0.39,0.1,-0.15608223446513306,-0.12893402242604035,1.2314895130122276,-0.08006658084921921,0.008088925768131087,30,30,complete,False,-0.1386709760165541,-0.1730503443999607,-0.13867097601655587,-0.17305034439973865,2.424951620354321,-6.75365757770868
random_label,0.4,0.1,-0.1578995564812093,-0.13075134444211653,1.2549797113705332,-0.06154085950641332,0.007515575163915639,30,30,complete,False,-0.03983975426878228,8.421747139893528,-0.0398397542687805,8.421747139893572,2.459665215533498,2.1664643924609237
random_label,0.41,0.1,-0.1568790295505087,-0.12973081751141596,1.2806828173228972,-0.05802466163055309,0.00538912308895857,30,30,complete,False,0.02976396678131632,0.2502617402714893,0.029763966781315432,0.25026174027140047,2.468280908203539,-5.703247097702388
random_label,0.42,0.1,-0.15730427714558298,-0.13015606510649025,1.3043453295346041,-0.048689326731628076,0.004767501013056076,30,30,complete,False,-0.03483451946335325,-4.021927344624695,-0.03483451946335325,-4.021927344624473,2.34560027357945,-9.694992556901383
random_label,0.43,0.1,-0.15757571993977576,-0.13042750790068303,1.3275948227944863,-0.040766809992012605,0.004631192677890262,30,30,complete,False,-0.05067458011117765,-0.14363621390254266,-0.050674580111174095,-0.14363621390254266,2.2743810570655114,-5.5556235003145105
random_label,0.44,0.1,-0.15831776874780654,-0.13116955670871375,1.3498329506759144,-0.03453734956405574,0.0049744237199950084,30,30,complete,False,-0.037707243741404106,5.207989918422347,-0.037707243741404106,5.207989918422036,2.2344878035731597,0.03945828739304602
random_label,0.45,0.1,-0.15832986481460384,-0.1311816527755111,1.3722845788659495,-0.03208495812412059,0.004048532933688506,30,30,complete,False,0.053485218257269374,0.3432854655638804,0.05348521825726671,0.3432854655640136,2.2751702228133723,-4.597861280743828
random_label,0.46,0.1,-0.15724806438266115,-0.1300998523435684,1.3953363551321818,-0.03377927400048231,0.004513289048651577,30,30,complete,False,-0.030841534430126494,-4.323598275741766,-0.03084153443012383,-4.323598275741588,2.142530577958283,-9.052046522403131
random_label,0.47,0.1,-0.15894669550320634,-0.13179848346411355,1.415135190425115,-0.03058016349275868,0.004551733415282392,30,30,complete,False,-0.03298674725756623,3.6889049263147142,-0.03298674725756534,3.6889049263144034,2.0941292923653094,-0.8402927843313961
random_label,0.48,0.1,-0.1579077993278125,-0.13075958728871973,1.437218940979488,-0.026379041438298913,0.00307483216658416,30,30,complete,False,0.042936564096168084,0.1119654601508202,0.04293656409616453,0.11196546015073139,2.1257247222716558,-4.230319129864313
random_label,0.49,0.1,-0.15808796422128296,-0.13093975218219026,1.457649684870548,-0.02780147881318825,0.003284052486663495,30,30,complete,False,-0.030747438054549825,0.5865372649828777,-0.030747438054550713,0.5865372649831442,2.009522909768023,-3.5801734173588784
random_label,0.5,0.1,-0.1585227480889035,-0.13137453604981075,1.4774093991748485,-0.01699235651053216,0.003030933167456813,30,30,complete,False,0.05466730939582565,2.8522108321229895,0.054667309395827424,2.852210832123034,2.054121253924478,-1.149365928090873
random_label,0.51,0.1,-0.15699461803336645,-0.12984640599427372,1.4987321099490376,-0.019989377027696743,0.003372678483318558,30,30,complete,False,0.02629677858791002,-5.886344241763991,0.02629677858791002,-5.8863442417641245,1.9865355912062057,-9.732415263017913
random_label,0.52,0.1,-0.15799681251714529,-0.13084860047805255,1.5171401109989726,-0.01801013417534391,0.0027238796971700034,30,30,complete,False,-0.06305957543945429,-2.1011281805638475,-0.06305957543945517,-2.1011281805638475,1.85947294866412,-5.800587261494883
random_label,0.53,0.1,-0.15825580954215554,-0.1311075975030628,1.53592156892232,-0.02161949840183724,0.0033186496926299034,30,30,complete,False,-0.015725785023366967,6.562951147534552,-0.015725785023366967,6.562951147534552,1.870523845976308,3.0018758704933646
random_label,0.54,0.1,-0.15831132821761262,-0.1311631161785199,1.5545505879184989,-0.015865776305437427,0.0027888304790617984,30,30,complete,False,0.06819944751123685,1.8004480359577342,0.06819944751123597,1.8004480359576898,1.9195104660739872,-1.6298670569433682
random_label,0.55,0.1,-0.1568918205919308,-0.1297436085528381,1.5743117782437999,-0.01204779183986766,0.003073026143846738,30,30,complete,False,0.020283175695787747,-7.095509695669516,0.02028317569578686,-7.095509695669382,1.8379265048374407,-10.40213823340109
random_label,0.56,0.1,-0.15790566470369688,-0.13075745266460415,1.5913091180152477,-0.011561521600354228,0.002624766201705952,30,30,complete,False,-0.07371074640215358,-0.37262358915851734,-0.0737107464021518,-0.3726235891584285,1.7114677014059652,-3.5621379376229925
random_label,0.57,0.1,-0.15836603551997383,-0.1312178234808811,1.6085411322719187,-0.0135251621784438,0.002052864557275395,30,30,complete,False,0.012830703912615427,4.889257277735013,0.012830703912616315,4.88925727773488,1.7666837460849791,1.8107423792806259
random_label,0.58,0.1,-0.15764905062544457,-0.1305008385863518,1.6266427929369471,-0.014812089080859745,0.0020161179692274648,30,30,complete,False,0.02407439915254539,-4.727877727258352,0.0240743991525445,-4.7278777272584405,1.7476825489915768,-7.701089443580145
random_label,0.59,0.1,-0.1578845475369229,-0.1307363354978302,1.6434947832517501,-0.011612267350946382,0.002553594808705785,30,30,complete,False,-0.0817268506325517,-1.617121389417696,-0.08172685063255258,-1.617121389417607,1.6126619572133762,-4.490342922129997
random_label,0.6,0.1,-0.1592835876380956,-0.13213537559900285,1.6588960320812145,-0.007050731786486658,0.0027489249561679758,30,30,complete,False,-0.008268028635808555,5.524228477962362,-0.008268028635807667,5.524228477962495,1.6578756905489769,2.7460356928962426
random_label,0.61,0.1,-0.1580499081096391,-0.13090169607054636,1.6766522970627298,-0.009138733648236152,0.00165666141360377,30,30,complete,False,0.028757718926695652,1.3924640408167641,0.02875771892669743,1.392464040816853,1.667582671071301,-1.2953384799573087
random_label,0.62,0.1,-0.1587084332595617,-0.1315602212204689,1.6922476855026407,-0.00971965901272769,0.0021692624392402027,30,30,complete,False,0.019581252180526754,-0.7843747826655082,0.019581252180529418,-0.7843747826655526,1.6319689209498307,-3.386128430257429
random_label,0.63,0.1,-0.15765828306602855,-0.13051007102693576,1.7092916754817264,-0.009223233059039042,0.0029553704685881983,30,30,complete,False,0.013070223273385473,-4.357328238662324,0.013070223273386361,-4.357328238662502,1.5998601024661525,-6.8771007261965025
random_label,0.64,0.1,-0.15844702879409397,-0.13129881675500119,1.7242448875519636,-0.012678655666962442,0.0018914422159580838,30,30,complete,False,-0.0675653125927198,-0.19743244956447176,-0.0675653125927207,-0.1974324495647382,1.4944269064259004,-2.639039046125191
random_label,0.65,0.1,-0.15900958931788295,-0.1318613772787902,1.7391802136102446,-0.009509913178547715,0.002352350214629864,30,30,complete,False,0.009121574282096034,5.599880515778284,0.009121574282091593,5.599880515778284,1.5470793215436487,3.2328576982379644
random_label,0.66,0.1,-0.15826459730845205,-0.13111638526935934,1.7551864739828367,-0.010082119671422014,0.0021753128695664137,30,30,complete,False,0.04443229772284596,-1.0438382329652987,0.04443229772284507,-1.0438382329649434,1.55908406039066,-3.339643771361253
random_label,0.67,0.1,-0.15812094336342603,-0.1309727313243333,1.7703618948180577,-0.009650248909948622,0.0021235247327643044,30,30,complete,False,-0.011755190377209956,-4.534627897852502,-0.011755190377207292,-4.534627897852369,1.4802864461164233,-6.762383028924987
random_label,0.68,0.1,-0.15849970111599626,-0.1313514890769035,1.784792202905165,-0.011179012969507289,0.0024806654820850042,30,30,complete,False,-0.046260260234204154,-1.2498034635099835,-0.04626026023420238,-1.2498034635101611,1.42383639981216,-3.4124900137093874
random_label,0.69,0.1,-0.15904614856811009,-0.13189793652901732,1.7988386228143005,-0.01170782385370538,0.0020411554133481676,30,30,complete,False,-0.036751259647409995,4.042152582457954,-0.03675125964741088,4.042152582457954,1.4120366458422353,1.941724509415323
random_label,0.7,0.1,-0.15923472630894447,-0.1320865142698517,1.8130329358220096,-0.01108402147604177,0.0018327389883448658,30,30,complete,False,0.03458279141495524,4.958389230852629,0.034582791414957015,4.9583892308525845,1.4626708900004672,2.917569066156034
random_label,0.71,0.1,-0.15835449273981098,-0.1312062807007182,1.8280920406143097,-0.007711574405020617,0.002319992115342857,30,30,complete,False,0.06241652496964267,-1.7915073634103147,0.062416524969640896,-1.7915073634105367,1.470388027165356,-3.7752218178724206
random_label,0.72,0.1,-0.15798639580955162,-0.1308381837704589,1.8424406963653168,-0.005986146477782835,0.0021045331115824724,30,30,complete,False,-0.0012473558532510864,-5.264563262209472,-0.001247355853253751,-5.264563262209383,1.3871664536430188,-7.1935360733760945
random_label,0.73,0.1,-0.158379439856876,-0.13123122781778326,1.8558353696871701,-0.012270844022012397,0.0018605499878969073,30,30,complete,False,-0.04287474027454685,2.000226325113495,-0.04287474027454685,2.000226325113717,1.326517305697834,0.12375981848506967
random_label,0.74,0.1,-0.15884389061504256,-0.13169567857594983,1.8689710424792736,-0.00826678797590451,0.0020454668392414503,30,30,complete,False,0.038757170649018846,2.8213449505783728,0.03875717064902062,2.8213449505784616,1.3896416500127202,0.9952694927932271
random_label,0.75,0.1,-0.15760429644389562,-0.13045608440480286,1.8836282026874245,-0.012463666072808651,0.002080888105480413,30,30,complete,False,0.013552158737020648,-3.955448207846276,0.013552158737022424,-3.9554482078463646,1.3464226955536986,-5.733135746999807
random_label,0.76,0.1,-0.15857284744030214,-0.13142463540120938,1.8958994963903475,-0.00939632974819859,0.0023346141641495677,30,30,complete,False,-0.04035179350790674,-2.105763544449422,-0.04035179350790674,-2.105763544449511,1.274978935072724,-3.836961502693015
random_label,0.77,0.1,-0.15841133231405374,-0.13126312027496098,1.909127781388879,-0.006623030459752761,0.0020375560452283283,30,30,complete,False,-0.02856311215196783,-1.8882573167962478,-0.02856311215196783,-1.888257316796381,1.2696834654998383,-3.5747660042481684
random_label,0.78,0.1,-0.1591441096833415,-0.13199589764424874,1.9212931657003443,-0.009915211126819846,0.0017157960864788878,30,30,complete,False,-0.07811693984383172,1.9812849559210906,-0.07811693984383439,1.9812849559210906,1.2034836149877606,0.3377570092851556
random_label,0.79,0.1,-0.1599736711109304,-0.13282545907183768,1.9331974536886343,-0.00589664148164268,0.0018025191138121832,30,30,complete,False,0.011062586966454013,6.152693537728021,0.011062586966454013,6.152693537728199,1.2764386056855415,4.5505238064350735
random_label,0.8,0.1,-0.15892285794401242,-0.13177464590491966,1.946821937814055,-0.012198234017069425,0.0016346740869323114,30,30,complete,False,0.04493693091072881,-1.921790316836301,0.0449369309107297,-1.9217903168364343,1.2944940911164622,-3.484143698631918
random_label,0.81,0.1,-0.15907493249271581,-0.13192672045362308,1.9590873355109637,-0.007672988208636731,0.002508742444359293,30,30,complete,False,-0.02737321937027204,-2.001851643442749,-0.027373219370274704,-2.0018516434427047,1.206755731712903,-3.5258548330978954
random_label,0.82,0.1,-0.15947032233141784,-0.13232211029232513,1.9709570524483129,-0.011109538065839614,0.0016168133610138214,30,30,complete,False,0.004899898041872852,1.9469188007134495,0.0048998980418746285,1.946918800713627,1.2239769944545031,0.45987076350755984
random_label,0.83,0.1,-0.15897693453187836,-0.1318287224927856,1.983566875400054,-0.007799657325178574,0.0019256858054448678,30,30,complete,False,0.011565156643996488,-2.0926800000660144,0.011565156643997376,-2.092680000066103,1.215953146983054,-3.5441010676017015
random_label,0.84,0.1,-0.1592390191985379,-0.13209080715944518,1.9952761153879741,-0.007897339787629106,0.0015867834738850404,30,30,complete,False,-0.03695370195944747,-1.514226256466865,-0.03695370195944747,-1.5142262564669982,1.1530949731024691,-2.9312856382333052
random_label,0.85,0.1,-0.1597160085710673,-0.13256779653197456,2.0066287748621034,-0.010230451708487527,0.0015847313403077655,30,30,complete,False,-0.018719368485340837,1.5887027074846114,-0.018719368485342613,1.5887027074845226,1.157327434218388,0.20479894636125096
random_label,0.86,0.1,-0.15961340656824471,-0.13246519452915204,2.0184226640723417,-0.007405494393040812,0.0013982222346184468,30,30,complete,False,-0.005179647809755217,0.5679862743015902,-0.005179647809756993,0.5679862743019455,1.1571909520296941,-0.7839121372363422
random_label,0.87,0.1,-0.1598196015272624,-0.1326713894881697,2.029772593902697,-0.006257704915609484,0.0022619671741476934,30,30,complete,False,-0.007359642999309024,1.7785240270686826,-0.007359642999303695,1.7785240270688603,1.141649191473661,0.45753329839257617
random_label,0.88,0.1,-0.1597605994282309,-0.1326123873891381,2.041255647901815,-0.006060702908083111,0.0019668370093428645,30,30,complete,False,0.030390832731618467,-0.02488476110715787,0.030390832731620243,-0.02488476110755755,1.1663416179975457,-1.3160158426757107
random_label,0.89,0.1,-0.15921178487263005,-0.13206357283353728,2.0530994262626483,-0.012610029301250032,0.0017716346591947411,30,30,complete,False,-0.007857338221452181,-2.7955014041537636,-0.007857338221454846,-2.795501404153941,1.1153288746201468,-4.057774017321947
random_label,0.9,0.1,-0.15991774619265994,-0.1327695341535672,2.063562225394218,-0.011739428219643248,0.0018780038007216921,30,30,complete,False,-0.025519195351456858,0.48212053690854756,-0.025519195351458634,0.4821205369086808,1.0851861376511067,-0.7522505194472728
random_label,0.91,0.1,-0.15972216877965917,-0.13257395674056646,2.07480314901567,-0.009303367475819956,0.0015482971257449428,30,30,complete,False,0.0017850725167187775,0.9659763844701788,0.0017850725167187775,0.9659763844704008,1.1002838642312014,-0.2414081795563945
random_label,0.92,0.1,-0.15988204474232556,-0.13273383270323283,2.085567902678842,-0.007973961339355079,0.0020590804201622574,30,30,complete,False,-0.006199667662053265,-2.0290842795657387,-0.006199667662050601,-2.0290842795656054,1.0803579740599787,-3.210357831592596
random_label,0.93,0.1,-0.15984616213290023,-0.13269795009380747,2.09641030849687,-0.009302269765233932,0.0015492836162524467,30,30,complete,False,-0.03879661307459603,-0.1159914436326227,-0.03879661307459337,-0.11599144363284475,1.0360767075993493,-1.2719919975111438
random_label,0.94,0.1,-0.16065797700381745,-0.13350976496472466,2.1062894368308287,-0.005794654900384367,0.001871076822265469,30,30,complete,False,-0.008519496534706406,3.4918743437558515,-0.008519496534708182,3.4918743437555406,1.054918134109755,2.3603442575058864
random_label,0.95,0.1,-0.16001655206359436,-0.13286834002450162,2.117508671179065,-0.010028255256822638,0.0019058461093374379,30,30,complete,False,0.031040873800520785,-1.0629440245048185,0.031040873800517232,-1.0629440245047297,1.083283592749467,-2.17077254881346
random_label,0.96,0.1,-0.16003715952780706,-0.13288894748871433,2.127955108685818,-0.008291259858909269,0.002029012339742259,30,30,complete,False,-0.029778377024802793,-1.3129985256924648,-0.029778377024802793,-1.3129985256921983,1.011502683133486,-2.397862511813287
random_label,0.97,0.1,-0.16061211960409044,-0.13346390756499768,2.1377387248417348,-0.010286762513016724,0.0019562076424643744,30,30,complete,False,0.004780903286671467,0.753430211545058,0.004780903286673244,0.753430211545058,1.0353263425132013,-0.30917601379130133
random_label,0.98,0.1,-0.15994154146207362,-0.13279332942298086,2.148661635536082,-0.008200965002015075,0.0020377972832524406,30,30,complete,False,-0.014709772793901621,-2.8486546863752493,-0.014709772793901621,-2.8486546863754714,1.0053191628576599,-3.8896812178983
random_label,0.99,0.1,-0.16090631505996844,-0.1337581030208757,2.157845108098888,-0.01038685265162606,0.0016381936411130678,30,30,complete,False,-0.052192190440833564,0.34013758508583125,-0.05219219044083623,0.3401375850856925,0.9575327181552353,-0.4300491413886647
random_label,1.0,0.1,-0.1609853852708903,-0.13383717323179758,2.167812289899187,-0.00829717343427173,0.001374632669710766,30,30,complete,False,-0.007907021092184989,4.428516934864853,-0.007907021092187765,4.4285169348648425,0.9967181800298865,3.918546187465118
real_even_odd,0.01,0.1,-0.00034708019314795313,0.002758873424855886,-2.2988905897061285,-0.0015651575594851275,0.0002593523137022615,30,30,complete,True,-0.002518001852570736,-0.13357436972219672,-0.0025180018525707525,-0.13357436972219505,69.2840347887799,-1437.9594545635073
real_even_odd,0.02,0.1,-0.0003722602116736605,0.0027336934063301784,-1.6060502418183293,-0.003628801774332511,0.0005461529184375461,30,30,complete,True,-0.003853745549792703,-0.24674743840783797,-0.003853745549792703,-0.24674743840783664,54.90444024314483,-1732.4105672042197
real_even_odd,0.03,0.1,-0.0004241551041438072,0.0026817985138600318,-1.2008017848432317,-0.007081807469820983,0.0008900481763504654,30,30,complete,True,-0.0074529506207274936,-0.4785894326011232,-0.007452950620727483,-0.47858943260112163,34.63582344469552,-1469.348150240415
real_even_odd,0.04,0.1,-0.0005213192240882103,0.0025846343939156286,-0.913333772924419,-0.012891231214583798,0.0012678308774915518,30,30,complete,True,-0.013425534201815168,-0.7143698660108815,-0.013425534201815137,-0.7143698660108803,25.517477238336525,-719.6273099629033
real_even_odd,0.05,0.1,-0.0006926657881801107,0.002413287829823729,-0.6904522400765011,-0.02139419632880778,0.0016794335789414249,30,30,complete,True,-0.021740347940945128,-0.9012459700473966,-0.021740347940945093,-0.9012459700474006,20.243277245437447,-436.6075974289596
real_even_odd,0.06,0.1,-0.0009561261829071127,0.0021498274350967264,-0.5084682280156702,-0.031828440544161174,0.0020084390748470893,30,30,complete,True,-0.0314504536027631,-1.055065051506099,-0.03145045360276315,-1.0550650515061,16.78532528975733,-295.39300462353344
real_even_odd,0.07,0.1,-0.001321674860235373,0.001784278757768466,-0.3547457342813544,-0.04274873876196351,0.0022583211504802582,30,30,complete,True,-0.04284164897106712,-1.1239916596809407,-0.0428416489710671,-1.1239916596809405,14.33541715296678,-213.93200518787546
real_even_odd,0.08,0.1,-0.0018129591623284548,0.0012929944556753844,-0.22175988495633447,-0.054507809233104755,0.002400775173558395,30,30,complete,True,-0.05393028679638191,-1.0904036906351031,-0.053930286796381954,-1.0904036906351062,12.506685185999817,-162.37114525750292
real_even_odd,0.09,0.1,-0.0024002805961630107,0.0007056730218408276,-0.10461203056135826,-0.06460123358820181,0.002224870938919334,30,30,complete,True,-0.06464972278376917,-1.0919058081180761,-0.06464972278376921,-1.0919058081180695,11.087994247816724,-127.64979155998441
