branch,r,phi,phi_rel,Q,s,eta,A,p,t,cd,G_S,G_E,qref,alpha,beta,lambda_ref,lambda_shell
boundary_mixed_eta0,0.15,-0.9857310946656396,0.0,0.9816045454545452,0.0,0.0,0.0,0.977504290753712,0.0625671782328914,0.9886881665893004,-0.4782768108564901,-0.073686336131309,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.2,-0.6984005736582888,0.2873305210073509,0.9672909090909092,0.0,0.0,0.0,0.9600137387198802,0.0620048921953172,0.9798029080993178,-0.1906711427272509,-0.0745598035105715,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.25,-0.4758739603886812,0.5098571342769584,0.9488863636363636,0.0,0.0,0.0,0.9375341582727468,0.061274641999831,0.9682634756473812,0.0323708312011816,-0.0756849436546346,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.3,-0.2945685549324205,0.6911625397332191,0.926390909090909,0.0,0.0,0.0,0.910072502303884,0.0603705633957642,0.9539772021929476,0.214562775974169,-0.0770638367661652,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.35,-0.1420091709377677,0.8437219237278719,0.8998045454545456,0.0,0.0,0.0,0.8776382224479878,0.0592850236151443,0.936823474539354,0.3685519169178062,-0.0786995964820611,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.4,-0.0108715578771491,0.9748595367884904,0.8691272727272726,0.0,0.0,0.0,0.8402440373358283,0.0580082751683922,0.9166482626044892,0.5018846024798169,-0.0805967119023629,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.45,0.1037199173884625,1.089451012054102,0.8752636363636364,0.0,0.0,0.0,0.7992272461945348,0.0565747147676581,0.89399510412224,0.6161477389092542,-0.0818093368669237,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.5,0.2053497841467959,1.1910808788124356,0.84095,0.0,0.0,0.0,0.7524590946251264,0.0548944806287961,0.8674440008583415,0.720848815010792,-0.0841249395964854,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.55,0.2954593370326056,1.2811904316982452,0.8025454545454545,0.0,0.0,0.0,0.700937359048688,0.0529818155769642,0.8372200183038435,0.8153874201924614,-0.0867196368518825,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.6,0.3762909102173565,1.3620220048829963,0.8145909090909093,0.0,0.0,0.0,0.649354998072348,0.0509950857545662,0.8058256623317155,0.8949480542865285,-0.0882706762518526,0.063283025272499,0.1,1.0,1.0,1.0
