branch,r,phi,phi_rel,Q,s,eta,A,p,t,cd,G_S,G_E,qref,alpha,beta,lambda_ref,lambda_shell
boundary_mixed_eta0,0.15,-0.9857447132215312,0.0,0.9819729729729728,0.0,0.0,0.0,0.9775050936959996,0.0625672039298747,0.9886885726536944,-0.4782946577402909,-0.0736782227615311,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.2,-0.698348632265559,0.2873960809559721,0.9643432432432432,0.0,0.0,0.0,0.9600048903131748,0.0620046064464024,0.9797983926875848,-0.1905605118811604,-0.0746250561738603,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.25,-0.4758758563188245,0.5098688569027066,0.9409027027027028,0.0,0.0,0.0,0.9375030764035563,0.0612736262788698,0.9682474251985164,0.0326195602505987,-0.0758629396400476,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.3,-0.2945823220126029,0.6911623912089282,0.9278648648648647,0.0,0.0,0.0,0.9100859913465646,0.0603710107986287,0.9539842720645684,0.2144877708044525,-0.077030721060173,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.35,-0.1420690819797542,0.8436756312417768,0.8955054054054055,0.0,0.0,0.0,0.8775905060488345,0.0592834119565872,0.9367980070692052,0.3687468597289653,-0.0787972834969314,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.4,-0.0107281971920521,0.975016516029479,0.8789540540540539,0.0,0.0,0.0,0.8404315977383138,0.0580147491496746,0.9167505646239406,0.5012972360128127,-0.0803707949590993,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.45,0.1039810476200456,1.089725760841577,0.8619972972972973,0.0,0.0,0.0,0.7987064716941976,0.0565562797918925,0.893703794159003,0.6174429850284524,-0.0821171690509548,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.5,0.2053148153021798,1.1910595285237109,0.8446351351351351,0.0,0.0,0.0,0.7526507921673813,0.0549014726812266,0.8675544894514587,0.7204614612392647,-0.0840380956262874,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.55,0.2955643220940655,1.2813090353155967,0.8268675675675676,0.0,0.0,0.0,0.7025600507852734,0.0530431073979086,0.838188553241616,0.8126670703295455,-0.0861359808483049,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.6,0.3763867459400266,1.362131459161558,0.8086945945945947,0.0,0.0,0.0,0.6487974701561163,0.0509731891885373,0.8054796522297235,0.8957424262950701,-0.0884141157263542,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.65,0.4490018406697396,1.4347465538912707,0.7901162162162161,0.0,0.0,0.0,0.591803482978297,0.0486828495720227,0.769287646448516,0.9709352526188252,-0.090876862379243,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.7,0.5143137778346333,1.5000584910561643,0.7711324324324323,0.0,0.0,0.0,0.5321071454137203,0.0461622297412772,0.7294567467737345,1.039180556970826,-0.093529863843517,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.75,0.5729887220012556,1.5587334352227868,0.7517432432432432,0.0,0.0,0.0,0.4703399413003036,0.0434003431109868,0.6858133429004598,1.1011785947547132,-0.0963802853642894,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.8,0.6256117807740043,1.6113564939955354,0.7751891891891892,0.0,0.0,0.0,0.4155935458155316,0.0407963801311349,0.6446654526306894,1.1503592556820168,-0.0982879814481599,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.85,0.6730542442615137,1.6587989574830448,0.7576918918918918,0.0,0.0,0.0,0.3535811404695664,0.0376297886224361,0.594626891814999,1.20078473523112,-0.1014531949875427,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.9,0.7151057743127951,1.7008504875343262,0.7397891891891891,0.0,0.0,0.0,0.2921467186079701,0.0342048538376911,0.5405059838780419,1.2461793149868092,-0.1048393965749165,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,0.95,0.7524367209741962,1.7381814341957271,0.7728297297297296,0.0,0.0,0.0,0.245032576165362,0.0313255817916628,0.4950076526331305,1.278398194253237,-0.1069834507586572,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,1.0,0.7852715423743413,1.7710162555958724,0.7568189189189188,0.0,0.0,0.0,0.1892047297297296,0.0275266415126395,0.4349767002147697,1.3140686842884637,-0.1107205096195391,0.063283025272499,0.1,1.0,1.0,1.0
boundary_mixed_eta0,1.05,0.8136922074246837,1.7994369206462149,0.7951297297297297,0.0,0.0,0.0,0.1508357455922771,0.0245775942277782,0.3883757788434767,1.3371872115576044,-0.1130514147276927,0.063283025272499,0.1,1.0,1.0,1.0
