r,phi,Q,p,t,cd,s,qref,phi_rel,alpha
0.15,-0.9857310946656397,0.9816045454545452,0.9775042907537119,0.06256717823289146,0.9886881665893003,0.0,0.06328302527249907,0.0,0.1
0.2,-0.6984005736582888,0.9672909090909091,0.9600137387198802,0.06200489219531721,0.9798029080993178,0.0,0.06328302527249907,0.2873305210073509,0.1
0.25,-0.47587396038868124,0.9488863636363636,0.9375341582727469,0.061274641999831014,0.9682634756473812,0.0,0.06328302527249907,0.5098571342769584,0.1
0.3,-0.29456855493242057,0.926390909090909,0.9100725023038841,0.060370563395764264,0.9539772021929477,0.0,0.06328302527249907,0.6911625397332191,0.1
0.35,-0.14200917093776774,0.8998045454545456,0.8776382224479878,0.05928502361514434,0.9368234745393541,0.0,0.06328302527249907,0.8437219237278719,0.1
0.4,-0.01087155787714919,0.8691272727272726,0.8402440373358283,0.05800827516839225,0.9166482626044891,0.0,0.06328302527249907,0.9748595367884905,0.1
0.45,0.10371991738846253,0.8752636363636364,0.7992272461945348,0.05657471476765816,0.89399510412224,0.0,0.06328302527249907,1.089451012054102,0.1
0.5,0.2053497841467959,0.84095,0.7524590946251264,0.05489448062879613,0.8674440008583415,0.0,0.06328302527249907,1.1910808788124356,0.1
0.55,0.2954593370326056,0.8025454545454545,0.700937359048688,0.05298181557696426,0.8372200183038435,0.0,0.06328302527249907,1.2811904316982452,0.1
0.6,0.3762909102173565,0.8145909090909093,0.649354998072348,0.05099508575456625,0.8058256623317155,0.0,0.06328302527249907,1.3620220048829963,0.1
0.65,0.44893380096452107,0.7725499999999998,0.5898113398809137,0.04860084181101414,0.7679917576907409,0.0,0.06328302527249907,1.4346648956301609,0.1
0.7,0.5141162753654075,0.7900499999999999,0.5348174174102905,0.04627964339590201,0.731312120376991,0.0,0.06328302527249907,1.499847370031047,0.1
0.75,0.5728714453646789,0.7443727272727271,0.4691275930369017,0.04334437265673528,0.684928896336621,0.0,0.06328302527249907,1.5586025400303187,0.1
0.8,0.6257381667249727,0.7673272727272727,0.41421906673034986,0.043827024126861215,0.6434720697844909,0.016666666666666663,0.06328302527249907,1.6114692613906123,0.1
0.85,0.6724330493529402,0.7180136363636364,0.34524758721593735,0.040457839821373465,0.5874228979284537,0.016666666666666663,0.06328302527249907,1.65816414401858,0.1
0.9,0.7151727851398111,0.7464227272727272,0.2938928809406149,0.037705766556853294,0.5419378982646416,0.016666666666666663,0.06328302527249907,1.7009038798054508,0.1
0.95,0.752319921468682,0.7798318181818181,0.24696472123440696,0.03495731835407902,0.49674489091219104,0.016666666666666663,0.06328302527249907,1.7380510161343217,0.1
1.0,0.7845783863875849,0.7273363636363636,0.18206135921717165,0.03065558574313711,0.42642008736584025,0.016666666666666663,0.06328302527249907,1.7703094810532245,0.1
1.05,0.8136742669791219,0.7641545454545454,0.1434638429189705,0.0277056178789903,0.37845191253256166,0.016666666666666663,0.06328302527249907,1.7994053616447616,0.1
1.1,0.8381142190708247,0.8018818181818183,0.10946680242794775,0.024743849149034533,0.3304835296383392,0.016666666666666663,0.06328302527249907,1.8238453137364643,0.1
1.15,0.8582950386116932,0.8405181818181818,0.08007031017637689,0.021770951467233797,0.2825149609303443,0.016666666666666663,0.06328302527249907,1.844026133277333,0.1
1.2,0.8745259979652009,0.8800636363636366,0.05527442879129998,0.018787456081916246,0.23454622594655794,0.016666666666666663,0.06328302527249907,1.8602570926308406,0.1
1.25,0.8870477785839178,0.9205181818181819,0.03507921253377868,0.015793779165818828,0.18657734189138003,0.016666666666666663,0.06328302527249907,1.8727788732495574,0.1
1.3,0.8960455984032376,0.9618818181818181,0.019484708505799257,0.01279024006553987,0.1386083239527305,0.016666666666666663,0.06328302527249907,1.8817766930688773,0.1
1.35,0.9016583227874311,1.0041545454545457,0.008490957665938473,0.009777074261033258,0.09063918557074319,0.016666666666666663,0.06328302527249907,1.8873894174530708,0.1
1.4,0.9039846740860958,1.0473363636363637,0.0020979956869850054,0.006754442351704451,0.04266993866624436,0.016666666666666663,0.06328302527249907,1.8897157687517354,0.1
1.45,0.9030872345652073,1.0914272727272731,0.0003058536824427569,0.0037224359099323114,-0.005299406164311125,0.016666666666666663,0.06328302527249907,1.8888183292308471,0.1
1.5,0.8989946596556946,1.1364272727272728,0.003114558823852312,0.000681080716462727,-0.05326883948198797,0.016666666666666663,0.06328302527249907,1.8847257543213343,0.1
1.55,0.8917023194361743,1.1823363636363635,0.0105241348668762,-0.0023696623497431795,-0.10123835286211742,0.016666666666666663,0.06328302527249907,1.877433414101814,0.1
1.6,0.8811714261605664,1.2291545454545456,0.022534602600885727,-0.005429898694043101,-0.14920793877093963,0.016666666666666663,0.06328302527249907,1.8669025208262062,0.1
1.65,0.867326555571675,1.2768818181818182,0.03914598023420009,-0.008499803776201792,-0.19717759045908306,0.016666666666666663,0.06328302527249907,1.8530576502373148,0.1
1.7,0.8500512494201458,1.325518181818182,0.0611415360586842,-0.007645596278525348,-0.24514730186932643,0.033333333333333326,0.06328302527249907,1.8357823440857854,0.1
1.75,0.8291804790116731,1.3750636363636364,0.08693326238705504,-0.010790094053187422,-0.2931170675565244,0.033333333333333326,0.06328302527249907,1.8149115736773127,0.1
1.8,0.8044937751053293,1.4255181818181817,0.11732210564790364,-0.013955983886570995,-0.34108688261791614,0.033333333333333326,0.06328302527249907,1.7902248697709688,0.1
1.85,0.7796944850261424,1.6614795454545457,0.0881583202462003,-0.010927222078035436,-0.29520168671872427,0.033333333333333326,0.06328302527249907,1.7654255796917822,0.1
1.9,0.7516202810376993,1.720286363636364,0.1160208765151394,-0.013829177443307465,-0.33917191060412666,0.033333333333333326,0.06328302527249907,1.737351375703339,0.1
1.95,0.719943119383792,1.7801159090909093,0.14774591923750968,-0.01674999934348871,-0.3831421628103329,0.033333333333333326,0.06328302527249907,1.7056742140494316,0.1
2.0,0.6843739882954805,1.840968181818182,0.18333345373703486,-0.019690753796793338,-0.42711244082981625,0.033333333333333326,0.06328302527249907,1.6701050829611201,0.1
2.05,0.6445407176859165,1.9028431818181817,0.22278348467736422,-0.022652761755225227,-0.47108274238987097,0.033333333333333326,0.06328302527249907,1.6302718123515563,0.1
2.1,0.6044781794810148,2.184145454545455,0.1729231206206644,-0.01886069633094803,-0.4147325934766613,0.033333333333333326,0.06328302527249907,1.5902092741466545,0.1
2.15,0.562563557721601,2.2551681818181817,0.20813768532024626,-0.02158398167367847,-0.4552547194798758,0.033333333333333326,0.06328302527249907,1.5482946523872407,0.1
2.2,0.5166184078935219,2.3273272727272736,0.2466326999474127,-0.02432617100955552,-0.4957768591331334,0.033333333333333326,0.06328302527249907,1.5023495025591616,0.1
