beta,rmse
0.15,0.00013259496280694424
0.13,0.00042860138198222604
0.17,0.0007563880322986158
0.11,0.0008618576291055775
0.09,0.001133200689434946
0.19,0.0014298209940716894
0.07,0.0015676745375129651
0.05,0.0018390911329166284
0.21,0.002075472706596056
0.23,0.002546292322368487
0.25,0.002850747363505722
0.27,0.002965380045126265
0.29,0.003082417149621108
0.35,0.003115293965831132
0.31,0.0031202823561327486
0.37,0.003152330297640055
0.33,0.0031567241669461727
0.39,0.003174621916043764
