beta,rmse
0.15,7.925963472730505e-05
0.13,0.00016126412460311444
0.17,0.0003534436358880418
0.11,0.000405683894322484
0.09,0.0005502457141274839
0.19,0.0006100906481098876
0.07,0.0007563846638854386
0.21,0.0008145224360820194
0.05,0.0009169386947653506
0.23,0.0010050632182307718
0.25,0.0011705505663397366
0.27,0.001261283904143694
0.29,0.0013347697725885374
0.31,0.0013802619677752241
0.33,0.0014196957127977864
0.35,0.0014265054041737823
0.37,0.0014489199872142978
0.39,0.0014705126709945713
