beta,S_target,S_proxy,Q_target,Q_proxy_latent,H_CE_target,H_CE_proxy,B_med_target,B_med_proxy,B_q90_target,B_q90_proxy,phi_E_2p5_target,phi_E_2p5_proxy,Umax_total_energy,ridge_coef,center_coef,corner_offset
0.05,5.113475882265843,5.113475882265842,-0.0004324073385579,-0.0004324073385579,6.865879061507682,6.8658790615076875,27.730037514182428,27.730037514182424,41.31244832212571,41.94462523282219,-0.0124959572982568,-0.0124959572982568,25.218582316646874,75.40919625490857,-10.046993073590134,17.779199657367737
0.07,4.886210338988719,4.886210338988718,-0.0007990408215849,-0.0007990408215849,6.226661460462492,6.226661460462516,26.25496980245225,26.25496980245225,39.10010820073852,40.29555970492194,-0.011825141579577,-0.011825141579577,24.091760454551572,74.63514763417214,-9.380925113980103,18.59764974793484
0.09,4.761107255876173,4.761107255876173,0.0005567096861291,0.0005567096861291,6.926018353815501,6.926018353815699,25.214878464583308,25.18296413455675,38.34124014988853,38.54371682382543,-0.0113748766821211,-0.0113748766821211,23.230179266010293,69.9451382738151,-6.309425560828206,17.932847941280144
0.11,4.63011806220658,4.63011806220658,0.0004871983650264,0.0004871983650264,6.505122940533329,6.505122940534733,24.38417781714816,24.39562436417778,36.866953597773495,37.85514029579451,-0.0109886598863697,-0.0109886598863697,22.57082253358728,70.67966971029128,-5.778625266201229,18.619423308823734
0.13,4.288273145260418,4.288273145260418,-0.0001378763297234,-0.0001378763297234,5.224334740452468,5.224334740526896,21.809153605733687,21.815183025520504,33.638149942182935,34.56533157193417,-0.0100105797460107,-0.0100105797460107,20.823570496809676,67.49579106172168,-5.504068793972903,18.560663988654937
0.15,4.13764331177802,4.137643311778019,-0.0003313334494525,-0.0003313334494525,5.395510187469578,5.395510189192121,20.44922239475418,20.475340838055722,32.6133303143022,33.11076209603055,-0.0092388325963936,-0.0092388325963936,19.202539292817413,66.63402621568834,-3.158990170450414,18.36640018332947
0.17,3.849292262895168,3.8492922628951676,-0.0003999446557768,-0.0003999446557768,4.3467965354095215,4.346796708067936,17.380051336515074,17.380051336515084,29.17724418557249,29.012958806686576,-0.0080321608931183,-0.0080321608931183,16.68528245599067,62.635544897226836,-2.162274291731174,16.66285365084245
0.19,3.4655201308525148,3.4655201308525143,0.0001637296513388,0.0001637296513388,4.453052100981585,4.453061182853508,13.880738229855584,13.890889490151363,24.24092410642266,23.84381739093414,-0.0067631854001457,-0.0067631854001457,14.167317882427588,54.56645249751344,1.0858023452416483,12.701240698572033
0.21,3.275458457178703,3.2754584571787024,0.0001272507942684,0.0001272507942684,4.05123300984269,4.051347584898407,10.468666466907598,10.468666466907598,20.329863499538043,18.57207493699616,-0.0056614158011232,-0.0056614158011232,11.681474035029996,45.77524564108862,2.355896213606919,9.532708385106732
0.23,2.92439533748722,2.92439533748722,0.0004375992672203,0.0004375992672203,2.5217635054451724,2.5231459524741044,7.409141174517572,7.409727426620591,15.61945477743478,13.733626157681629,-0.0046860372205227,-0.0046860372205227,9.767655697562775,36.213268919721564,1.3370717772460914,5.644572558673482
0.25,2.427602830883067,2.427602830883067,0.000242953139264,0.000242953139264,1.9675901809008791,1.9714480013914182,4.591534591124703,4.591534591124704,9.906374350922809,8.976341803312101,-0.0039689185572602,-0.0039689185572602,8.555879262768125,25.99272961379314,1.919888412716872,2.162077938108622
0.27,2.2846308013458896,2.2846308013458896,0.0005829578815047,0.0005829578815047,1.8170323943137192,1.821465868498004,4.666133257832068,4.668447834896531,10.07540717623197,9.20776033627844,-0.0039838297826239,-0.0039838297826239,8.766361071570573,27.4528264487606,1.687982158447887,1.790324631233812
0.29,2.0530969429695847,2.0530969429695847,0.0007090705480071,0.0007090705480071,1.6739398507517762,1.6910643616781371,3.335296989992882,3.286098688660675,7.298514166947767,6.674647570350859,-0.0036517325695436,-0.0036517325695436,8.197087214764215,21.02419298768092,2.299085443099159,0.850606965756584
0.31,1.822010661636896,1.8220106616368958,0.0006869822014135,0.0006869822014135,1.221224280667957,1.272690602799818,2.8590541347007576,2.8486883140070653,6.029120917033095,5.796455358069412,-0.0035383432761248,-0.0035383432761248,8.13220831463534,19.049590427403036,1.6371180292776477,0.4174218694549404
0.33,1.6687763807450984,1.6687763807450982,0.0005395081049222,0.0005395081049222,1.0987063029858597,1.152808228534865,2.517084624649336,2.5569162658799454,5.415092323105783,5.255817341682756,-0.0034906268944379,-0.0034906268944379,8.135677121827145,18.356385687213272,1.6481223094268174,0.24177987197467926
0.35,1.6348526483310926,1.6348526483310923,0.0001960249527255,0.0001960249527255,1.0832876807001108,1.134212959831526,2.890196994987006,2.887700343127446,6.110172120503462,5.930435669659179,-0.0035219748067743,-0.0035219748067743,8.250182623681724,20.70730279393106,1.4381420053336926,0.24035772994781696
0.37,1.566232887936288,1.5662328879362877,0.0004515506627219,0.0004515506627219,1.2799723547611697,1.3303398439289227,2.6118823639350013,2.6316976460995942,5.590635409882915,5.461233823477301,-0.0034803201621416,-0.0034803201621416,8.203241570330265,19.93906960236219,2.121943103764408,0.17610880697986817
0.39,1.4586784721744332,1.4586784721744332,6.577664569148875e-05,6.577664569148875e-05,1.0482141558857014,1.1062240313744764,2.5047919972256447,2.5047919972256434,4.859511938065602,5.1983865549561195,-0.003469813900788,-0.003469813900788,8.259767826043651,19.380557579979296,1.7131292541734953,0.1057443980421389
