run,beta,dataset_count,knn_edge_disagreement_mean,knn_edge_disagreement_std,knn_label_autocorrelation_mean,feature_label_linear_signal_mean,label_abs_mean_mean,knn_edge_disagreement_sem,abs_gap_to_gaussian_knn_disagreement
spin_dynamics_90_dataset,0.05,90,0.47802059441871797,0.011375690919296737,0.04395881116256407,0.07345372574169355,0.0,0.0011991031087690788,0.0233657038168798
spin_dynamics_90_dataset,0.07,90,0.46184779484446603,0.013863594137933479,0.07630441031106795,0.08111572160244394,0.0,0.0014613511344009446,0.03953850339113174
spin_dynamics_90_dataset,0.09,90,0.4369968616477327,0.01759113416066648,0.12600627670453454,0.09614958905765371,0.0,0.0018542683524433482,0.06438943658786506
spin_dynamics_90_dataset,0.11,90,0.4112540940673032,0.018897582220257957,0.1774918118653937,0.1173578346601779,0.0,0.0019919800695438966,0.0901322041682946
spin_dynamics_90_dataset,0.13,90,0.3783452565699349,0.021855430143846416,0.24330948686013015,0.1282380316176996,0.0,0.0023037646165752035,0.12304104166566288
