ref_id,artifact_source,artifact_path,has_replicate_summaries,replicates,split_logZ_per_P_diff
22,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_022/r_0p8500/unit_summary.json,True,16,0.0002678328598322561
23,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_023/r_0p8500/unit_summary.json,False,0,0.002665156309682007
24,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_024/r_0p8500/unit_summary.json,False,0,0.0008380728247487866
25,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_025/r_0p8500/unit_summary.json,False,0,0.0013837293883986737
26,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_026/r_0p8500/unit_summary.json,False,0,0.001332608267295518
27,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_027/r_0p8500/unit_summary.json,True,16,0.005223599532885898
28,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_028/r_0p8500/unit_summary.json,False,0,0.002132519138826756
29,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_029/r_0p8500/unit_summary.json,False,0,0.0029527584982012487
30,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_030/r_0p8500/unit_summary.json,True,16,0.0014365467332433325
31,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_031/r_0p8500/unit_summary.json,True,16,0.002404749103812401
32,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_032/r_0p8500/unit_summary.json,True,16,0.0037773101030130914
33,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_033/r_0p8500/unit_summary.json,True,16,0.005032340321810607
38,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_038/r_0p8500/unit_summary.json,True,16,0.003122696507484516
40,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_040/r_0p8500/unit_summary.json,True,16,0.0007192402452124484
41,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_041/r_0p8500/unit_summary.json,True,16,0.0004802434556782324
42,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_042/r_0p8500/unit_summary.json,True,16,0.0017738977108755528
43,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_043/r_0p8500/unit_summary.json,True,16,0.0013028790916945199
44,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_044/r_0p8500/unit_summary.json,True,16,0.00016093015741427448
46,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_046/r_0p8500/unit_summary.json,True,16,0.0017338027062689968
49,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_049/r_0p8500/unit_summary.json,True,16,0.005459735346338214
